match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_fouls,captain,stat_aerialWon,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalOffside,stat_keyPass,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_challengeLost,player_sofascoreId,stat_bigChanceMissed,stat_errorLeadToAShot,stat_goals,stat_bigChanceCreated
12499350,away,Inter,Davide Frattesi,davide-frattesi,D. Frattesi,M,16,178,5601,M,835600,EUR,937958400,M,16,16,False,48.0,41.0,2.0,,0.0,13.0,14.0,28.0,35.0,2.0,,,,90.0,57.0,8.4,9.0,0.0261413,2,,,,1.0,5.0,,3.0,,2.0,4.0,,,1.0,,1.0,,1.0,0.1807,,,,,,1.0,,2.0,1.3266,,1.0,davidefrrattesi_22,,,2.0,
12499350,away,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175,21290,M,363856,EUR,855273600,M,23,23,False,120.0,112.0,9.0,9.0,1.0,24.0,26.0,89.0,101.0,8.0,,,,90.0,143.0,9.6,17.0,0.661209,3,,,,1.0,2.0,,,,1.0,8.0,,,1.0,1.0,3.0,2.0,1.0,0.0886,,4.0,3.0,,3.0,7.0,1.0,,,2.0,,nicolo_barella,,,,2.0
12499350,away,Inter,Henrikh Mkhitaryan,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178,8680,M,37151,EUR,601344000,M,22,22,False,61.0,54.0,3.0,2.0,0.0,18.0,19.0,36.0,42.0,2.0,,,,65.0,66.0,7.3,8.0,0.179435,0,,,,1.0,3.0,,1.0,,2.0,4.0,,1.0,,,2.0,2.0,,,1.0,,,,,,,,,,,micki_taryan,,,,
12499350,away,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174,15308,M,284361,EUR,879120000,M,32,32,False,42.0,33.0,5.0,1.0,0.0,9.0,10.0,26.0,38.0,2.0,,,,65.0,54.0,7.3,15.0,0.131718,2,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,0.066,1.0,,,,2.0,6.0,2.0,1.0,0.0428,,,dimarco32,,,,1.0
12499350,away,Inter,Marcus Thuram,marcus-thuram,M. Thuram,F,9,192,25521,M,791702,EUR,870825600,F,9,9,False,16.0,10.0,,,0.0,2.0,2.0,8.0,14.0,1.0,,,,75.0,27.0,7.1,9.0,0.0373796,3,,,,,3.0,,2.0,,3.0,6.0,1.0,,3.0,2.0,,,3.0,0.1511,,,,,,,,,,1.0,1.0,m_thuram,,,,
12499350,away,Inter,Lautaro Martínez,lautaro-martinez,L. Martínez,F,10,175,122092,M,823984,EUR,872208000,F,10,10,False,23.0,17.0,1.0,1.0,1.0,5.0,5.0,13.0,19.0,4.0,,,,90.0,37.0,7.7,10.0,0.422059,4,,,,1.0,3.0,,,True,2.0,2.0,1.0,,,,,,1.0,0.442,2.0,,,1.0,1.0,1.0,1.0,2.0,0.713,2.0,,LautaroM,2.0,,1.0,
12499350,away,Inter,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10877,M,787505,EUR,827971200,D,28,28,True,41.0,38.0,1.0,1.0,0.0,9.0,10.0,29.0,32.0,1.0,,,,25.0,44.0,6.9,5.0,0.0246058,0,,,,,1.0,,1.0,,1.0,2.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,benpavard21,,,,
12499350,away,Inter,Denzel Dumfries,denzel-dumfries,D. Dumfries,M,2,189,15021,M,759520,EUR,829785600,D,2,2,True,22.0,20.0,,,0.0,3.0,3.0,17.0,20.0,2.0,,,,25.0,30.0,6.8,5.0,0.0300301,0,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,ddumfries2,,,,
12499350,away,Inter,Piotr Zieliński,piotr-zielinski,P. Zieliński,M,7,180,18478,M,138605,EUR,769392000,M,7,7,True,39.0,37.0,,,0.0,7.0,7.0,30.0,33.0,3.0,,,,25.0,44.0,6.9,4.0,0.0317748,0,,,,,2.0,,,,,2.0,,,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,,,1.0,zielu_94,,,,
12499350,away,Inter,Mehdi Taremi,mehdi-taremi,M. Taremi,F,99,187,20235,M,812533,EUR,711417600,F,99,99,True,9.0,8.0,,,0.0,,,8.0,9.0,,,,,15.0,11.0,6.6,2.0,0.0261097,0,,,,1.0,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,mehditaremi9,,,,
12499350,away,Inter,Tomás Palacios,tiago-tomas-palacios,T. Palacios,D,24,195,2235,M,1173598,EUR,1051488000,D,42,42,True,14.0,14.0,1.0,1.0,0.0,6.0,6.0,8.0,8.0,2.0,,,,9.0,15.0,6.7,,0.00481388,0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
12499350,away,Inter,Josep Martínez,josep-martinez,J. Martínez,G,13,191,2817,M,845291,EUR,896227200,G,13,13,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,away,Inter,Raffaele Di Gennaro,raffaele-di-gennaro,R. D. Gennaro,G,12,188,1343,M,301162,EUR,749606400,G,12,12,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,away,Inter,Tajon Buchanan,tajon-buchanan,T. Buchanan,M,17,183,7471,M,973290,EUR,918432000,M,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,away,Inter,Kristjan Asllani,kristjan-asllani,K. Asllani,M,23,179,5914,M,996820,EUR,1015632000,M,21,21,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KristjanAsllani,,,,
12499350,away,Inter,Thomas Berenbruch,thomas-berenbruch,T. Berenbruch,M,44,176,924,M,1488281,EUR,1117497600,M,52,52,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,away,Inter,Marko Arnautović,marko-arnautovic,M. Arnautović,F,89,192,8675,M,21927,EUR,608947200,F,8,8,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m.arnautovic7,,,,
12499350,away,Inter,Joaquín Correa,joaquin-correa,J. Correa,F,30,188,5676,M,249929,EUR,776736000,F,11,11,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tucocorrea,,,,
