match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotOffTarget,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_errorLeadToAGoal,stat_expectedGoalsOnTarget,stat_challengeLost,stat_bigChanceCreated,stat_totalOffside,stat_goals,player_sofascoreId,stat_punches,stat_goalAssist
11368673,away,Getafe,Óscar Rodríguez,,,oscar-rodriguez,Ó. Rodríguez,M,14,174.0,618,M,794948,EUR,898992000,M,9,9,False,16.0,11.0,5.0,3.0,3.0,5.0,8.0,11.0,1.0,,,57.0,28.0,7.1,6.0,0.00513215,1,,,,1.0,,3.0,6.0,,2.0,1.0,,,1.0,,3.0,0.0036,,1.0,,,,,2.0,2.0,,,,1.0,,,,,,
11368673,away,Getafe,Juanmi Latasa,,,juanmi-latasa,J. Latasa,F,9,191.0,1993,M,966679,EUR,985305600,F,14,14,False,5.0,4.0,,,1.0,1.0,3.0,4.0,1.0,,,45.0,13.0,6.6,5.0,0.00218772,0,,,,6.0,1.0,11.0,4.0,2.0,,,,1.0,,2.0,1.0,,1.0,,5.0,,,,2.0,2.0,,,,,,,,,,
11368673,away,Getafe,Jaime Mata,,,jaime-mata,J. Mata,F,17,185.0,448,M,351140,EUR,593654400,F,7,7,True,12.0,9.0,,,4.0,4.0,5.0,8.0,3.0,,,45.0,20.0,7.4,4.0,0.0114473,1,,,,2.0,4.0,7.0,6.0,1.0,,,,3.0,,,2.0,0.7532,,,4.0,,1.0,,,,,,0.7833,,,1.0,1.0,,,
11368673,away,Getafe,Jordi Martín,,,jordi-martin,J. Martín,M,8,174.0,159,M,1010513,EUR,978652800,M,32,32,True,7.0,6.0,1.0,,1.0,2.0,5.0,5.0,1.0,,,33.0,18.0,6.7,3.0,0.0045428,0,,,,,,4.0,4.0,,1.0,1.0,,1.0,,2.0,1.0,,,,4.0,,,1.0,2.0,1.0,,,,,,,,,,
11368673,away,Getafe,Yellu Santiago,Jesús Santiago,,yellu-santiago,J. Santiago,M,20,192.0,223,M,1211005,EUR,1085443200,M,25,25,True,3.0,2.0,1.0,,1.0,1.0,1.0,2.0,,,,22.0,4.0,6.4,1.0,7.695e-05,0,,,,,,2.0,1.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,
11368673,away,Getafe,Gastón Álvarez,,,gaston-alvarez,G. Álvarez,D,17,184.0,491,M,980578,EUR,953856000,D,4,4,True,5.0,4.0,1.0,,3.0,3.0,1.0,2.0,1.0,,,10.0,7.0,6.7,1.0,0.00033696,0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11368673,away,Getafe,Alberto Risco,Alberto Risco,,alberto-risco,A. Risco,M,30,,55,M,1841875,EUR,1125360000,M,37,37,True,2.0,1.0,,,,,1.0,2.0,,,,10.0,6.0,6.5,4.0,8.452e-05,0,,,,,,1.0,1.0,,,,,,,3.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,
11368673,away,Getafe,Daniel Fuzato,,,daniel-fuzato,D. Fuzato,G,13,190.0,943,M,863276,EUR,867974400,G,1,1,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368673,away,Getafe,Djordjije Medenica,Djordjije Medenica,,djordjije-medenica,D. Medenica,G,35,185.0,29,M,1645004,EUR,1163721600,G,40,40,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368673,away,Getafe,Fabrizio Angileri,,,fabrizio-angileri,F. Angileri,D,,185.0,4185,M,311462,EUR,763689600,D,3,3,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368673,away,Getafe,Diego López,Diego López,,diego-lopez,D. López,M,11,,9,M,1144086,EUR,1003622400,M,36,36,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368673,away,Getafe,Yassin Tallal,Yassin Tallal,,tallal-yassin,Y. Tallal,F,39,173.0,299,M,1830852,EUR,1109808000,F,31,31,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
