match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,captain,stat_aerialLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_keyPass,stat_shotOffTarget,player_sofascoreId,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,stat_bigChanceMissed
13981431,away,Napoli,Amir Rrahmani,amir-rrahmani,A. Rrahmani,D,13,190,3520,M,332155,EUR,762048000,D,13,13,False,86.0,76.0,5.0,2.0,0.0,54.0,57.0,22.0,29.0,6.0,10.0,5.0,4.0,,,,,90.0,100.0,7.7,11.0,0.0103487,,1,,0.25,0.16,0.33,,,4.0,,2.0,1.0,,2.0,2.0,2.0,,,,1.0,,,1.0,,,1.0,0.1833,,-0.51,1.0,1.0,,,,,,,,,
13981431,away,Napoli,Juan Jesus,juan-jesus,Juan Jesus,D,5,185,2485,M,108484,EUR,676512000,D,5,5,False,84.0,75.0,4.0,1.0,0.0,58.0,65.0,17.0,19.0,,4.0,1.0,1.0,,,,,90.0,92.0,7.2,9.0,0.00533993,,0,,0.15,0.09,0.21,,,2.0,,,,2.0,4.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
13981431,away,Napoli,Mathías Olivera,mathias-olivera,M. Olivera,D,17,184,3517,M,805078,EUR,878256000,D,17,17,False,37.0,34.0,1.0,,0.0,19.0,19.0,15.0,18.0,,4.0,,2.0,,,,,89.0,54.0,6.9,6.0,0.00778156,,0,,0.07,0.02,0.17,,,3.0,,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
13981431,away,Napoli,Stanislav Lobotka,stanislav-lobotka,S. Lobotka,M,68,170,4661,M,150383,EUR,785721600,M,68,68,False,69.0,67.0,2.0,2.0,0.0,46.0,47.0,21.0,22.0,,2.0,,3.0,,,,,81.0,71.0,7.0,2.0,0.0139401,,0,,0.1,0.11,-0.01,,,2.0,,,,,2.0,2.0,,,,,1.0,1.0,,,,,,,,,,,StanLobotka,,,,,,,,
13981431,away,Napoli,Matteo Politano,matteo-politano,M. Politano,F,21,171,4493,M,235672,EUR,744336000,M,21,21,False,27.0,22.0,1.0,,1.0,12.0,13.0,10.0,14.0,1.0,4.0,2.0,5.0,,,,,76.0,52.0,7.0,15.0,0.103008,,3,,0.15,0.36,-0.05,,8.0,5.0,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,2.0,,,,2.0,2.0,0.1343,,-0.52,1.0,,,3.0,,,2.0,1.0,1.0,,
13981431,away,Napoli,Frank Anguissa,frank-anguissa,F. Anguissa,M,99,184,12968,M,787941,EUR,816480000,M,99,99,False,66.0,62.0,2.0,2.0,0.0,26.0,28.0,36.0,38.0,3.0,7.0,1.0,6.0,,,,,90.0,84.0,7.3,12.0,0.0211013,,1,,0.18,0.35,0.19,,1.0,4.0,2.0,3.0,2.0,,,,2.0,,,,,,,,,4.0,2.0,0.1242,,-0.51,,1.0,anguiss_29,,,,,,,,
13981431,away,Napoli,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,317675,M,70996,EUR,678067200,M,11,11,False,59.0,51.0,4.0,3.0,0.0,33.0,35.0,18.0,24.0,,,,5.0,,,,,90.0,67.0,7.8,9.0,0.337377,,3,,0.12,0.22,-0.05,,,2.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,0.1881,0.327,0.56,3.0,1.0,KDB,1.0,,,,,,1.0,
13981431,away,Napoli,Scott McTominay,scott-mctominay,S. McTominay,M,8,193,25748,M,879346,EUR,850003200,M,8,8,False,30.0,27.0,1.0,1.0,0.0,11.0,12.0,16.0,18.0,,8.0,,7.0,,,,,89.0,49.0,7.9,10.0,0.0842416,,3,,0.05,0.05,-0.1,,,7.0,3.0,3.0,1.0,,1.0,1.0,,,,,,2.0,2.0,,,2.0,6.0,0.2175,0.627,0.5,1.0,1.0,ScottMcTominay,,,,,,1.0,1.0,
13981431,away,Napoli,Lorenzo Lucca,lorenzo-lucca,L. Lucca,F,20,201,5063,M,962364,EUR,968544000,F,27,27,False,17.0,15.0,,,0.0,8.0,9.0,7.0,8.0,3.0,8.0,,4.0,,,,,82.0,32.0,6.8,6.0,0.0158721,,2,,-0.42,-0.54,-0.06,,,8.0,2.0,3.0,2.0,,,,5.0,,,,1.0,,1.0,,,1.0,3.0,0.3432,0.2871,0.32,,,,1.0,,,,,,,1.0
13981431,away,Napoli,David Neres,david-neres,D. Neres,F,7,175,15134,M,850993,EUR,857347200,F,7,7,True,6.0,6.0,,,0.0,1.0,1.0,5.0,5.0,,,,,,,,,14.0,8.0,6.2,2.0,0.0130115,,0,,0.04,-0.34,0.13,,,4.0,,1.0,,,,,2.0,,,,1.0,,,,,1.0,,,,,,,davidneres,,,,,,,,
13981431,away,Napoli,Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4342,M,907668,EUR,992217600,M,6,6,True,18.0,16.0,2.0,1.0,0.0,4.0,4.0,12.0,14.0,,,,,,,,,9.0,18.0,6.7,2.0,0.00826432,,0,,0.09,0.08,-0.04,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,billygilmour,,,,,,,,
13981431,away,Napoli,Noa Lang,noa-lang,N. Lang,F,77,173,13002,M,875136,EUR,929577600,F,70,70,True,5.0,4.0,,,0.0,2.0,2.0,2.0,3.0,,,,,,,,,8.0,5.0,6.4,1.0,0.00109146,,0,,-0.1,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,noano,,,,,,,,
13981431,away,Napoli,Leonardo Spinazzola,leonardo-spinazzola,L. Spinazzola,D,37,185,3729,M,148899,EUR,733017600,D,37,37,True,8.0,8.0,,,0.0,4.0,4.0,4.0,4.0,,,,,,,,,1.0,8.0,,,0.0218849,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
13981431,away,Napoli,Antonio Vergara,antonio-vergara,A. Vergara,F,26,182,3250,M,1069560,EUR,1042675200,M,26,26,True,2.0,2.0,,,0.0,2.0,2.0,,,,,,,,,,,1.0,2.0,,,1.986e-05,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,away,Napoli,Nikita Contini,nikita-contini,N. Contini,G,14,190,976,M,352728,EUR,832636800,G,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,away,Napoli,Vanja Milinković-Savić,vanja-milinkovic-savic,V. Milinković-Savić,G,32,202,6222,M,356160,EUR,856396800,G,32,32,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,away,Napoli,Luca Marianucci,marianucci-luca,L. Marianucci,D,35,186,890,M,1165371,EUR,1090540800,D,35,35,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,away,Napoli,Sam Beukema,sam-beukema,S. Beukema,D,31,188,2235,M,898815,EUR,911260800,D,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,away,Napoli,Alessandro Buongiorno,alessandro-buongiorno,A. Buongiorno,D,4,191,3972,M,870263,EUR,928627200,D,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,away,Napoli,Pasquale Mazzocchi,pasquale-mazzocchi,P. Mazzocchi,M,30,183,1368,M,377512,EUR,806803200,D,30,30,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,away,Napoli,Alessandro Zanoli,zanoli-alessandro,A. Zanoli,M,59,186,923,M,922928,EUR,970531200,D,59,59,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,away,Napoli,Luis Hasa,luis-hasa,L. Hasa,M,70,172,994,M,1082407,EUR,1073347200,M,29,29,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,away,Napoli,Giuseppe Ambrosino,ambrosino-giuseppe,G. Ambrosino,F,10,187,1258,M,1163083,EUR,1063152000,F,69,69,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,away,Napoli,Walid Cheddira,walid-cheddira,W. Cheddira,F,99,187,3794,M,917485,EUR,885427200,F,77,77,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,walo_98,,,,,,,,
