match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_keyPass,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_lastManTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_onTargetScoringAttempt,stat_totalContest,stat_wonContest,stat_dispossessed,captain,stat_challengeLost,stat_shotOffTarget,stat_goals,stat_goalAssist,stat_totalOffside
10411775,home,Empoli,Koni De Winter,de-winter-koni,K. De Winter,D,5,191,3255,M,,1001828,EUR,1023840000,D,6,6,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,home,Empoli,Liberato Cacace,liberato-cacace,L. Cacace,D,13,184,514,M,,905264,EUR,970012800,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,home,Empoli,Giovanni Crociata,crociata-giovanni,G. Crociata,M,24,174,64,M,,826570,EUR,871257600,M,15,15,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,home,Empoli,Duccio Degli Innocenti,duccio-degli-innocenti,D. D. Innocenti,M,6,180,80,M,,1015856,EUR,1051488000,M,20,20,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,home,Empoli,Emmanuel Ekong,emmanuel-ekong,E. Ekong,M,11,176,283,M,,1000015,EUR,1024963200,F,17,17,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,away,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191,564,M,,253391,EUR,820454400,G,1,1,False,26.0,19.0,9.0,2.0,17.0,18.0,2.0,8.0,,,,8.0,,,3.0,3.0,,90.0,36.0,6.9,7.0,0.0,0.0,0.00090432,0,-0.2739,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,away,Hellas Verona,Paweł Dawidowicz,pawel-dawidowicz,P. Dawidowicz,D,27,188,1744,M,,288321,EUR,800928000,D,27,27,False,34.0,26.0,5.0,1.0,15.0,18.0,11.0,17.0,3.0,5.0,3.0,5.0,,,,,,90.0,53.0,6.7,12.0,0.1891,0.4402,0.00316165,2,,,,1.0,,,,2.0,,2.0,6.0,,,,,3.0,1.0,,,,,1.0,1.0,,,
10411775,away,Hellas Verona,Diego Coppola,diego-coppola,D. Coppola,D,42,192,1399,M,,1050692,EUR,1072569600,D,42,42,False,33.0,24.0,3.0,,15.0,19.0,9.0,14.0,1.0,5.0,7.0,3.0,,,,,,90.0,54.0,7.0,11.0,0.0,0.0,0.00731006,0,,,,,,,1.0,4.0,,3.0,4.0,1.0,,2.0,2.0,,,,,,,1.0,,,,
10411775,away,Hellas Verona,Federico Ceccherini,federico-ceccherini,F. Ceccherini,D,23,187,130,M,,139410,EUR,705542400,D,17,17,False,24.0,15.0,4.0,1.0,11.0,14.0,4.0,10.0,4.0,5.0,4.0,5.0,1.0,,,,,45.0,41.0,6.5,15.0,0.0,0.0,0.00870676,0,,,,,,,1.0,,,2.0,4.0,,,,2.0,2.0,,,,,,,,,,
10411775,away,Hellas Verona,Davide Faraoni,davide-faraoni,D. Faraoni,D,19,180,300,M,,32040,EUR,688348800,M,5,5,False,13.0,7.0,3.0,1.0,4.0,6.0,3.0,8.0,1.0,1.0,3.0,2.0,,,,,,45.0,21.0,6.3,8.0,0.0,0.0,0.00112541,0,,,,1.0,,,1.0,,,,4.0,,,,,3.0,,,,,True,1.0,,,,
10411775,away,Hellas Verona,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,,139235,EUR,760320000,M,61,61,False,22.0,18.0,4.0,3.0,8.0,8.0,10.0,14.0,2.0,3.0,2.0,4.0,,,,,,67.0,35.0,6.8,6.0,0.0,0.0,0.0523122,0,,,,,,,1.0,1.0,,1.0,5.0,2.0,,1.0,,2.0,,1.0,,1.0,,,,,,
10411775,away,Hellas Verona,Martin Hongla,martin-hongla,M. Hongla,M,78,183,1195,M,,856062,EUR,890006400,M,18,18,False,19.0,15.0,1.0,,7.0,9.0,8.0,10.0,,,2.0,5.0,,,,,,45.0,23.0,6.4,5.0,0.0,0.0,0.00366895,0,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,
10411775,away,Hellas Verona,Ivan Ilić,ivan-ilic,I. Ilić,M,8,185,1776,M,,877371,EUR,984787200,M,14,14,False,35.0,24.0,7.0,3.0,11.0,13.0,16.0,28.0,2.0,7.0,3.0,9.0,1.0,,,,,90.0,55.0,7.2,17.0,0.0349,0.0,0.243026,1,,,,6.0,3.0,,,3.0,2.0,1.0,3.0,,,2.0,2.0,1.0,,2.0,1.0,,,1.0,1.0,,,
10411775,away,Hellas Verona,Darko Lazović,darko-lazovic,D. Lazović,M,88,181,680,M,,41157,EUR,653356800,M,8,8,False,34.0,23.0,3.0,1.0,6.0,12.0,17.0,28.0,,1.0,,8.0,,,,,,90.0,50.0,6.6,21.0,0.0709,0.0,0.127395,1,,,,6.0,,1.0,,1.0,1.0,,3.0,1.0,,,,,,1.0,,2.0,,,,,,
10411775,away,Hellas Verona,Thomas Henry,thomas-henry,T. Henry,F,9,191,450,M,,795541,EUR,780019200,F,9,9,False,9.0,5.0,1.0,1.0,1.0,1.0,4.0,8.0,1.0,4.0,,1.0,1.0,,,,,90.0,27.0,6.4,13.0,0.0,0.0,0.0020858,0,,,,,,,,2.0,,4.0,11.0,1.0,,1.0,3.0,4.0,,1.0,,3.0,,,,,,
10411775,away,Hellas Verona,Kevin Lasagna,kevin-lasagna,K. Lasagna,F,15,181,317,M,,587962,EUR,713404800,F,11,11,False,12.0,7.0,,,5.0,5.0,3.0,9.0,,,1.0,5.0,,,,,,68.0,30.0,6.6,15.0,0.2323,0.0347,0.00852889,3,,,,2.0,1.0,1.0,,,,1.0,6.0,1.0,,,4.0,1.0,1.0,,,4.0,,,1.0,,,1.0
10411775,away,Hellas Verona,Isak Hien,hien-isak,I. Hien,D,4,191,2306,M,,1157713,EUR,916185600,D,6,6,True,22.0,15.0,1.0,,10.0,15.0,5.0,7.0,4.0,6.0,2.0,2.0,,,,,,45.0,28.0,7.0,8.0,0.0,0.0,0.00273439,0,,,,,,,,2.0,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,
10411775,away,Hellas Verona,Filippo Terracciano,terracciano-filippo,F. Terracciano,D,24,181,1614,M,,1034303,EUR,1044662400,M,24,24,True,18.0,14.0,2.0,1.0,3.0,5.0,11.0,13.0,,4.0,,4.0,1.0,,,,,45.0,28.0,6.8,7.0,0.0,0.0,0.0217959,0,,,,,,,1.0,3.0,,,3.0,1.0,,3.0,1.0,1.0,,1.0,,1.0,,,,,,
10411775,away,Hellas Verona,Miguel Veloso,miguel-veloso,M. Veloso,M,,180,198,M,,6557,EUR,516153600,M,4,4,True,12.0,9.0,3.0,1.0,5.0,8.0,7.0,10.0,,7.0,,4.0,1.0,,,,,45.0,27.0,7.5,6.0,0.033,0.0,0.0150917,1,,,,6.0,3.0,,,6.0,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,,,
10411775,away,Hellas Verona,Josh Doig,josh-doig,J. Doig,D,3,189,836,M,,989276,EUR,1021680000,D,3,3,True,5.0,5.0,,,1.0,1.0,5.0,6.0,,1.0,,1.0,,,,,,23.0,10.0,7.1,2.0,0.0,0.0,0.158483,0,,,,2.0,1.0,,,,2.0,,,,,,1.0,,,1.0,1.0,,,,,,1.0,
10411775,away,Hellas Verona,Yayah Kallon,yayah-kallon,Y. Kallon,F,9,175,173,M,,967510,EUR,993859200,F,30,30,True,8.0,6.0,,,1.0,1.0,5.0,8.0,,2.0,,2.0,,,,,,22.0,18.0,7.3,7.0,0.0772,0.5414,0.0244425,1,,,,1.0,,,1.0,,,,4.0,,,,2.0,2.0,1.0,3.0,2.0,1.0,,,,1.0,,
10411775,away,Hellas Verona,Mattia Chiesa,mattia-chiesa,M. Chiesa,G,1,190,62,M,,916322,EUR,963705600,G,16,16,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,Mattia,Chiesa,,,,,,,,,,,,,,,,,,,,,,,
10411775,away,Hellas Verona,Simone Perilli,simone-perilli,S. Perilli,G,34,195,110,M,,253369,EUR,789436800,G,34,34,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,away,Hellas Verona,Juan Cabal,juan-cabal,J. Cabal,D,32,185,4400,M,,988037,EUR,978912000,D,32,32,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,away,Hellas Verona,Bruno Amione,bruno-amione,B. Amione,D,2,189,503,M,,990050,EUR,1010016000,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,away,Hellas Verona,Ibrahim Sulemana,ibrahim-sulemana,I. Sulemana,M,25,180,1979,M,,105905,EUR,1053561600,M,77,77,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,away,Hellas Verona,Alessandro Cortinovis,alessandro-cortinovis,A. Cortinovis,M,10,180,125,M,,918873,EUR,980380800,M,72,72,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,away,Hellas Verona,Milan Đurić,milan-duric,M. Đurić,F,9,199,819,M,,76132,EUR,643334400,F,19,19,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
