match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_dispossessed,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_keyPass,stat_wasFouled,captain,stat_goals,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_totalOffside
12624868,home,Al-Hilal,Mohammed Al-Owais,mohammed-al-owais,M. Al-Owais,G,33,185.0,753,M,791416,EUR,687052800.0,G,21,21,False,19.0,15.0,9.0,5.0,0.0,13.0,13.0,2.0,6.0,1.0,9.0,2.0,1.0,1.0,90.0,27.0,7.1,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624868,home,Al-Hilal,Yasir Al-Shahrani,yasir-al-shahrani,Y. Al-Shahrani,D,12,171.0,762,M,160923,EUR,706752000.0,D,12,12,False,30.0,26.0,2.0,2.0,0.0,7.0,9.0,20.0,24.0,1.0,3.0,,,,64.0,45.0,6.8,8.0,0,3.0,1.0,1.0,2.0,8.0,5.0,1.0,1.0,2.0,3.0,1.0,5.0,,,,,,,,,,,,,,,,,,,
12624868,home,Al-Hilal,Kalidou Koulibaly,kalidou-koulibaly,K. Koulibaly,D,3,187.0,26133,M,126071,EUR,677376000.0,D,3,3,False,36.0,31.0,5.0,3.0,0.0,18.0,21.0,13.0,15.0,2.0,3.0,,,,90.0,49.0,6.8,6.0,2,,,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,,,,kkoulibaly26,1.0,1.0,2.0,2.0,,,,,,,,,,,,
12624868,home,Al-Hilal,Hassan Al Tambakti,hassan-al-tambakti,H. A. Tambakti,D,87,182.0,1188,M,881837,EUR,918518400.0,D,87,87,False,49.0,44.0,1.0,,0.0,25.0,26.0,19.0,23.0,4.0,5.0,,,,90.0,57.0,7.2,5.0,0,,,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,
12624868,home,Al-Hilal,Moteb Al-Harbi,moteb-al-harbi,M. Al-Harbi,D,24,171.0,848,M,1022679,EUR,950918400.0,D,24,24,False,48.0,43.0,2.0,2.0,0.0,17.0,17.0,26.0,33.0,2.0,3.0,,,,90.0,84.0,7.7,11.0,3,2.0,,,1.0,,2.0,,,4.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,3.0,,,,,,,,
12624868,home,Al-Hilal,Rúben Neves,ruben-neves,R. Neves,M,8,181.0,15472,M,280955,EUR,858211200.0,M,8,8,False,72.0,66.0,12.0,8.0,1.0,29.0,29.0,43.0,50.0,2.0,4.0,,,,90.0,89.0,9.3,8.0,1,7.0,6.0,,,4.0,2.0,2.0,,,2.0,2.0,2.0,,,rubenneves,,,,1.0,2.0,,,1.0,4.0,6.0,,,,,,
12624868,home,Al-Hilal,Sergej Milinković-Savić,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191.0,13384,M,331447,EUR,793843200.0,M,22,22,False,60.0,50.0,4.0,3.0,0.0,17.0,18.0,33.0,44.0,1.0,9.0,,,,86.0,72.0,7.2,15.0,3,2.0,,1.0,1.0,4.0,2.0,1.0,,,1.0,1.0,1.0,,,sms,1.0,,1.0,1.0,,1.0,1.0,1.0,,2.0,,,,,,
12624868,home,Al-Hilal,Kaio César,kaio-cesar,Kaio César,M,37,168.0,5030,M,1396009,EUR,1076803200.0,M,27,27,False,35.0,31.0,5.0,4.0,1.0,4.0,4.0,27.0,31.0,1.0,3.0,,,,73.0,52.0,7.6,13.0,2,,,1.0,2.0,9.0,7.0,2.0,6.0,,2.0,2.0,1.0,Kaio César,,,2.0,2.0,,1.0,,,1.0,3.0,1.0,3.0,1.0,,,,,
12624868,home,Al-Hilal,Malcom,malcom,Malcom,M,10,171.0,13905,M,551772,EUR,856915200.0,M,77,77,False,45.0,40.0,2.0,2.0,0.0,6.0,6.0,34.0,41.0,,5.0,,,,90.0,56.0,7.1,10.0,2,2.0,,1.0,,4.0,3.0,1.0,2.0,,1.0,1.0,2.0,,,malcomoliveira_97,,1.0,,1.0,,,1.0,2.0,,,1.0,,,,,
12624868,home,Al-Hilal,Salem Al-Dawsari,salem-al-dawsari,S. Al-Dawsari,M,29,171.0,11126,M,160893,EUR,682560000.0,M,29,29,False,46.0,38.0,,,0.0,4.0,6.0,37.0,47.0,,8.0,,,,86.0,76.0,10.0,17.0,3,7.0,3.0,,,4.0,10.0,,11.0,1.0,2.0,2.0,1.0,,,29salem,,8.0,,,,2.0,1.0,2.0,2.0,5.0,,True,2.0,,,
12624868,home,Al-Hilal,Aleksandar Mitrović,aleksandar-mitrovic,A. Mitrović,F,9,189.0,24095,M,192144,EUR,779673600.0,F,9,9,False,19.0,13.0,1.0,1.0,1.0,4.0,4.0,9.0,15.0,1.0,,,,,90.0,40.0,8.5,12.0,7,,,1.0,6.0,4.0,12.0,,1.0,,2.0,2.0,1.0,,,AleksMitrović,2.0,1.0,3.0,3.0,,4.0,,4.0,1.0,3.0,3.0,,1.0,1.0,,
12624868,home,Al-Hilal,João Cancelo,joao-cancelo,J. Cancelo,D,2,182.0,90162,M,138892,EUR,769996800.0,D,20,20,True,20.0,19.0,,,0.0,8.0,8.0,11.0,12.0,,,,,,26.0,26.0,6.4,4.0,1,,,,,5.0,,2.0,2.0,1.0,,,1.0,,,JCancelo,,,,,,1.0,,1.0,,,,,,,,
12624868,home,Al-Hilal,Nasser Al-Dawsari,nasser-al-dawsari,N. Al-Dawsari,M,16,178.0,1153,M,872607,EUR,914025600.0,M,16,16,True,6.0,5.0,1.0,1.0,0.0,2.0,2.0,3.0,4.0,,,,,,17.0,11.0,6.4,4.0,0,,,,,4.0,1.0,1.0,,,1.0,1.0,2.0,,,,1.0,,,,,,,2.0,,,,,,,,
12624868,home,Al-Hilal,Mohamed Kanno,mohamed-kanno,M. Kanno,M,28,191.0,1575,M,828524,EUR,780192000.0,M,28,28,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,1.0,,,,11.0,4.0,6.6,,0,,,,,2.0,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,
12624868,home,Al-Hilal,Marcos Leonardo,marcos-leonardo,M. Leonardo,F,9,177.0,22653,M,1047227,EUR,1051833600.0,F,11,11,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,11.0,1.0,6.5,,0,,,,,,,,,,,,,,,marcosleonardo09,,,,,,,,,,,,,,,,
