match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,captain,stat_aerialLost,stat_blockedScoringAttempt,stat_accurateCross,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals,stat_goalAssist,stat_hitWoodwork
10583831,away,Al-Shabab,Grzegorz Krychowiak,Grzegorz,Krychowiak,grzegorz-krychowiak,G. Krychowiak,M,4,187.0,2715,M,76227,EUR,633571200,M,23,23,False,67.0,64.0,3.0,2.0,24.0,24.0,40.0,43.0,1.0,5.0,,,,,,90.0,79.0,6.7,5.0,2,,5.0,4.0,,,,,,,4.0,2.0,,1.0,,,,1.0,,,1.0,2.0,,,,,,,
10583831,away,Al-Shabab,Husain Al-Qahtani,,,husain-al-monassar,H. Al-Qahtani,M,52,177.0,32,M,893218,EUR,787881600,M,15,15,False,78.0,76.0,7.0,6.0,39.0,40.0,37.0,38.0,,4.0,,,,,,90.0,83.0,7.1,3.0,1,,2.0,2.0,,,1.0,2.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,
10583831,away,Al-Shabab,Carlos Junior,,,carlos-junior,C. Junior,M,13,176.0,437,M,555624,EUR,808444800,M,13,13,False,26.0,21.0,1.0,1.0,7.0,7.0,15.0,20.0,1.0,4.0,,,,,,77.0,43.0,7.6,11.0,3,1.0,7.0,4.0,4.0,1.0,,2.0,1.0,,1.0,1.0,,,,,2.0,,1.0,3.0,,1.0,3.0,,1.0,,1.0,,
10583831,away,Al-Shabab,Cristian Guanca,,,cristian-guanca,C. Guanca,M,10,177.0,565,M,789438,EUR,733190400,M,8,8,False,24.0,18.0,,,3.0,4.0,17.0,29.0,,3.0,,,,,,88.0,46.0,7.5,16.0,4,9.0,3.0,2.0,1.0,,,2.0,2.0,1.0,,,,1.0,,True,,1.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,,,
10583831,away,Al-Shabab,Aaron-Salem Boupendza,,,aaron-salem-boupendza,A. Boupendza,F,9,180.0,1126,M,891419,EUR,839376000,M,9,9,False,14.0,11.0,2.0,1.0,1.0,1.0,10.0,16.0,,2.0,,,,,,69.0,29.0,7.1,11.0,2,3.0,7.0,4.0,3.0,1.0,,1.0,1.0,1.0,2.0,3.0,,1.0,,,,1.0,,2.0,1.0,1.0,,,,1.0,,1.0,1.0
10583831,away,Al-Shabab,Santi Mina,,,santi-mina,S. Mina,F,,182.0,384,,306498,EUR,818294400,F,77,77,False,18.0,14.0,1.0,,2.0,3.0,12.0,15.0,2.0,1.0,,,,,,88.0,31.0,6.6,9.0,4,,5.0,1.0,2.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,2.0,,,,,,
10583831,away,Al-Shabab,Nawaf Al-Abed,,,nawaf-al-abed,N. Al-Abed,M,,168.0,122,,144377,EUR,633312000,M,14,14,True,10.0,10.0,,,3.0,3.0,8.0,9.0,,,,,,,,21.0,17.0,6.3,3.0,0,2.0,3.0,2.0,,,,,,,2.0,1.0,,,,,,,1.0,,,2.0,,,,,,,
10583831,away,Al-Shabab,Hattan Bahebri,,,hattan-bahebri,H. Bahbri,M,11,168.0,92,M,803052,EUR,711244800,M,11,11,True,4.0,2.0,,,,,2.0,4.0,,,,,,,,13.0,5.0,6.5,2.0,0,,2.0,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
10583831,away,Al-Shabab,Fahad Al-Muwallad,,,fahad-al-muwallad,F. Al-Muwallad,M,,167.0,183,M,160909,EUR,779500800,F,90,90,True,2.0,1.0,,,1.0,2.0,,,,2.0,,,,,,2.0,4.0,,2.0,0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
10583831,away,Al-Shabab,Ahmed Abdu,Ahmed Abdu,,ahmed-abdu,A. Abdu,F,71,183.0,6,M,1392248,EUR,839462400,M,71,71,True,1.0,,,,,,,1.0,,,,,,,,2.0,6.0,,6.0,0,,4.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,
10583831,away,Al-Shabab,Nader Al Sharari,,,nader-abdullah-al-sharari,N. A. Sharari,D,4,184.0,534,M,923040,EUR,831513600,D,88,88,True,2.0,2.0,1.0,1.0,2.0,2.0,,,1.0,,,,,,,2.0,7.0,,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583831,away,Al-Shabab,Fawaz Al-Qarni,,,fawaz-al-qarni,F. Al-Qarni,G,,185.0,18,M,160929,EUR,702172800,G,22,22,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583831,away,Al-Shabab,Saeed Al-Rabiei,,,saeed-al-rabiei,S. Al-Rabiei,D,4,187.0,32,M,954639,EUR,746841600,D,25,25,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583831,away,Al-Shabab,Nasser Al-Omran,,,nasser-al-omran,N. Al-Omran,M,,172.0,2,M,923943,EUR,868752000,M,21,21,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583831,away,Al-Shabab,Hussain Al-Sebyani,Hussain Alsebyani,,hussain-alsebyani,H. Alsebyani,M,16,168.0,15,M,1152012,EUR,993340800,D,16,16,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
