match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_ballRecovery,stat_wasFouled,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_wonTackle,player_firstName,player_lastName,stat_outfielderBlock,stat_interceptionWon,stat_keyPass,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_hitWoodwork,captain,stat_goalAssist,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAGoal
10433889,home,Beşiktaş JK,Berkay Vardar,vardar-berkay,B. Vardar,M,,188,82,M,1144933,EUR,1042502400,M,22,22,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433889,away,Konyaspor,Ibrahim Šehić,ibrahim-sehic,I. Šehić,G,13,190,350,M,63952,EUR,589161600,G,13,13,False,43.0,23.0,31.0,12.0,16.0,18.0,7.0,25.0,,,,,16.0,,90.0,54.0,6.7,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,4.0,5.0,
10433889,away,Konyaspor,Ahmet Oğuz,ahmet-oguz,A. Oğuz,D,22,175,120,M,603902,EUR,727142400,D,22,22,False,31.0,23.0,4.0,1.0,16.0,16.0,7.0,18.0,,6.0,9.0,1.0,5.0,3.0,90.0,55.0,6.1,15.0,0,3.0,1.0,,,2.0,6.0,1.0,,4.0,,6.0,,,,2.0,,,,1.0,,,,,,,,,,,1.0
10433889,away,Konyaspor,Uğurcan Yazğılı,ugurcan-yazgili,U. Yazğılı,D,5,184,99,M,904303,EUR,923616000,D,5,5,False,42.0,33.0,6.0,3.0,25.0,30.0,8.0,12.0,3.0,3.0,4.0,,6.0,1.0,90.0,56.0,6.6,11.0,0,,,,,7.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
10433889,away,Konyaspor,Adil Demirbağ,adil-demirbag,A. Demirbağ,D,4,182,168,M,787949,EUR,881712000,D,4,4,False,27.0,24.0,6.0,4.0,21.0,21.0,3.0,6.0,2.0,4.0,3.0,1.0,3.0,,90.0,37.0,6.7,4.0,0,,,,,5.0,1.0,1.0,,3.0,,1.0,,,3.0,,,,,,,,,,,,,,,,
10433889,away,Konyaspor,Guilherme Haubert Sityá,guilherme-haubert-sitya,G. H. Sityá,D,12,179,254,M,224112,EUR,638928000,D,12,12,False,34.0,24.0,5.0,3.0,15.0,19.0,10.0,20.0,,4.0,5.0,1.0,4.0,1.0,90.0,60.0,7.2,17.0,0,5.0,,1.0,1.0,1.0,3.0,3.0,,3.0,,3.0,,,,3.0,1.0,,,,,1.0,1.0,,,,1.0,,,,
10433889,away,Konyaspor,Soner Dikmen,soner-dikmen,S. Dikmen,M,6,179,82,M,847782,EUR,746841600,M,14,14,False,43.0,35.0,6.0,5.0,22.0,26.0,13.0,17.0,1.0,4.0,4.0,1.0,4.0,1.0,89.0,53.0,6.6,10.0,0,,1.0,1.0,,1.0,2.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
10433889,away,Konyaspor,Oğulcan Ülgün,ogulcan-ulgun,O. Ülgün,M,35,178,135,M,1063942,EUR,894844800,M,35,35,False,28.0,25.0,,,16.0,18.0,9.0,10.0,,4.0,6.0,2.0,3.0,3.0,65.0,41.0,6.5,5.0,2,,,1.0,1.0,1.0,2.0,1.0,2.0,,,,Ogulcan Ülgün,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,
10433889,away,Konyaspor,Konrad Michalak,konrad-michalak,K. Michalak,M,71,174,588,M,851243,EUR,874627200,M,77,77,False,12.0,8.0,,,6.0,8.0,2.0,4.0,,3.0,2.0,2.0,1.0,,45.0,15.0,6.3,5.0,0,,,1.0,1.0,,1.0,1.0,,1.0,,,Konrad,Michalak,,,,,,,,,,,,,,,,,
10433889,away,Konyaspor,Alejandro Pozuelo,alejandro-pozuelo,A. Pozuelo,F,10,170,264,M,153964,EUR,685238400,M,24,24,False,32.0,27.0,1.0,,16.0,16.0,12.0,17.0,3.0,6.0,8.0,1.0,2.0,,70.0,49.0,7.6,12.0,1,1.0,3.0,6.0,5.0,1.0,,2.0,1.0,,,,Alejandro,Pozuelo,,,2.0,1.0,,,,1.0,,1.0,,,1.0,,,,
10433889,away,Konyaspor,Marlos Moreno,marlos-moreno,M. Moreno,F,7,173,1658,M,818942,EUR,843177600,M,70,70,False,22.0,18.0,2.0,1.0,8.0,9.0,10.0,14.0,,11.0,9.0,3.0,8.0,2.0,77.0,44.0,6.7,14.0,1,1.0,,7.0,2.0,,5.0,4.0,3.0,,,3.0,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,
10433889,away,Konyaspor,Mame Biram Diouf,mame-biram-diouf,M. B. Diouf,F,55,185,388,M,22481,EUR,566611200,F,99,99,False,8.0,6.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,6.0,5.0,,,1.0,77.0,13.0,6.5,4.0,0,,1.0,,,1.0,1.0,1.0,4.0,2.0,,,Mame,Biram Diouf,,,,,,,,,,,,,,,,,
10433889,away,Konyaspor,Mahir Emreli,mahir-emreli,M. Emreli,F,10,188,4990,M,286071,EUR,867715200,F,19,19,True,13.0,9.0,,,5.0,5.0,4.0,8.0,2.0,9.0,5.0,1.0,4.0,,45.0,29.0,7.0,11.0,1,,5.0,1.0,,1.0,3.0,1.0,,2.0,,3.0,,,,1.0,,1.0,,,emreli11,,,1.0,,,,,,,
10433889,away,Konyaspor,Niko Rak,niko-rak,N. Rak,M,32,173,121,M,1048837,EUR,1059177600,M,21,21,True,3.0,3.0,,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,20.0,5.0,6.7,,0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
10433889,away,Konyaspor,Yasir Subaşı,yasir-subasi,Y. Subaşı,D,3,180,51,M,796555,EUR,820454400,D,3,3,True,2.0,2.0,,,,,2.0,2.0,,3.0,1.0,,,1.0,13.0,4.0,6.5,1.0,0,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,
10433889,away,Konyaspor,Robert Murić,robert-muric,R. Murić,M,,182,210,M,283853,EUR,826588800,M,11,11,True,3.0,2.0,,,2.0,3.0,,1.0,,2.0,1.0,2.0,1.0,,13.0,7.0,6.5,3.0,1,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
10433889,away,Konyaspor,Kahraman Demirtaş,kahraman-demirtas,K. Demirtaş,D,47,184,25,M,845313,EUR,762480000,D,20,20,True,,,,,,,,,,,,,,,1.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433889,away,Konyaspor,Erhan Erentürk,erhan-erenturk,E. Erentürk,G,18,190,42,M,997705,EUR,801792000,G,1,1,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433889,away,Konyaspor,Metehan Mert,metehan-mert,M. Mert,D,14,189,20,M,962535,EUR,925516800,D,2,2,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433889,away,Konyaspor,Domagoj Pavičić,domagoj-pavicic,D. Pavičić,M,24,178,120,M,94239,EUR,763171200,M,10,10,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433889,away,Konyaspor,Mehmet Ali Büyüksayar,buyuksayar-mehmet-ali,M. A. Büyüksayar,F,42,166,33,M,1390214,EUR,1083974400,M,42,42,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mehmet,Ali Büyüksayar,,,,,,,,,,,,,,,,,
10433889,away,Konyaspor,Ata Berk Karababa,karababa-ata-berk,A. B. Karababa,F,,175,6,M,1485988,EUR,1111795200,F,27,27,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
