match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_interceptionWon,stat_ballRecovery,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,stat_blockedScoringAttempt,stat_keyPass,stat_goalAssist,stat_challengeLost,stat_wonContest,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,player_firstName,player_lastName,stat_dispossessed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_penaltyWon,stat_errorLeadToAShot
10385542,away,Tottenham Hotspur,Oliver Skipp,skipp-oliver,O. Skipp,M,22,175,1315,M,,859901,EUR,969062400,M,4,4,False,66.0,57.0,5.0,2.0,30.0,33.0,27.0,33.0,,6.0,,90.0,73.0,6.5,11.0,0.0,0.0,0.0231037,0,,,,3.0,5.0,2.0,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,
10385542,away,Tottenham Hotspur,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185,4495,M,hojbjerg23,149593,EUR,807580800,M,5,5,False,92.0,80.0,13.0,11.0,41.0,46.0,39.0,47.0,3.0,9.0,,90.0,108.0,7.2,15.0,0.0,0.0,0.0516492,0,,,1.0,,3.0,5.0,2.0,1.0,,,1.0,2.0,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,
10385542,away,Tottenham Hotspur,Ivan Perišić,ivan-perisic,I. Perišić,M,5,187,17408,M,ivanperisic444,38710,EUR,602380800,M,14,14,False,41.0,32.0,4.0,3.0,14.0,17.0,19.0,32.0,1.0,3.0,,90.0,70.0,7.4,20.0,0.0571,0.0,0.135134,2,,,8.0,2.0,5.0,6.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,,,4.0,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,2.0,,,,,
10385542,away,Tottenham Hotspur,Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,11735,M,dejan_k10,928124,EUR,956620800,F,21,21,False,33.0,28.0,1.0,1.0,14.0,15.0,14.0,19.0,,8.0,,90.0,58.0,6.7,17.0,0.0725,0.0,0.0295619,1,,,1.0,1.0,11.0,9.0,10.0,2.0,1.0,2.0,2.0,,,,,1.0,,,,1.0,1.0,1.0,,1.0,5.0,,,,,,,3.0,,,,,
10385542,away,Tottenham Hotspur,Heung-min Son,heung-min-son,H. M. Son,F,7,184,117494,M,HMSon,111505,EUR,710553600,F,7,7,False,20.0,16.0,4.0,2.0,6.0,8.0,10.0,12.0,,4.0,,82.0,27.0,6.5,9.0,0.0,0.0,0.0153239,0,,,,1.0,5.0,3.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,2.0,,,2.0,,,,,
10385542,away,Tottenham Hotspur,Harry Kane,harry-kane,H. Kane,F,9,188,297679,M,HurriKane,108579,EUR,743817600,F,10,10,False,21.0,18.0,3.0,3.0,10.0,10.0,8.0,13.0,1.0,5.0,,90.0,37.0,7.0,9.0,1.263,0.9939,0.00610665,3,,,2.0,3.0,6.0,4.0,4.0,,,2.0,2.0,,1.0,2.0,1.0,,,,,1.0,,,,,2.0,,,1.0,1.0,,,,,,,,
10385542,away,Tottenham Hotspur,Davinson Sánchez,davinson-sanchez,D. Sánchez,D,6,187,12158,M,DAVINSON,566102,EUR,834537600,D,6,6,True,9.0,8.0,,,5.0,6.0,3.0,3.0,,,,13.0,11.0,6.2,1.0,0.0,0.0,0.00051339,0,,,,2.0,3.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
10385542,away,Tottenham Hotspur,Lucas Moura,lucas-moura,L. Moura,M,7,172,12483,M,lucasmoura7,149710,EUR,713664000,F,27,27,True,3.0,1.0,,,,,1.0,3.0,,,,6.0,3.0,5.7,2.0,0.0,0.0,5.673e-05,0,,,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
10385542,away,Tottenham Hotspur,Brandon Austin,austin-brandon,B. Austin,G,40,188,1395,M,,859896,EUR,915753600,G,40,40,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,away,Tottenham Hotspur,Fraser Forster,fraser-forster,F. Forster,G,17,201,1229,M,,19314,EUR,574560000,G,20,20,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,away,Tottenham Hotspur,Japhet Tanganga,japhet-tanganga,J. Tanganga,D,2,186,700,M,,836693,EUR,922838400,D,25,25,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,away,Tottenham Hotspur,Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,32679,M,pape,1002711,EUR,1031961600,M,29,29,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,away,Tottenham Hotspur,Alfie Devine,alfie-devine,A. Devine,M,21,182,1497,M,,1049459,EUR,1091318400,M,45,45,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,away,Tottenham Hotspur,Arnaut Danjuma,arnaut-danjuma,A. Danjuma,F,7,178,3536,M,,827064,EUR,854668800,M,16,16,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,away,Tottenham Hotspur,Romaine Mundle,mundle-romaine,R. Mundle,F,14,177,642,M,,1094440,EUR,1051142400,M,55,55,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
