match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_lastName,stat_outfielderBlock,stat_errorLeadToAGoal,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,stat_aerialLost,stat_totalContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_challengeLost,stat_wonContest,captain,stat_goals,player_sofascoreId,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_hitWoodwork
14035910,home,Cercle Brugge,Maxime Delanghe,maxime-delanghe,M. Delanghe,G,21,189.0,144,M,909953,EUR,990576000,G,21,21,False,20.0,9.0,14.0,3.0,0.0,7.0,8.0,2.0,12.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,90.0,27.0,5.6,11.0,0.00091273,0.1296,0,-0.8356,0.03,0.0,-0.28,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035910,home,Cercle Brugge,Emmanuel Kakou,emmanuel-kakou,E. Kakou,D,5,,182,M,1847412,EUR,1120089600,D,5,5,False,31.0,27.0,3.0,2.0,0.0,13.0,13.0,14.0,18.0,4.0,5.0,,,,,,90.0,56.0,6.5,9.0,0.0152694,,1,,0.11,0.04,-0.26,,Emmanuel Kakou,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0608,-0.31,,,,,,,,,,,,,,,,,,,,,,,
14035910,home,Cercle Brugge,Edgaras Utkus,edgaras-utkus,E. Utkus,D,3,190.0,321,M,921180,EUR,961632000,D,3,3,False,36.0,26.0,4.0,2.0,0.0,15.0,17.0,11.0,19.0,4.0,3.0,,,,,,69.0,48.0,6.9,12.0,0.0100919,,0,,0.08,0.09,-0.1,,,,2.0,,5.0,,,,2.0,2.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
14035910,home,Cercle Brugge,Christiaan Ravych,ravych-christiaan,C. Ravych,D,66,187.0,206,M,1191212,EUR,1027987200,D,66,66,False,38.0,31.0,5.0,1.0,0.0,16.0,18.0,15.0,20.0,3.0,6.0,,,,,,90.0,56.0,6.7,10.0,0.0129433,,0,,0.17,0.1,-0.62,,,,1.0,,5.0,,,5.0,4.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14035910,home,Cercle Brugge,Gary Magnee,magnee-gary,G. Magnee,M,15,173.0,149,M,990265,EUR,939686400,D,15,15,False,46.0,40.0,7.0,5.0,1.0,12.0,13.0,28.0,33.0,2.0,9.0,,,,,,90.0,73.0,7.9,13.0,0.573613,,2,,0.87,0.17,-0.21,,,9.0,,1.0,3.0,1.0,,2.0,2.0,2.0,2.0,1.0,,0.1484,0.02,,1.0,,5.0,3.0,2.0,6.0,,,,,,,,,,,,,,,,
14035910,home,Cercle Brugge,Oluwaseun Adewumi,adewumi-oluwaseun,O. Adewumi,F,17,182.0,221,M,1201883,EUR,1109116800,M,17,17,False,10.0,6.0,2.0,,0.0,2.0,4.0,4.0,6.0,,4.0,,,,,,69.0,22.0,6.0,12.0,0.00155658,,2,,-0.13,0.31,-0.13,,,2.0,,7.0,2.0,3.0,1.0,,1.0,,1.0,1.0,,0.5032,-0.55,,,,,,,,2.0,2.0,1.0,1.0,1.0,0.3476,,,,,,,,,,
14035910,home,Cercle Brugge,Pieter Gerkens,pieter-gerkens,P. Gerkens,M,18,180.0,179,M,190401,EUR,808272000,M,18,18,False,44.0,35.0,3.0,2.0,0.0,13.0,16.0,22.0,28.0,2.0,3.0,,,,,,90.0,61.0,7.2,13.0,0.366763,,1,,0.42,0.09,-0.09,,,,1.0,5.0,5.0,2.0,,1.0,2.0,2.0,2.0,1.0,,0.236,0.09,,,,,1.0,,2.0,1.0,1.0,1.0,1.0,,0.0604,2.0,1.0,,,,,,,,
14035910,home,Cercle Brugge,Hannes Van Der Bruggen,hannes-van-der-bruggen,H. V. D. Bruggen,M,28,180.0,73,M,94290,EUR,733622400,M,28,28,False,46.0,45.0,2.0,2.0,0.0,18.0,19.0,27.0,27.0,2.0,6.0,,,,,,90.0,65.0,6.7,9.0,0.0610265,,2,,0.41,0.04,0.42,,,1.0,1.0,12.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,,4.0,0.1108,-0.1,,2.0,,,,1.0,2.0,2.0,2.0,,,,,1.0,,True,,,,,,,
14035910,home,Cercle Brugge,Edan Diop,diop-edan,E. Diop,M,37,173.0,536,M,1390575,EUR,1093651200,M,37,37,False,32.0,27.0,2.0,1.0,0.0,7.0,8.0,20.0,24.0,,6.0,,,,,,78.0,47.0,7.0,11.0,0.0793804,,1,,0.29,0.28,-0.23,,Edan Diop,2.0,,6.0,3.0,1.0,,1.0,2.0,,1.0,1.0,1.0,0.7884,0.32,,,,,,,1.0,,2.0,,1.0,,0.9469,2.0,,,1.0,,,,,,
14035910,home,Cercle Brugge,Steve Ngoura,ngoura-steve,S. Ngoura,F,9,193.0,401,M,1394411,EUR,1109030400,F,9,9,False,6.0,4.0,,,0.0,1.0,1.0,3.0,5.0,,1.0,,,,,,34.0,11.0,7.1,6.0,0.00156484,,0,,-0.09,0.15,0.0,,,1.0,2.0,1.0,3.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
14035910,home,Cercle Brugge,Oumar Diakité,oumar-diakite,O. Diakité,F,10,181.0,8359,M,1188191,EUR,1071878400,F,10,10,False,17.0,15.0,,,0.0,5.0,5.0,10.0,12.0,,2.0,,,,,,90.0,32.0,6.4,10.0,0.0331979,,2,,0.03,-0.53,-0.06,,,,5.0,8.0,6.0,2.0,2.0,1.0,,,4.0,,2.0,0.1252,-0.33,,,,,,,2.0,2.0,3.0,,,,,1.0,1.0,,,cheick_diakite,,,,,
14035910,home,Cercle Brugge,Alan Minda,minda-alan,A. Minda,F,27,171.0,2590,M,1122552,EUR,1052870400,F,11,11,True,12.0,12.0,,,0.0,5.0,5.0,7.0,7.0,,2.0,,,,,,56.0,28.0,8.2,6.0,0.0663904,,6,,0.2,0.29,0.0,,,,,4.0,3.0,3.0,1.0,,,,2.0,1.0,,0.8259,0.52,,,,,,1.0,,,3.0,1.0,4.0,,0.8343,,2.0,,1.0,,1.0,,,,
14035910,home,Cercle Brugge,Flávio Nazinho,nazinho-flavio,F. Nazinho,D,20,180.0,637,M,1006113,EUR,1058659200,D,20,20,True,9.0,8.0,1.0,1.0,0.0,3.0,3.0,5.0,6.0,1.0,3.0,,,,,,21.0,22.0,7.3,4.0,0.389217,,1,,0.32,0.19,0.18,,,5.0,,1.0,2.0,,,1.0,1.0,1.0,,,1.0,0.0516,-0.16,,,,2.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,
14035910,home,Cercle Brugge,Abdoul Kader Ouattara,ouattara-abdoul-kader,A. K. Ouattara,F,7,171.0,568,M,1652684,EUR,1117065600,F,7,7,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,21.0,7.0,6.3,1.0,0.00018335,,0,,-0.01,-0.11,0.15,,,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
14035910,home,Cercle Brugge,Erick Nunes,erick-nunes,E. Nunes,M,8,180.0,148,M,1894087,EUR,1078012800,M,8,8,True,4.0,2.0,1.0,,0.0,1.0,2.0,1.0,2.0,2.0,,,,,,,12.0,11.0,6.5,4.0,0.00264544,,0,,-0.1,-0.52,0.15,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035910,home,Cercle Brugge,Warleson,warleson,Warleson,G,1,191.0,144,M,861071,EUR,841449600,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035910,home,Cercle Brugge,Nils De Wilde,de-wilde-nils,N. D. Wilde,M,27,182.0,74,M,1101701,EUR,1043625600,D,27,27,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035910,home,Cercle Brugge,Makaya Ibrahima Diaby,makaya-ibrahima-diaby,M. I. Diaby,M,19,,227,M,1473492,EUR,1174089600,M,19,19,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035910,home,Cercle Brugge,Heriberto Jurado,heriberto-jurado,H. Jurado,M,23,172.0,1086,M,1153538,EUR,1104710400,M,23,23,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Heriberto De Jesus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035910,home,Cercle Brugge,Krys Kouassi,krys-kouassi,K. Kouassi,F,41,175.0,49,M,2001165,EUR,1173312000,F,41,41,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Krys Kouassi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
