match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_goalAssist,stat_keyPass,stat_bigChanceMissed,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,stat_shotOffTarget,stat_ownGoals
11453006,home,Damac FC,Abdullah Al-Qahtani,abdullah-al-qahtani,A. Al-Qahtani,M,7,172.0,38,M,974064,EUR,854668800,M,7,7,True,14.0,12.0,1.0,,6.0,6.0,6.0,8.0,2.0,,1.0,,,,,,,17.0,19.0,6.6,4.0,0,,,,,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,
11453006,home,Damac FC,Sultan Faqihi,sultan-faqihi,S. Faqihi,D,14,175.0,2,M,868647,EUR,794016000,D,41,41,True,2.0,2.0,,,2.0,2.0,,,1.0,,,,,,,,,14.0,5.0,6.9,,0,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,
11453006,home,Damac FC,Abdulaziz Majrashi,abdulaziz-majrashi,A. Majrashi,M,23,173.0,10,M,877163,EUR,826416000,M,23,23,True,9.0,6.0,2.0,,5.0,7.0,1.0,2.0,1.0,,3.0,,,,,,,14.0,11.0,6.3,4.0,0,,,,3.0,,,1.0,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,
11453006,home,Damac FC,Fahad Aljuhani,fahad-al-johani,F. Aljuhani,F,19,177.0,7,M,160947,EUR,688435200,F,99,99,True,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,1.0,3.0,,1.0,0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
11453006,home,Damac FC,Abdulbasit Hawsawi,abdulbasit-hawsawi,A. Hawsawi,G,22,186.0,17,M,948594,EUR,851126400,G,22,22,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453006,home,Damac FC,Ramzi Sawlan,sawlan-ramzi,R. Sawlan,D,15,,23,M,965309,EUR,892857600,F,51,51,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453006,home,Damac FC,Noor Al-Rashidi,noor-al-rashidi,N. Al-Rashidi,D,4,179.0,18,M,1065328,EUR,794966400,D,4,4,True,,,,,,,,,,,,,,,,,,,,,,0,Noor Al-Rashidi,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453006,home,Damac FC,Abdulaziz Al-Shahrani,abdulaziz-al-shahrani,A. Al-Shahrani,F,80,173.0,20,M,975862,EUR,783388800,M,14,14,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453006,away,Al-Hazem,Ibrahim Zaied,ibrahim-zaied,I. Zaied,G,23,190.0,14,M,328745,EUR,632966400,G,23,23,False,19.0,15.0,7.0,3.0,14.0,16.0,1.0,3.0,,1.0,8.0,,3.0,4.0,,1.0,1.0,90.0,29.0,6.2,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453006,away,Al-Hazem,Ahmad Al Mhemaid,ahmad-al-mhemaid,A. A. Mhemaid,M,99,179.0,11,M,1085117,EUR,930787200,D,99,99,False,43.0,37.0,4.0,3.0,13.0,17.0,24.0,27.0,7.0,3.0,7.0,2.0,,,,,,90.0,73.0,6.7,15.0,0,Ahmad Al Mhemaid,,1.0,5.0,,,5.0,5.0,,,,,3.0,,2.0,,,3.0,,1.0,,,,,,,,
11453006,away,Al-Hazem,Bruno Viana,bruno-viana,B. Viana,D,30,187.0,241,M,804703,EUR,791942400,D,36,36,False,36.0,33.0,1.0,1.0,22.0,24.0,11.0,12.0,2.0,4.0,6.0,,,,,,,78.0,45.0,6.1,3.0,0,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0
11453006,away,Al-Hazem,Talal Al-Absi,talal-al-absi,T. Al-Absi,D,,180.0,6,M,818788,EUR,730339200,D,3,3,False,47.0,44.0,3.0,2.0,30.0,31.0,14.0,16.0,1.0,1.0,6.0,,,,,,,90.0,55.0,6.1,5.0,0,,,,5.0,,,1.0,1.0,True,1.0,,2.0,3.0,,1.0,,,1.0,,,,,,,,,,
11453006,away,Al-Hazem,Majed Mohammed,majed-mohammed,M. Mohammed,D,50,169.0,71,M,1385284,EUR,1007337600,D,27,27,False,8.0,8.0,,,3.0,3.0,5.0,6.0,2.0,,1.0,,,,,,,33.0,21.0,6.4,7.0,0,Majed Mohammed,,1.0,1.0,,,1.0,1.0,,,,1.0,,,2.0,1.0,,4.0,,,,,,,,,,
11453006,away,Al-Hazem,Ben Traoré,ben-traore,B. Traoré,M,21,180.0,20,M,1090779,EUR,945648000,M,21,21,False,61.0,59.0,3.0,3.0,27.0,28.0,32.0,33.0,2.0,1.0,7.0,,,,,,,90.0,64.0,6.5,4.0,0,,,,2.0,1.0,,,,,,2.0,,1.0,,,,,2.0,,,,,,,,,,
11453006,away,Al-Hazem,Vina,vina,Vina,M,29,177.0,1454,M,1101714,EUR,671673600,M,29,29,False,54.0,45.0,10.0,5.0,18.0,18.0,27.0,38.0,1.0,1.0,8.0,1.0,,,,,,77.0,63.0,6.6,14.0,1,,,2.0,2.0,1.0,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,1.0,
11453006,away,Al-Hazem,Mohammed Al-Thani,mohammed-al-thain,M. Al-Thani,M,17,174.0,72,M,954643,EUR,855532800,M,11,11,False,38.0,27.0,3.0,,12.0,15.0,16.0,27.0,6.0,3.0,6.0,1.0,,,,,,90.0,64.0,6.4,21.0,0,,,4.0,8.0,2.0,,3.0,1.0,,2.0,2.0,1.0,,1.0,3.0,,,2.0,,1.0,,1.0,,,,,,
11453006,away,Al-Hazem,Tozé,toze,Tozé,M,20,165.0,386,M,1089231,EUR,726969600,M,20,20,False,65.0,62.0,8.0,7.0,22.0,22.0,41.0,51.0,8.0,,2.0,4.0,,,,,,90.0,87.0,8.1,13.0,2,,,8.0,1.0,,,1.0,1.0,,,,,,1.0,3.0,3.0,1.0,1.0,1.0,5.0,,1.0,1.0,,,1.0,,
11453006,away,Al-Hazem,Faïz Selemani,faiz-selemani,F. Selemani,F,7,178.0,359,M,842745,EUR,754617600,M,10,10,False,25.0,16.0,4.0,4.0,4.0,6.0,12.0,21.0,9.0,1.0,2.0,3.0,,,,,,77.0,53.0,7.5,19.0,3,,,2.0,5.0,1.0,1.0,2.0,2.0,,,,,,3.0,5.0,4.0,,4.0,,2.0,,,,,,1.0,2.0,
11453006,away,Al-Hazem,Muhammed Badamosi,muhammed-badammosi,M. Badamosi,F,15,198.0,404,M,919496,EUR,914716800,F,90,90,False,8.0,4.0,,,,,4.0,8.0,3.0,2.0,,1.0,,,,,,90.0,19.0,6.7,8.0,2,,,,5.0,,,,,,,2.0,,4.0,1.0,,,,3.0,,,,,,,,,2.0,
11453006,away,Al-Hazem,Yousef Al-Shammari,yousef-al-shammari,Y. Al-Shammari,F,7,170.0,52,M,917232,EUR,881625600,F,7,7,True,22.0,20.0,,,8.0,9.0,12.0,13.0,4.0,1.0,1.0,1.0,,,,,,57.0,34.0,6.9,2.0,2,,,,1.0,,,3.0,3.0,,1.0,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,
11453006,away,Al-Hazem,Nawaf Al-Habashi,nawaf-al-habashi,N. Al-Habashi,M,19,184.0,28,M,954528,EUR,898560000,M,19,19,True,10.0,7.0,1.0,,,,7.0,10.0,3.0,,2.0,,,,,,,13.0,17.0,7.5,5.0,1,,,,1.0,,,,,,,,,,,4.0,3.0,1.0,1.0,,,,,,1.0,,,,
11453006,away,Al-Hazem,Basil Yousef Al-Sayyali,basil-yousef-al-sayyali,B. Y. Al-Sayyali,M,20,171.0,50,M,1066584,EUR,993168000,M,6,6,True,19.0,17.0,1.0,1.0,2.0,2.0,15.0,18.0,1.0,,1.0,1.0,,,,,,13.0,22.0,6.9,3.0,1,Basil Yousef Al-Sayyali,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
11453006,away,Al-Hazem,Abdurahman Al-Dakheel,abdurahman-al-dakheel,A. Al-Dakheel,D,34,184.0,18,M,948601,EUR,833068800,D,34,34,True,9.0,8.0,1.0,1.0,4.0,5.0,4.0,4.0,,,1.0,,,,,,,12.0,10.0,6.6,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453006,away,Al-Hazem,Aymen Dahmen,dahmen-aymen,A. Dahmen,G,30,188.0,1160,M,1198374,EUR,854409600,G,30,30,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453006,away,Al-Hazem,Mansour Al Shammari,mansour-al-shammari,M. A. Shammari,D,12,173.0,169,M,1019342,EUR,966816000,D,24,24,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453006,away,Al-Hazem,Ryan Al-Mousa,ryan-al-mousa,R. Al-Mousa,M,,174.0,6,M,817914,EUR,775008000,M,95,95,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453006,away,Al-Hazem,Khalil Al-Absi,khalil-al-absi,K. Al-Absi,M,11,165.0,52,M,1019289,EUR,991008000,F,14,14,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453006,away,Al-Hazem,Ammar Al Najjar,ammar-al-najjar,A. A. Najjar,F,90,166.0,17,M,869269,EUR,856742400,M,15,15,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
