match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_interceptionWon,stat_fouls,stat_keyPass,captain,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_dispossessed,stat_totalTackle,stat_wonTackle,player_sofascoreId,stat_wonContest,stat_shotOffTarget,stat_ownGoals,stat_unsuccessfulTouch,stat_penaltyWon,stat_challengeLost,stat_outfielderBlock,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_penaltyMiss,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalsPrevented,stat_errorLeadToAShot,stat_accurateCross,stat_penaltyConceded
12504660,away,Monza,Armando Izzo,,,armando-izzo,A. Izzo,D,4,183,521,M,165583,EUR,699494400,D,4,4,False,38.0,34.0,3.0,1.0,0.0,24.0,26.0,10.0,12.0,2.0,5.0,1.0,1.0,,,67.0,46.0,6.0,7.0,0.00695062,0,,7.0,11.0,,,2.0,,,,2.0,,2.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Pablo Marí,,,pablo-mari,P. Marí,D,30,191,1707,M,208988,EUR,746755200,D,22,22,False,60.0,52.0,11.0,6.0,0.0,33.0,37.0,19.0,23.0,3.0,6.0,3.0,6.0,,,90.0,76.0,6.8,10.0,0.00724487,0,,2.0,4.0,,5.0,1.0,,True,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
12504660,away,Monza,Luca Caldirola,,,luca-caldirola,L. Caldirola,D,33,189,134,M,100565,EUR,665366400,D,5,5,False,17.0,16.0,1.0,1.0,0.0,11.0,12.0,5.0,5.0,,1.0,1.0,1.0,,,39.0,19.0,6.4,1.0,0.00271148,0,,1.0,3.0,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Samuele Birindelli,,,samuele-birindelli,S. Birindelli,M,19,175,231,M,856729,EUR,932342400,M,19,19,False,15.0,11.0,3.0,,0.0,3.0,6.0,9.0,14.0,,5.0,2.0,4.0,,,79.0,38.0,6.8,9.0,0.167741,1,5.0,2.0,6.0,1.0,,2.0,2.0,,,3.0,0.0198,,1.0,1.0,,1.0,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,1.0,
12504660,away,Monza,Warren Bondo,,,warren-bondo,W. Bondo,M,38,177,2004,M,1000366,EUR,1063584000,M,38,38,False,41.0,40.0,2.0,2.0,0.0,17.0,17.0,23.0,24.0,1.0,5.0,,7.0,,,90.0,54.0,7.0,7.0,0.0291781,1,,1.0,4.0,2.0,,,2.0,,1.0,2.0,0.0145,3.0,1.0,1.0,,2.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,
12504660,away,Monza,Alessandro Bianco,,,bianco-alessandro,A. Bianco,M,22,173,528,M,1101992,EUR,1033430400,M,42,42,False,33.0,25.0,5.0,1.0,0.0,7.0,10.0,18.0,23.0,1.0,3.0,4.0,1.0,,,79.0,42.0,6.3,8.0,0.0350106,0,,1.0,3.0,,,2.0,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,1.0
12504660,away,Monza,Georgios Kyriakopoulos,,,georgios-kyriakopoulos,G. Kyriakopoulos,M,77,186,878,M,377302,EUR,823478400,M,77,77,False,30.0,26.0,3.0,2.0,0.0,10.0,10.0,17.0,30.0,,3.0,2.0,2.0,,,90.0,57.0,6.9,16.0,0.0590049,1,10.0,2.0,4.0,1.0,2.0,1.0,1.0,,,1.0,0.0151,,1.0,1.0,,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,
12504660,away,Monza,Daniel Maldini,,,daniel-maldini,D. Maldini,F,27,187,4629,M,970928,EUR,1002758400,F,14,14,False,21.0,14.0,,,0.0,2.0,3.0,12.0,20.0,3.0,11.0,,4.0,,,90.0,42.0,6.7,15.0,0.0176978,3,2.0,2.0,9.0,6.0,1.0,3.0,,,1.0,4.0,0.3639,1.0,1.0,,dani.malda,3.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,
12504660,away,Monza,Gianluca Caprari,,,gianluca-caprari,G. Caprari,F,24,170,457,M,148458,EUR,743990400,F,10,10,False,20.0,18.0,,,0.0,4.0,4.0,16.0,20.0,,3.0,,2.0,,,67.0,34.0,7.1,7.0,0.140163,0,4.0,1.0,2.0,1.0,,,2.0,,,1.0,,1.0,1.0,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,2.0,
12504660,away,Monza,Dany Mota,,,dany-mota,D. Mota,F,47,180,827,M,838907,EUR,894067200,F,47,47,False,20.0,15.0,,,0.0,3.0,4.0,13.0,19.0,2.0,4.0,,1.0,,,90.0,31.0,6.6,10.0,0.0464633,2,3.0,6.0,9.0,2.0,,1.0,1.0,,,,0.1753,1.0,1.0,,,1.0,2.0,,1.0,,,,,,,2.0,,,,,,,,,,,1.0,1.0,
12504660,away,Monza,Andrea Carboni,,,andrea-carboni,A. Carboni,D,44,185,201,M,970978,EUR,981244800,D,44,44,True,26.0,16.0,3.0,,0.0,8.0,13.0,8.0,13.0,2.0,3.0,1.0,3.0,,,51.0,31.0,6.5,12.0,0.00341434,0,,3.0,3.0,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Stefano Sensi,,,stefano-sensi,S. Sensi,M,6,168,1044,M,294313,EUR,807580800,M,12,12,True,17.0,15.0,2.0,,0.0,7.0,7.0,8.0,11.0,,1.0,,2.0,,,23.0,20.0,6.5,3.0,0.00838811,0,1.0,1.0,2.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Omari Forson,,,forson-omari,O. Forson,F,11,179,1036,M,1153434,EUR,1090281600,F,20,20,True,10.0,8.0,,,0.0,4.0,4.0,4.0,8.0,,2.0,,4.0,,,23.0,16.0,6.9,5.0,0.02032,1,2.0,,,1.0,,1.0,,,,,0.0261,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Pedro Pereira,,,pedro-pereira,P. Pereira,M,13,185,287,M,807291,EUR,885427200,D,13,13,True,6.0,5.0,1.0,,0.0,2.0,2.0,3.0,5.0,,,,1.0,,,11.0,12.0,6.3,4.0,0.00179871,0,1.0,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Mirko Marić,,,mirko-maric,M. Marić,F,9,188,399,M,190933,EUR,800582400,F,24,24,True,7.0,5.0,,,0.0,2.0,3.0,3.0,4.0,,,,1.0,,,11.0,7.0,6.6,2.0,0.0150694,0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Semuel Pizzignacco,,,semuel-pizzignacco,S. Pizzignacco,G,1,185,177,M,923820,EUR,999302400,G,21,21,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Andrea Mazza,Andrea Mazza,,andrea-mazza,A. Mazza,G,22,190,80,M,1109940,EUR,1072915200,G,69,69,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Danilo D'Ambrosio,,,danilo-dambrosio,D. D'Ambrosio,D,,180,548,M,107936,EUR,589766400,D,33,33,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Nicolò Postiglione,,,nicolo-postiglione,N. Postiglione,D,4,190,49,M,1137349,EUR,1113609600,D,52,52,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Kevin Martins,,,kevin-martins,K. Martins,M,70,180,196,M,1547260,EUR,1107129600,F,55,55,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Mattia Valoti,,,mattia-valoti,M. Valoti,M,5,181,99,M,139397,EUR,747273600,M,27,27,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504660,away,Monza,Leonardo Colombo,Leonardo Colombo,,colombo-leonardo,L. Colombo,M,21,175,109,M,1424560,EUR,1117843200,M,57,57,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
