match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_wasFouled,stat_expectedGoals,stat_aerialLost,stat_outfielderBlock,stat_fouls,stat_keyPass,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_errorLeadToAShot
11406819,away,Cagliari,Matteo Prati,,,matteo-prati,M. Prati,M,4,182,705,M,,1111640,EUR,1072569600,M,16,16,True,11.0,8.0,1.0,1.0,5.0,6.0,4.0,6.0,,,4.0,1.0,,45.0,21.0,6.7,5.0,0.0362827,1,1.0,3.0,2.0,,1.0,,,,,0.0264,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,
11406819,away,Cagliari,Gaetano Oristanio,,,gaetano-oristanio,G. Oristanio,F,21,174,968,M,,965009,EUR,1033171200,M,19,19,True,6.0,4.0,1.0,,,,6.0,8.0,,4.0,1.0,,,45.0,20.0,6.4,7.0,0.113709,0,2.0,7.0,1.0,2.0,4.0,2.0,,,2.0,,,,2.0,1.0,,,,,2.0,,,,,,,,,,,
11406819,away,Cagliari,Paulo Azzi,,,paulo-azzi,P. Azzi,M,7,188,184,M,,383314,EUR,774230400,D,37,37,True,3.0,3.0,,,1.0,1.0,2.0,3.0,,,,,,12.0,5.0,6.5,1.0,0.00133322,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406819,away,Cagliari,Kingstone Mutandwa,,,mutandwa-kingstone,K. Mutandwa,F,7,180,472,M,,1471569,EUR,1041724800,F,34,34,True,2.0,1.0,,,,,1.0,2.0,,,1.0,,,12.0,2.0,6.5,1.0,0.00038131,0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
11406819,away,Cagliari,Nicolas Viola,,,nicolas-viola,N. Viola,F,10,180,280,M,,21608,EUR,624153600,M,10,10,True,5.0,2.0,1.0,,1.0,1.0,1.0,4.0,,,1.0,,,8.0,5.0,6.5,3.0,0.00025385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406819,away,Cagliari,Simone Aresti,,,simone-aresti,S. Aresti,G,,189,18,M,,17756,EUR,511228800,G,18,18,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406819,away,Cagliari,Boris Radunović,,,boris-radunovic,B. Radunović,G,22,193,193,M,,795926,EUR,833068800,G,1,1,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406819,away,Cagliari,Pantelis Hatzidiakos,,,hatzidiakos-pantelis,P. Hatzidiakos,D,6,185,762,M,,822163,EUR,853545600,D,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406819,away,Cagliari,Adam Obert,,,adam-obert,A. Obert,D,33,186,654,M,,964153,EUR,1030060800,D,33,33,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406819,away,Cagliari,Ibrahim Sulemana,,,ibrahim-sulemana,I. Sulemana,M,25,180,1979,M,,105905,EUR,1053561600,M,25,25,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406819,away,Cagliari,Alessandro Di Pardo,,,alessandro-di-pardo,A. D. Pardo,M,29,182,158,M,,928814,EUR,932256000,D,99,99,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
