match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,player_firstName,player_lastName,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,captain,player_sofascoreId,stat_shotOffTarget,stat_goals,stat_penaltyWon,stat_penaltyFaced,stat_bigChanceCreated,stat_hitWoodwork,stat_goalAssist,stat_penaltyConceded,stat_bigChanceMissed
11453102,away,Al-Taawoun,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186.0,274,M,794836,EUR,698284800,D,4,4,False,61.0,58.0,10.0,9.0,26.0,27.0,32.0,34.0,4.0,,,,90.0,77.0,7.7,4.0,2,,1.0,7.0,2.0,1.0,,3.0,2.0,,2.0,,,2.0,6.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,2.0,,,,,1.0,,,
11453102,away,Al-Taawoun,Muath Faqeehi,muath-faqeehi,M. Faqeehi,D,42,188.0,464,M,1457521,EUR,1022716800,D,42,42,False,40.0,33.0,1.0,,12.0,13.0,22.0,33.0,5.0,,,,90.0,70.0,6.7,17.0,0,6.0,,2.0,2.0,1.0,,3.0,,4.0,1.0,,1.0,1.0,5.0,1.0,,,3.0,,Muath Muath,,1.0,,,,,,,,,,,,,
11453102,away,Al-Taawoun,Flávio,flavio,Flávio,M,8,177.0,261,M,839521,EUR,823910400,M,24,24,False,42.0,38.0,1.0,1.0,9.0,11.0,29.0,31.0,4.0,,,,90.0,59.0,7.2,8.0,0,,,3.0,2.0,1.0,,3.0,1.0,1.0,,,2.0,1.0,6.0,,2.0,2.0,,2.0,,,,2.0,,,,,,,,1.0,,1.0,,
11453102,away,Al-Taawoun,Ashraf El Mahdioui,ashraf-el-mahdioui,A. E. Mahdioui,M,18,183.0,1641,M,788348,EUR,832896000,M,18,18,False,56.0,51.0,10.0,7.0,19.0,19.0,32.0,37.0,5.0,,,,90.0,69.0,6.6,9.0,1,,,1.0,2.0,,,2.0,2.0,2.0,1.0,,1.0,,8.0,,,,6.0,1.0,,,,,,True,,1.0,,,,,1.0,,1.0,
11453102,away,Al-Taawoun,Álvaro Medrán,alvaro-medran,Á. Medrán,M,10,176.0,321,M,537018,EUR,763689600,M,10,10,False,54.0,47.0,7.0,6.0,15.0,17.0,36.0,49.0,9.0,,,,90.0,79.0,8.1,20.0,1,12.0,2.0,4.0,,,,1.0,,3.0,1.0,,6.0,,2.0,1.0,1.0,,,1.0,,,4.0,1.0,1.0,,,,,,,2.0,,,,
11453102,away,Al-Taawoun,Ahmed Bahusayn,ahmed-bahusayn,A. Bahusayn,M,29,170.0,41,M,1113791,EUR,981676800,M,29,29,False,33.0,27.0,1.0,,10.0,11.0,17.0,23.0,5.0,,,,82.0,41.0,6.5,10.0,2,1.0,,1.0,,,2.0,,,2.0,1.0,,,,1.0,,,,,1.0,Ahmed Bahusayn,,,,,,,,,,,,,,,1.0
11453102,away,Al-Taawoun,Musa Barrow,musa-barrow,M. Barrow,F,99,183.0,3277,M,916680,EUR,911001600,F,99,99,False,28.0,24.0,2.0,2.0,6.0,7.0,19.0,27.0,5.0,,,,88.0,47.0,7.4,13.0,2,6.0,1.0,5.0,3.0,2.0,,1.0,,2.0,1.0,,2.0,4.0,5.0,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,
11453102,away,Al-Taawoun,Joao Pedro,joao-pedro,J. Pedro,F,9,182.0,429,M,351734,EUR,735436800,F,30,30,False,21.0,21.0,,,4.0,4.0,17.0,18.0,5.0,,,,90.0,46.0,9.2,10.0,7,1.0,4.0,8.0,1.0,,2.0,,,4.0,3.0,1.0,1.0,1.0,9.0,,1.0,1.0,3.0,,,,,4.0,,,,5.0,2.0,,,,,,,2.0
11453102,away,Al-Taawoun,Sattam Al-Roqi,sattam-al-roqi,S. Al-Roqi,F,24,169.0,18,M,1521951,EUR,1017273600,M,7,7,True,2.0,2.0,,,,,2.0,2.0,,,,,8.0,4.0,6.8,,0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,Sattam Al-Roqi,,,,,,,,,,,,,,,
11453102,away,Al-Taawoun,Mohamed Al-Ghamdi,mohamed-al-ghamdi,M. Al-Ghamdi,D,16,180.0,7,M,1013848,EUR,760320000,D,6,6,True,,,,,,,,,,,,,8.0,2.0,6.6,,0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453102,away,Al-Taawoun,Mohammed Aldhulayfi,mohammed-aldhulayfi,M. Aldhulayfi,G,27,184.0,13,M,992982,EUR,958089600,G,27,27,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453102,away,Al-Taawoun,Fahad Al Abdulrazzaq,fahad-al-abdulrazzaq,F. A. Abdulrazzaq,D,19,170.0,23,M,1521216,EUR,956534400,D,11,11,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Fahad Al Abdulrazzaq,,,,,,,,,,,,,,,
11453102,away,Al-Taawoun,Abdulmalek Al-Shammari,abdulmalek-al-shammary,A. Al-Shammari,D,17,177.0,13,M,846889,EUR,808531200,D,9,9,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453102,away,Al-Taawoun,Iyad Luay Ali Madani,iyad-luay-ali-madani,I. L. A. Madani,D,6,,9,M,1536874,EUR,994291200,M,32,32,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Iyad Luay Ali Madani,,,,,,,,,,,,,,,
11453102,away,Al-Taawoun,Ahmed Ashraf,ahmed-ashraf,A. Ashraf,M,15,176.0,22,M,924339,EUR,757296000,M,17,17,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453102,away,Al-Taawoun,Nawaf Al-Rashwodi,nawaf-al-rashwodi,N. Al-Rashwodi,M,8,169.0,8,M,1047945,EUR,966556800,F,20,20,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Nawaf Al-Rashwodi,,,,,,,,,,,,,,,
11453102,away,Al-Taawoun,Rakan Al-Tulayhi,rakan-al-tulayhi,R. Al-Tulayhi,M,23,173.0,75,,1862895,EUR,1037750400,M,91,91,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Rakan Al-Tulayhi,,,,,,,,,,,,,,,
