match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_outfielderBlock,captain,stat_interceptionWon,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_shotOffTarget,player_sofascoreId,stat_goals,stat_bigChanceMissed,stat_totalOffside
10408517,away,Atlético Madrid,Reinildo Mandava,reinildo-mandava,R. Mandava,D,17,180,11835,M,831424,EUR,759110400,D,23,23,False,38.0,33.0,2.0,,19.0,23.0,14.0,17.0,5.0,4.0,,,,,69.0,53.0,6.7,9.0,0.0,0.0,0.0211513,0,,2.0,,2.0,,6.0,1.0,1.0,,,,5.0,4.0,2.0,2.0,,,,1.0,,,,,,,,ReinildoMandava,,,
10408517,away,Atlético Madrid,Marcos Llorente,marcos-llorente,M. Llorente,D,14,184,9206,M,353138,EUR,791424000,M,14,14,False,55.0,49.0,2.0,,14.0,14.0,35.0,45.0,4.0,4.0,1.0,,,,90.0,80.0,6.7,16.0,0.0283,0.0,0.0479955,1,,4.0,,,1.0,3.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,marcosllorente,,,
10408517,away,Atlético Madrid,Rodrigo de Paul,rodrigo-de-paul,R. de Paul,M,7,180,54582,M,249399,EUR,769737600,M,5,5,False,63.0,53.0,5.0,2.0,21.0,22.0,32.0,41.0,3.0,9.0,3.0,,,,69.0,74.0,7.0,13.0,0.0906,0.0555,0.0464162,3,,,,,,1.0,,,,,,,,1.0,,,,,2.0,,,,,1.0,,2.0,RodridePaul,,,
10408517,away,Atlético Madrid,Axel Witsel,axel-witsel,A. Witsel,D,20,186,9808,M,35612,EUR,600566400,M,20,20,False,77.0,70.0,3.0,1.0,19.0,21.0,51.0,56.0,6.0,5.0,1.0,,,,90.0,94.0,7.0,9.0,0.0598,0.0,0.0389535,1,,,,2.0,4.0,3.0,1.0,,,,4.0,1.0,,,1.0,1.0,,,2.0,,,,,,1.0,,axelwitsel28,,,
10408517,away,Atlético Madrid,Yannick Carrasco,yannick-carrasco,Y. Carrasco,F,10,180,4728,M,182001,EUR,747100800,M,21,21,False,17.0,13.0,1.0,,5.0,5.0,9.0,14.0,6.0,3.0,,,,,59.0,30.0,6.6,8.0,0.0555,0.0499,0.0132246,2,,2.0,1.0,,2.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,,1.0,,,,,1.0,1.0,,yannickferreiracarrasco,,,
10408517,away,Atlético Madrid,Antoine Griezmann,antoine-griezmann,A. Griezmann,F,7,176,100258,M,85859,EUR,669513600,F,8,8,False,42.0,35.0,2.0,2.0,6.0,8.0,31.0,43.0,4.0,4.0,,,,,90.0,60.0,8.0,16.0,0.1652,0.0,0.559173,2,,9.0,2.0,1.0,,3.0,,1.0,1.0,1.0,,3.0,2.0,1.0,5.0,,,1.0,1.0,,,,2.0,,1.0,1.0,AGriez,,,1.0
10408517,away,Atlético Madrid,Álvaro Morata,alvaro-morata,Á. Morata,F,7,189,28279,M,125407,EUR,719798400,F,19,19,False,15.0,10.0,,,2.0,5.0,8.0,10.0,4.0,4.0,2.0,,,,90.0,26.0,6.2,9.0,0.7719,0.7927,0.102224,4,,,,,1.0,3.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,2.0,,,,,3.0,1.0,,ÁMorata,,2.0,3.0
10408517,away,Atlético Madrid,Ángel Correa,angel-correa,Á. Correa,F,7,171,16959,M,316152,EUR,794707200,F,10,10,True,30.0,27.0,,,7.0,7.0,21.0,28.0,2.0,1.0,1.0,,,,60.0,53.0,6.7,16.0,0.1274,0.0,0.0686413,3,,5.0,1.0,,,4.0,,3.0,,,,1.0,1.0,1.0,,,,1.0,5.0,,,,,,2.0,1.0,angelcorrea32,,,
10408517,away,Atlético Madrid,Thomas Lemar,thomas-lemar,T. Lemar,M,11,170,3300,M,191182,EUR,816134400,M,11,11,True,32.0,29.0,2.0,1.0,7.0,8.0,22.0,27.0,1.0,1.0,,,,,31.0,41.0,6.5,9.0,0.0,0.0,0.0323126,0,,3.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,
10408517,away,Atlético Madrid,Sergio Reguilón,sergio-reguilon,S. Reguilón,D,,178,5856,M,858195,EUR,850694400,D,3,3,True,12.0,11.0,,,3.0,3.0,8.0,10.0,5.0,1.0,3.0,,,,21.0,23.0,7.1,3.0,0.0,0.0,0.048716,0,,1.0,,,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,sergio_regui,,,
10408517,away,Atlético Madrid,Koke,koke,Koke,M,6,177,5822,M,84539,EUR,694828800,M,6,6,True,22.0,18.0,2.0,1.0,2.0,3.0,16.0,21.0,1.0,2.0,1.0,,,,21.0,27.0,6.7,6.0,0.0285,0.0,0.0310564,1,,2.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,Koke6,,,
10408517,away,Atlético Madrid,Ivo Grbić,ivo-grbic,I. Grbić,G,13,195,1121,M,283847,EUR,821923200,G,1,1,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408517,away,Atlético Madrid,Antonio Gomis,antonio-gomis,A. Gomis,G,1,191,355,M,1156733,EUR,1053388800,G,31,31,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408517,away,Atlético Madrid,Mario Hermoso,mario-hermoso,M. Hermoso,D,22,184,2630,M,353130,EUR,803433600,D,22,22,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408517,away,Atlético Madrid,Sergio Diez,sergio-diez,S. Diez,D,7,178,31,M,1142580,EUR,1059350400,D,30,30,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408517,away,Atlético Madrid,Saúl Ñíguez,saul-niguez,S. Ñíguez,M,8,184,13421,M,116955,EUR,785376000,M,17,17,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Saul,,,
10408517,away,Atlético Madrid,Matheus Cunha,matheus-cunha,M. Cunha,F,10,184,69408,M,886363,EUR,927763200,F,9,9,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Cunha,,,
10408517,away,Atlético Madrid,Carlos Martín,carlos-martin,C. Martín,F,14,182,1239,M,1131581,EUR,1019433600,F,29,29,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,Carlos Martín,,,,,,,,,,
