match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_aerialLost,stat_challengeLost,stat_penaltyWon,stat_totalOffside,stat_outfielderBlock,stat_interceptionWon,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded
14572774,home,Nottingham Forest,Arnaud Kalimuendo,arnaud-kalimuendo,A. Kalimuendo,F,25,175,3553,M,954061,EUR,1011484800,F,15,15,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572774,away,FC Midtjylland,Elías Ólafsson,elias-olafsson,E. Ólafsson,G,16,201,368,M,879183,EUR,952732800,G,16,16,False,35.0,17.0,21.0,3.0,0.0,16.0,19.0,1.0,16.0,1.0,12.0,2.0,7.0,1.0,1.0,1.0,90.0,54.0,7.4,19.0,0.00012056,0.6086,0,0.7072,0.1,,-0.08,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
14572774,away,FC Midtjylland,Ousmane Diao,diao-ousmane,O. Diao,D,4,187,1563,M,1465159,EUR,1086652800,D,4,4,False,35.0,29.0,5.0,1.0,0.0,22.0,22.0,7.0,13.0,4.0,4.0,,,,,,90.0,50.0,6.3,7.0,0.0299615,,2,,-0.02,0.04,-0.55,,,1.0,1.0,1.0,2.0,3.0,1.0,,1.0,1.0,0.9963,0.9948,0.3,2.0,1.0,,,,,,,1.0,1.0,,,,,3.0,,,,,,,,1.0
14572774,away,FC Midtjylland,Martin Erlić,martin-erlic,M. Erlić,D,6,192,1965,M,789234,EUR,885600000,D,6,6,False,31.0,26.0,4.0,3.0,0.0,22.0,25.0,4.0,6.0,5.0,2.0,,,,,,90.0,44.0,6.5,5.0,0.0009187,,1,,-0.01,0.01,-0.22,,,,,2.0,5.0,3.0,,,1.0,1.0,0.7505,0.8957,0.19,1.0,,,,,,,,,,3.0,1.0,,,1.0,2.0,,,,1.0,,,
14572774,away,FC Midtjylland,Mads Bech Sørensen,mads-bech-sorensen,M. B. Sørensen,D,22,189,283,M,1006409,EUR,915667200,D,22,22,False,29.0,25.0,5.0,3.0,1.0,15.0,17.0,10.0,12.0,2.0,3.0,,,,,,90.0,40.0,7.3,7.0,0.00564137,,2,,0.25,0.03,-0.24,,,,,,3.0,1.0,,,2.0,1.0,0.3423,0.9389,0.31,1.0,1.0,2.0,,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,True,,,,
14572774,away,FC Midtjylland,Kevin Mbabu,kevin-mbabu,K. Mbabu,D,43,184,780,M,227900,EUR,798249600,M,43,43,False,11.0,7.0,,,0.0,3.0,5.0,4.0,6.0,3.0,2.0,,,,,,66.0,35.0,6.4,15.0,0.0817212,,0,,0.13,0.02,0.13,,,5.0,2.0,1.0,7.0,3.0,6.0,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,
14572774,away,FC Midtjylland,Denil Castillo,castillo-denil,D. Castillo,M,21,187,1350,M,1145126,EUR,1080086400,M,21,21,False,21.0,19.0,4.0,2.0,0.0,15.0,17.0,4.0,4.0,,3.0,,,,,,67.0,28.0,6.5,4.0,0.00192956,,0,,-0.1,0.05,-0.06,,,,,,4.0,4.0,1.0,,,2.0,,,,2.0,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,
14572774,away,FC Midtjylland,Philip Billing,philip-billing,P. Billing,M,8,193,1783,M,548660,EUR,834451200,M,8,8,False,23.0,20.0,4.0,3.0,0.0,10.0,12.0,10.0,11.0,5.0,4.0,,,,,,90.0,40.0,7.1,4.0,0.00645499,,1,,0.16,0.04,-0.05,,,,,2.0,4.0,8.0,1.0,,,2.0,0.1127,,-0.21,4.0,1.0,,2.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,
14572774,away,FC Midtjylland,Victor Bak Jensen,victor-bak-jensen,V. B. Jensen,D,55,175,174,M,1002057,EUR,1065139200,M,55,55,False,18.0,11.0,3.0,1.0,0.0,1.0,4.0,10.0,14.0,7.0,,,,,,,90.0,31.0,6.8,10.0,0.0269537,,0,,-0.05,0.02,0.31,,,1.0,,,2.0,3.0,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,
14572774,away,FC Midtjylland,Júnior Brumado,junior-brumado,J. Brumado,F,74,190,623,M,888376,EUR,926726400,F,74,74,False,15.0,11.0,1.0,,0.0,5.0,6.0,6.0,9.0,3.0,5.0,,,,,,88.0,33.0,6.9,8.0,0.00947558,,0,,-0.08,0.15,-0.02,,,,,3.0,11.0,12.0,2.0,2.0,,4.0,,,,3.0,,3.0,4.0,,,,,,,4.0,2.0,,1.0,,,1.0,,,,,,
