match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_goalAssist,stat_keyPass,stat_shotOffTarget,stat_penaltyWon,stat_totalOffside,stat_hitWoodwork,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,player_sofascoreId
10433835,home,Fatih Karagümrük,Kerim Frei,kerim-frei,K. Frei,M,173,68,M,157014,EUR,753667200,F,11,11,False,,18.0,17.0,2.0,2.0,6.0,6.0,12.0,,6.0,,75.0,24.0,6.7,4.0,0,,,11,11.0,,,3.0,2.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Adnan Uğur,adnan-ugur,A. Uğur,M,174,53,M,987539,EUR,993686400,M,77,77,True,,6.0,5.0,,,3.0,3.0,3.0,,1.0,,15.0,12.0,6.7,3.0,0,,,77,2.0,,,1.0,2.0,,,1.0,1.0,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Mbaye Diagne,mbaye-diagne,M. Diagne,F,191,1429,M,346790,EUR,688608000,F,9,9,True,,4.0,3.0,,,2.0,2.0,2.0,,,,15.0,5.0,7.1,1.0,1,,,45,1.0,,,2.0,1.0,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Salih Dursun,salih-dursun,S. Dursun,D,188,33,M,179189,EUR,679276800,D,54,54,True,,1.0,1.0,,,1.0,1.0,,,1.0,,9.0,1.0,6.5,,0,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Levent Mercan,munir-levent-mercan,L. Mercan,D,176,1692,M,1085938,EUR,976406400,M,18,18,True,,1.0,1.0,,,1.0,1.0,,,,,9.0,1.0,6.5,,0,,,22,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Batuhan Şen,batuhan-ahmet-sen,B. A. Şen,G,192,1068,M,867595,EUR,918000000,G,1,1,True,,,,,,,,,,,,,,,,0,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Muzaffer Cem Kablan,kablan-muzaffer-cem,M. C. Kablan,G,192,17,M,967176,EUR,946684800,G,23,23,True,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Efecan Mizrakci,efecan-mizrakci,E. Mizrakci,D,188,10,M,1394137,EUR,1073606400,D,37,37,True,,,,,,,,,,,,,,,,0,Efecan Mizrakci,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Burak Bekaroğlu,burak-bekaroglu,B. Bekaroğlu,D,185,23,M,802645,EUR,861148800,D,86,86,True,,,,,,,,,,,,,,,,0,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Emir Tintiş,emir-tintis,E. Tintiş,D,187,27,M,1210418,EUR,1073865600,D,3,3,True,,,,,,,,,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Samed Onur,samed-onur,S. Onur,M,175,60,M,980608,EUR,1026691200,M,17,17,True,,,,,,,,,,,,,,,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433835,away,Hatayspor,Erce Kardeşler,erce-kardesler,E. Kardeşler,G,186,93,M,758606,EUR,763603200,G,1,1,False,,45.0,36.0,22.0,13.0,33.0,35.0,10.0,2.0,10.0,,90.0,56.0,5.5,9.0,0,,,31,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,,
