match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,player_sofascoreId,stat_totalCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_duelLost,stat_totalClearance,stat_wonTackle,stat_fouls,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_accurateCross,stat_challengeLost,stat_shotOffTarget,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalOffside,stat_blockedScoringAttempt,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_errorLeadToAShot
10408518,home,Real Betis,Borja Iglesias,,,borja-iglesias,B. Iglesias,F,7,187,4084,M,785989,EUR,727228800,F,9,9,False,11.0,6.0,1.0,,3.0,3.0,3.0,8.0,2.0,,66.0,21.0,6.2,11.0,0.0,0.0,0.00350713,0,,,2.0,1.0,,,,2.0,1.0,,8.0,1.0,,,3.0,1.0,,,1.0,,,3.0,,1.0,,,,,
10408518,home,Real Betis,Willian José,,,willian-jose,W. José,F,12,189,3025,M,123223,EUR,690854400,F,12,12,True,6.0,5.0,,,2.0,2.0,3.0,4.0,2.0,,24.0,9.0,6.8,2.0,0.099,0.1787,0.010502,1,,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,
10408518,home,Real Betis,Juanmi,,,juanmi,Juanmi,F,7,169,648,M,96369,EUR,737856000,F,7,7,True,3.0,3.0,,,1.0,1.0,2.0,2.0,2.0,,13.0,6.0,6.7,,0.0,0.0,0.00035103,0,,,2.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,
10408518,home,Real Betis,Aitor Ruibal,,,aitor-ruibal,A. Ruibal,D,24,176,879,M,893062,EUR,827452800,D,24,24,True,5.0,3.0,,,1.0,1.0,2.0,4.0,,,15.0,13.0,6.4,4.0,0.0,0.0,0.00181897,0,,,2.0,3.0,1.0,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,
10408518,home,Real Betis,Joaquín,,,joaquin,Joaquín,M,,181,477,,1749,EUR,364521600,M,17,17,True,2.0,1.0,,,,,1.0,4.0,,,14.0,4.0,6.2,3.0,0.0,0.0,0.00044675,0,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,
10408518,home,Real Betis,Claudio Bravo,,,claudio-bravo,C. Bravo,G,,184,2223,M,13249,EUR,419040000,G,1,1,True,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408518,home,Real Betis,Juan Miranda,,,juan-miranda,J. Miranda,D,33,185,2208,M,855829,EUR,948240000,D,33,33,True,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408518,home,Real Betis,Ricardo Visus,Ricardo Visus,,ricardo-visus,R. Visus,D,14,192,119,M,1046322,EUR,988070400,D,34,34,True,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408518,home,Real Betis,Martín Montoya,,,martin-montoya,M. Montoya,D,,174,175,M,99517,EUR,671587200,D,2,2,True,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408518,home,Real Betis,Víctor Ruiz,,,victor-ruiz,V. Ruiz,D,30,184,91,M,82400,EUR,601689600,D,6,6,True,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408518,home,Real Betis,Rodri Sánchez,,,rodri-sanchez,R. Sánchez,M,10,175,565,M,1031421,EUR,958435200,M,28,28,True,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408518,home,Real Betis,Loren Morón,,,loren-moron,L. Morón,F,80,188,768,M,893063,EUR,757209600,F,21,21,True,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408518,away,Athletic Club,Unai Simón,,,unai-simon,U. Simón,G,1,189,6832,M,797291,EUR,865987200,G,1,1,False,18.0,12.0,11.0,5.0,9.0,9.0,3.0,9.0,5.0,,90.0,27.0,8.1,6.0,0.0,0.0,0.00074301,0,unai_simon,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,0.9844,
10408518,away,Athletic Club,Óscar de Marcos,,,oscar-de-marcos,Ó. de Marcos,D,10,180,561,M,52663,EUR,608515200,D,18,18,False,32.0,23.0,4.0,1.0,7.0,11.0,17.0,25.0,3.0,,90.0,60.0,7.4,12.0,0.0,0.0,0.123678,0,,4.0,6.0,,,,4.0,,,1.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,,True,,,,,,,,
10408518,away,Athletic Club,Daniel Vivian,,,daniel-vivian,D. Vivian,D,3,183,3110,M,910978,EUR,931132800,D,3,3,False,42.0,28.0,8.0,2.0,20.0,26.0,8.0,16.0,8.0,,90.0,55.0,7.0,17.0,0.0,0.0,0.00392731,0,,,4.0,,,1.0,2.0,2.0,,,6.0,3.0,2.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,
