match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon,stat_totalOffside,stat_blockedScoringAttempt,stat_penaltyConceded,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_outfielderBlock,stat_errorLeadToAShot
14131908,away,FC Alverca,Sabit Abdulai,,,sabit-abdulai,S. Abdulai,M,21,185,126,M,1031485,EUR,926380800,M,21,21,False,,36.0,29.0,4.0,2.0,0.0,21.0,24.0,8.0,12.0,6.0,,,90.0,53.0,6.5,13.0,0.00689774,,0,,-0.28,0.31,-0.06,,1.0,,1.0,,4.0,4.0,,,3.0,,2.0,2.0,,,,,,,,,2.0,2.0,4.0,1.0,,,,,,,,,,,
14131908,away,FC Alverca,Alexsandro Amorim,,,amorim,Amorim,M,4,177,437,M,1511706,EUR,1116374400,M,8,8,False,,29.0,27.0,3.0,2.0,0.0,18.0,18.0,9.0,11.0,2.0,,,69.0,34.0,6.3,2.0,0.0916416,,0,,0.03,0.07,-0.15,,,,,1.0,5.0,3.0,2.0,,1.0,1.0,,3.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14131908,away,FC Alverca,Francisco Chissumba,Francisco,Chissumba,francisco-chissumba,F. Chissumba,D,55,180,264,M,1158067,EUR,1117324800,M,55,55,False,,10.0,8.0,1.0,1.0,0.0,3.0,4.0,5.0,6.0,2.0,,,56.0,24.0,6.6,5.0,0.00495961,,0,,-0.01,-0.09,-0.06,,,,,1.0,2.0,3.0,1.0,,2.0,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,
14131908,away,FC Alverca,Lincoln,,,lincoln,Lincoln,M,18,177,840,M,794928,EUR,910396800,F,18,18,False,,23.0,18.0,,,0.0,9.0,11.0,9.0,12.0,3.0,,,81.0,33.0,7.5,6.0,0.00401828,,1,,-0.12,-0.55,0.19,,1.0,,1.0,1.0,4.0,2.0,1.0,,1.0,,1.0,2.0,0.3584,,0.51,1.0,1.0,0.8274,,,,,,,,,,,,,,,,1.0,
14131908,away,FC Alverca,Marko Milovanović,Marko,Milovanović,marko-milovanovic,M. Milovanović,F,9,196,376,M,1100957,EUR,1059955200,F,9,9,False,,14.0,7.0,,,0.0,3.0,4.0,4.0,10.0,1.0,,,69.0,20.0,6.2,8.0,0.0117831,,0,,-0.22,-0.07,0.2,,,,5.0,2.0,8.0,3.0,,,3.0,,1.0,3.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
14131908,away,FC Alverca,Figueiredo,Figueiredo,,figueiredo,Figueiredo,M,20,178,683,M,1105790,EUR,997747200,F,20,20,False,,13.0,5.0,1.0,,1.0,3.0,3.0,2.0,10.0,1.0,,,69.0,33.0,7.0,14.0,0.239367,,1,,0.14,0.1,-0.05,,3.0,2.0,,,3.0,5.0,1.0,,,3.0,3.0,1.0,0.0386,1.0,-0.11,1.0,,0.1071,2.0,2.0,,,3.0,1.0,1.0,,,,,,,,,,
14131908,away,FC Alverca,Isaac James,Isaac,James,isaac-james,I. James,D,12,175,46,M,1915110,EUR,1093651200,D,12,12,True,,11.0,9.0,1.0,1.0,0.0,5.0,5.0,4.0,6.0,2.0,,,34.0,20.0,6.1,5.0,0.00256651,,0,,-0.01,-0.24,-0.19,,2.0,,,,4.0,,1.0,,2.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,
14131908,away,FC Alverca,Davy Gui,Davy,Gui,davy-jean-carl-kamon-gui-gui,D. Gui,M,6,185,95,M,2033832,EUR,1150329600,M,6,6,True,,12.0,12.0,,,0.0,7.0,7.0,5.0,5.0,,,,21.0,16.0,6.3,1.0,0.00402328,,0,,0.0,0.03,-0.1,,,,,,3.0,1.0,1.0,,,2.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
14131908,away,FC Alverca,Cédric Nuozzi,,,cedric-nuozzi,C. Nuozzi,F,11,177,136,M,1405454,EUR,1138579200,F,11,11,True,,8.0,6.0,,,0.0,3.0,3.0,3.0,5.0,,,,21.0,11.0,6.9,2.0,0.0169095,,0,,0.03,0.12,0.14,,,,,,,3.0,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14131908,away,FC Alverca,Sandro Lima,,,sandro-lima,S. Lima,F,91,186,115,M,344023,EUR,657072000,F,91,91,True,,6.0,5.0,,,0.0,2.0,3.0,3.0,3.0,2.0,,,21.0,11.0,6.4,3.0,0.00203127,,0,,-0.01,-0.49,0.13,,,,1.0,2.0,2.0,2.0,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,
14131908,away,FC Alverca,Tiago Leite,Tiago Leite,,tiago-leite,T. Leite,F,79,185,51,M,1528310,EUR,965001600,F,19,19,True,,4.0,4.0,,,0.0,3.0,3.0,1.0,1.0,1.0,,,9.0,6.0,6.4,1.0,0.00029464,,1,,-0.03,0.09,0.15,,1.0,,4.0,,4.0,,,,,,,,0.0502,,-0.11,1.0,,0.0953,,,,,,,,,,,,,,,,,
14131908,away,FC Alverca,Matheus Mendes,,,matheus-mendes,M. Mendes,G,31,193,410,M,1018555,EUR,921024000,G,31,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131908,away,FC Alverca,Gonçalo Esteves,,,goncalo-esteves,G. Esteves,D,2,171,466,M,1130376,EUR,1077840000,D,22,22,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131908,away,FC Alverca,Bastien Meupiyou,,,bastien-meupiyou,B. Meupiyou,D,33,191,529,M,1405973,EUR,1142726400,D,33,33,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131908,away,FC Alverca,Gian Cabezas,Gian Cabezas,,gian-cabezas,G. Cabezas,M,28,178,88,M,1099301,EUR,1041379200,M,28,28,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
