match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_duelLost,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_wonTackle,stat_totalCross,stat_totalContest,stat_wonContest,stat_challengeLost,stat_dispossessed,stat_interceptionWon,player_sofascoreId,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_wasFouled,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_outfielderBlock,stat_goalAssist,stat_goals
10978180,away,Liverpool,Fabio Carvalho,fabio-carvalho,F. Carvalho,F,14,170,4032,M,991604,EUR,1030665600,F,28,28,False,22.0,21.0,,,6.0,6.0,15.0,16.0,,3.0,,7.0,,,66.0,38.0,6.6,7.0,0,,,6.0,,3.0,,3.0,,,2.0,1.0,,2.0,1.0,_fabio.10,,,,2.0,,,2.0,1.0,,,,,,,
10978180,away,Liverpool,Nathaniel Phillips,nathaniel-phillips,N. Phillips,D,3,190,2173,M,920393,EUR,858902400,D,47,47,True,7.0,6.0,,,6.0,7.0,,,,,3.0,1.0,,,24.0,13.0,6.6,1.0,0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
10978180,away,Liverpool,Curtis Jones,curtis-jones,C. Jones,M,17,185,17589,M,927353,EUR,980812800,M,17,17,True,11.0,8.0,1.0,,2.0,4.0,6.0,7.0,,,,,,,24.0,14.0,6.6,3.0,1,,,,,,,,,,,,,,,curtisjones,,1.0,,,,,,,,,,,,,
10978180,away,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,564007,M,159665,EUR,708566400,F,11,11,True,5.0,4.0,,,1.0,2.0,3.0,3.0,,1.0,,2.0,,,24.0,11.0,6.5,4.0,0,,,2.0,,3.0,1.0,2.0,,,,,,,,MoSalah,,,,,,,1.0,,,,,,,,
10978180,away,Liverpool,Ben Gannon-Doak,ben-doak,B. Doak,M,11,174,6772,M,1154861,EUR,1131667200,F,50,50,True,5.0,5.0,,,2.0,2.0,3.0,4.0,,2.0,,2.0,,,15.0,11.0,6.6,2.0,0,Ben Doak,,3.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,bendoak._,,,,,,,,,,,,,,,
10978180,away,Liverpool,Fabinho,fabinho,Fabinho,M,8,187,9249,M,243585,EUR,751334400,M,3,3,True,8.0,5.0,2.0,1.0,2.0,4.0,3.0,4.0,,,3.0,2.0,,,15.0,12.0,6.6,3.0,0,,,1.0,,,1.0,,,,,,,,,Fabinho,,,,,,,,,,,,,1.0,,
10978180,away,Liverpool,Alisson,alisson,Alisson,G,1,193,64485,M,243609,EUR,717984000,G,1,1,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,AlissonBecker,,,,,,,,,,,,,,,
10978180,away,Liverpool,Joël Matip,joel-matip,J. Matip,D,,195,3344,M,51501,EUR,681609600,D,32,32,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,joelmatip,,,,,,,,,,,,,,,
10978180,away,Liverpool,Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,24708,M,262911,EUR,763344000,D,26,26,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,andyrobertson94,,,,,,,,,,,,,,,
10978180,away,Liverpool,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,A. Oxlade-Chamberlain,M,21,180,3255,M,10577,EUR,745372800,M,15,15,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,AlexOxChambo,,,,,,,,,,,,,,,
