match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_wonContest,stat_outfielderBlock,stat_blockedScoringAttempt,stat_hitWoodwork,captain,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_goals,player_firstName,player_lastName,stat_challengeLost,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_errorLeadToAShot,stat_penaltyConceded
14025214,away,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,9125,M,jarrodbowen,552884,EUR,851040000,M,20,20,False,14.0,12.0,2.0,1.0,0.0,5.0,5.0,7.0,9.0,3.0,,,90.0,33.0,6.2,11.0,0.0100679,0,-0.02,-0.31,-0.08,4.0,6.0,3.0,2.0,,,2.0,2.0,,,,2.0,1.0,,,,1.0,,1.0,1.0,,,,,True,,2.0,,,,,,,,,,,,,,,,,
14025214,away,West Ham United,Lucas Paquetá,lucas-paqueta,L. Paquetá,M,20,180,63569,M,Paqueta,839981,EUR,872640000,M,10,10,False,33.0,29.0,3.0,1.0,0.0,12.0,12.0,17.0,21.0,3.0,,,90.0,65.0,7.7,18.0,0.344001,1,0.47,0.02,0.21,5.0,9.0,10.0,3.0,1.0,,,1.0,5.0,3.0,4.0,4.0,1.0,,0.0123,,2.0,-0.13,,,1.0,2.0,,,,2.0,4.0,2.0,,,,2.0,,,,,,,,,,,1.0,
14025214,away,West Ham United,Mateus Fernandes,mateus-fernandes,M. Fernandes,M,18,178,3830,M,,1142562,EUR,1089417600,M,18,18,False,35.0,35.0,2.0,2.0,0.0,22.0,22.0,13.0,13.0,4.0,,,90.0,51.0,7.0,5.0,0.0070257,0,0.13,0.01,0.31,,8.0,7.0,2.0,,,1.0,,7.0,3.0,1.0,,2.0,,,,,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
14025214,away,West Ham United,Crysencio Summerville,crysencio-summerville,C. Summerville,M,7,174,5285,M,csummerville7,917005,EUR,1004400000,M,7,7,False,27.0,23.0,1.0,,0.0,8.0,8.0,15.0,19.0,4.0,,,90.0,46.0,6.6,9.0,0.00922927,1,-0.15,0.19,-0.01,,5.0,7.0,2.0,,,4.0,1.0,2.0,1.0,2.0,4.0,2.0,,0.0205,,,-0.19,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
14025214,away,West Ham United,Niclas Füllkrug,niclas-fullkrug,N. Füllkrug,F,9,188,9883,M,niclas.fuellkrug24,132645,EUR,729216000,F,11,11,False,13.0,6.0,,,0.0,4.0,4.0,2.0,9.0,2.0,,,61.0,18.0,6.3,8.0,0.00364053,1,-0.26,-0.01,0.13,,2.0,4.0,,1.0,,,1.0,,,1.0,1.0,1.0,,0.3302,,,-0.53,1.0,3.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
14025214,away,West Ham United,Freddie Potts,freddie-potts,F. Potts,M,32,183,468,M,,1089582,EUR,1063324800,M,32,32,True,11.0,6.0,3.0,,0.0,3.0,4.0,3.0,7.0,,,,29.0,13.0,6.4,5.0,0.00105892,0,0.0,0.02,-0.04,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,Freddie Potts,,,,,,,,,,,,,,
14025214,away,West Ham United,Callum Marshall,marshall-callum,C. Marshall,F,16,176,505,M,,1394099,EUR,1101600000,F,50,50,True,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,,29.0,11.0,6.4,5.0,7.259e-05,1,0.0,-0.02,0.13,,4.0,2.0,2.0,1.0,,,2.0,,,2.0,,,,0.1288,,,-0.42,1.0,1.0,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,
14025214,away,West Ham United,Kyle Walker-Peters,kyle-walker-peters,K. Walker-Peters,D,2,173,1504,M,,823085,EUR,860889600,D,2,2,True,8.0,5.0,1.0,,0.0,4.0,6.0,1.0,2.0,1.0,,,11.0,12.0,6.7,3.0,0.0002158,0,-0.08,,-0.04,,1.0,2.0,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025214,away,West Ham United,Mads Hermansen,mads-hermansen,M. Hermansen,G,1,187,1770,M,,856640,EUR,963273600,G,1,1,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025214,away,West Ham United,Igor Júlio,igor-julio,I. Júlio,D,3,185,1338,M,,842513,EUR,886809600,D,5,5,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025214,away,West Ham United,Luis Guilherme,luis-guilherme,Luis Guilherme,M,31,175,4554,M,guilhermelira06,1464248,EUR,1139443200,F,17,17,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luis Guilherme,,,,,,,,,,,,,,
14025214,away,West Ham United,Guido Rodríguez,guido-rodriguez,G. Rodríguez,M,2,185,3908,M,guiido_rodriguez,609752,EUR,766108800,M,24,24,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025214,away,West Ham United,Oliver Scarles,scarles-oliver,O. Scarles,M,30,180,573,M,,1150952,EUR,1134345600,D,30,30,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oliver Scarles,,,,,,,,,,,,,,
14025214,away,West Ham United,Callum Wilson,callum-wilson,C. Wilson,F,9,180,3241,M,,113956,EUR,699148800,F,9,9,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
