match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_bigChanceCreated,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_duelWon,stat_totalTackle,stat_fouls,captain,stat_aerialWon,stat_shotOffTarget,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_challengeLost,stat_goals,stat_hitWoodwork,stat_goodHighClaim,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAShot
14035927,away,Royal Antwerp FC,Taishi Brandon Nozawa,,,taishi-brandon-nozawa,T. B. Nozawa,G,41,191.0,524,M,1002358,EUR,1040774400,G,41,41,False,39.0,20.0,35.0,16.0,0.0,7.0,11.0,13.0,28.0,,17.0,4.0,7.0,,90.0,58.0,9.2,21.0,0.0478698,1.5993,0,0.935,0.23,0.01,0.31,0.92,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,
14035927,away,Royal Antwerp FC,Zeno Van Den Bosch,,,van-den-bosch-zeno,Z. V. D. Bosch,D,33,191.0,594,M,1103765,EUR,1057449600,D,33,33,False,21.0,13.0,8.0,3.0,0.0,9.0,11.0,4.0,10.0,3.0,3.0,,,,90.0,40.0,7.6,9.0,0.00647395,,0,,0.03,0.1,0.8,,1.0,1.0,1.0,3.0,,,1.0,,,3.0,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,1.0,1.0,
14035927,away,Royal Antwerp FC,Boubakar Kouyaté,,,boubakar-kouyate,B. Kouyaté,D,25,192.0,905,M,848537,EUR,861062400,D,25,25,False,14.0,6.0,7.0,1.0,0.0,6.0,9.0,,5.0,9.0,3.0,,,,70.0,29.0,6.8,9.0,2.548e-05,,0,,-0.09,0.01,0.36,,,,1.0,3.0,1.0,,1.0,,,6.0,1.0,1.0,,4.0,,1.0,1.0,,,,,,,,,,,,,,,2.0,
14035927,away,Royal Antwerp FC,Yuto Tsunashima,Yuto Tsunashima,,tsunashima-yuto,Y. Tsunashima,D,4,188.0,256,M,1470622,EUR,966297600,D,4,4,False,20.0,18.0,2.0,1.0,0.0,17.0,17.0,1.0,3.0,5.0,1.0,,,,90.0,32.0,6.6,3.0,0.00026329,,1,,-0.03,0.03,0.33,,,,3.0,5.0,,,1.0,,,3.0,1.0,2.0,,2.0,1.0,,,0.0701,-0.16,,,,,,,,,,,,,3.0,
14035927,away,Royal Antwerp FC,Thibo Somers,,,somers-thibo,T. Somers,F,24,183.0,225,M,1002804,EUR,921542400,M,24,24,False,13.0,8.0,1.0,1.0,0.0,3.0,3.0,5.0,10.0,2.0,2.0,,,,90.0,40.0,6.5,15.0,0.0156284,,0,,-0.13,0.07,-0.05,,2.0,,4.0,10.0,2.0,,,,,8.0,3.0,1.0,,3.0,,1.0,2.0,,,2.0,,,,,,,1.0,,,,,,
14035927,away,Royal Antwerp FC,Mauricio Benitez,Mauricio Benitez,,mauricio-benitez,M. Benitez,M,16,185.0,390,M,1402224,EUR,1075766400,M,16,16,False,16.0,9.0,2.0,2.0,0.0,6.0,7.0,3.0,9.0,2.0,3.0,,,,70.0,21.0,6.6,7.0,0.00384442,,1,,-0.01,0.1,-0.13,,,,,2.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,,0.0544,-0.16,,,,,,,,1.0,,,,,,
14035927,away,Royal Antwerp FC,Mahamadou Diawara,Mahamadou Diawara,,mahamadou-diawara,M. Diawara,M,34,187.0,454,M,1402751,EUR,1108512000,M,34,34,False,10.0,5.0,3.0,1.0,0.0,1.0,2.0,4.0,8.0,1.0,,,,,43.0,16.0,6.3,6.0,0.0126926,,0,,-0.02,,-0.13,,,,,2.0,,,,,,2.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
14035927,away,Royal Antwerp FC,Daam Foulon,,,daam-foulon,D. Foulon,M,5,180.0,205,M,826170,EUR,922147200,M,5,5,False,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,4.0,,,,,22.0,12.0,4.3,5.0,0.00033196,,0,,-0.03,0.01,-0.01,,3.0,,,1.0,,,,1.0,,4.0,,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,
14035927,away,Royal Antwerp FC,Youssef Hamdaoui,,,youssef-hamdaoui,Y. Hamdaoui,M,43,,475,M,1590946,EUR,1205971200,F,43,43,False,6.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,,3.0,,,,60.0,18.0,6.4,9.0,0.0006247,,0,,-0.1,0.03,-0.04,,2.0,1.0,1.0,4.0,1.0,,,2.0,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,
14035927,away,Royal Antwerp FC,Marwan Alsahafi,,,alsahafi-marwan,M. Alsahafi,F,9,179.0,1131,M,1474689,EUR,1076976000,F,9,9,False,13.0,9.0,1.0,,0.0,3.0,7.0,6.0,6.0,,3.0,,,,90.0,29.0,6.6,8.0,0.00990256,,2,,-0.21,0.43,-0.15,,,,,,1.0,,1.0,4.0,,3.0,,,,1.0,,,1.0,0.3784,-0.54,,1.0,1.0,1.0,1.0,,0.2707,,,,,,,1.0
14035927,away,Royal Antwerp FC,Vincent Janssen,,,vincent-janssen,V. Janssen,F,18,184.0,1452,M,339901,EUR,771552000,F,18,18,False,17.0,14.0,2.0,2.0,0.0,6.0,6.0,8.0,11.0,,2.0,,,,90.0,31.0,6.6,7.0,0.0149204,,1,,0.01,-0.05,0.14,,,,3.0,5.0,,,1.0,2.0,,5.0,2.0,1.0,True,,1.0,1.0,3.0,0.0332,-0.17,2.0,,,,,2.0,,,,,,,,
14035927,away,Royal Antwerp FC,Dennis Praet,,,dennis-praet,D. Praet,M,8,181.0,724,M,135647,EUR,768873600,M,8,8,True,31.0,20.0,5.0,1.0,0.0,12.0,17.0,8.0,14.0,1.0,8.0,,,,47.0,42.0,6.7,16.0,0.101702,,0,,0.14,0.06,0.13,,2.0,1.0,,1.0,,,2.0,,1.0,2.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,
14035927,away,Royal Antwerp FC,Christopher Scott,,,christopher-scott,C. Scott,M,30,174.0,169,M,997118,EUR,1023408000,M,30,30,True,9.0,7.0,1.0,1.0,0.0,3.0,3.0,4.0,6.0,1.0,1.0,,,,30.0,12.0,6.5,3.0,0.0025608,,0,,0.01,0.0,-0.04,,,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
14035927,away,Royal Antwerp FC,Glenn Bijl,,,glenn-bijl,G. Bijl,D,23,184.0,90,M,612016,EUR,805593600,D,23,23,True,6.0,3.0,,,0.0,1.0,2.0,2.0,4.0,,1.0,,,,20.0,10.0,6.6,5.0,0.00100106,,0,,-0.15,0.02,0.13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
14035927,away,Royal Antwerp FC,Isaac Babadi,,,isaac-babadi,I. Babadi,M,10,179.0,1021,M,1120701,EUR,1112745600,M,10,10,True,9.0,7.0,,,0.0,2.0,2.0,5.0,7.0,,,,,,20.0,13.0,6.6,4.0,0.0574186,,0,,0.15,-0.03,-0.01,,3.0,1.0,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
14035927,away,Royal Antwerp FC,Yannick Thoelen,,,yannick-thoelen,Y. Thoelen,G,15,188.0,95,M,794571,EUR,648259200,G,15,15,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035927,away,Royal Antwerp FC,Rosen Bozhinov,Rosen Bozhinov,,rosen-bozhinov,R. Bozhinov,D,2,195.0,619,M,1152943,EUR,1106438400,D,26,26,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035927,away,Royal Antwerp FC,Kobe Corbanie,Kobe Corbanie,,corbanie-kobe,K. Corbanie,D,2,187.0,205,M,1463869,EUR,1115683200,D,2,2,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035927,away,Royal Antwerp FC,Xander Dierckx,,,xander-dierckx,X. Dierckx,M,78,,206,M,2405369,EUR,1235692800,M,78,78,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035927,away,Royal Antwerp FC,Gabriel Jesus David,Gabriel Jesus David,,david-gabriel-jesus,G. David,F,92,,96,M,2058686,EUR,1167696000,F,92,92,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
