match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_fouls,player_lastName,stat_aerialLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_outfielderBlock,stat_wasFouled,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_keyPass,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_totalOffside
14064446,away,Nice,Morgan Sanson,,morgan-sanson,M. Sanson,M,8,182,499,M,250133,EUR,777168000,M,8,8,False,26.0,18.0,,,0.0,9.0,12.0,9.0,14.0,1.0,4.0,,,,,70.0,38.0,6.4,15.0,0.0628587,212.15385665111,17.0,-127.68,9.975,,0,,-0.21,0.28,-0.06,,4.0,,5.0,3.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,3.0,,1.0,,,,,
14064446,away,Nice,Mohamed-Ali Cho,,mohamed-ali-cho,M. Cho,F,25,182,1757,M,1063235,EUR,1074470400,F,25,25,False,26.0,22.0,1.0,1.0,0.0,13.0,13.0,9.0,13.0,,7.0,,,,,90.0,46.0,6.6,15.0,0.327296,321.79850216577,24.0,-180.39,5.775,,2,,0.03,0.34,-0.1,,2.0,,7.0,4.0,2.0,6.0,3.0,,,1.0,1.0,1.0,,,4.0,0.1099,0.17,,1.0,,1.0,0.2704,,,1.0,,1.0,1.0,,,,
14064446,away,Nice,Sofiane Diop,,sofiane-diop,S. Diop,M,10,175,3842,M,944164,EUR,960508800,F,10,10,False,49.0,42.0,8.0,7.0,0.0,24.0,25.0,18.0,24.0,,3.0,,,,,90.0,66.0,7.4,14.0,0.0486664,194.62978771528,26.0,-8.715,21.105,,1,,0.06,0.14,0.13,,1.0,1.0,3.0,7.0,,1.0,,1.0,,,,,,,3.0,0.0179,0.0,,6.0,1.0,,,,,1.0,,2.0,,,,,
14064446,away,Nice,Isak Jansson,,isak-jansson,I. Jansson,F,21,176,322,M,962064,EUR,1012435200,F,21,21,False,16.0,14.0,1.0,1.0,0.0,2.0,3.0,12.0,13.0,,1.0,,,,,70.0,29.0,7.3,6.0,0.372776,157.85868921837,11.0,-70.035,14.385,,1,,0.33,0.29,-0.04,,3.0,,2.0,4.0,1.0,2.0,2.0,,,1.0,,1.0,2.0,1.0,2.0,0.0223,-0.07,,,,1.0,0.2302,,1.0,,,1.0,,,,,
14064446,away,Nice,Kevin Carlos Omoruyi,Kevin,kevin-omoruyi,K. Carlos,F,9,188,479,M,1035619,EUR,986860800,F,90,90,True,8.0,7.0,,,0.0,5.0,5.0,2.0,3.0,,,,,,,45.0,13.0,6.3,4.0,0.00136887,23.238232272627,3.0,16.695,7.56,,0,,-0.18,-0.12,0.16,,,1.0,3.0,1.0,,,,1.0,,1.0,,,,,2.0,,,1.0,,,,,,,1.0,,,,,,,1.0
14064446,away,Nice,Salis Abdul Samed,,abdul-samed-salis,S. A. Samed,M,99,180,2025,M,993455,EUR,954028800,M,99,99,True,10.0,8.0,,,0.0,7.0,8.0,1.0,2.0,,,,,,,20.0,13.0,6.1,4.0,0.00156086,26.886345138597,4.0,3.15,6.93,,0,,-0.05,0.01,-0.18,,,,5.0,,1.0,,,2.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,
14064446,away,Nice,Ali Abdi,,ali-abdi,A. Abdi,M,2,183,4213,M,919027,EUR,756345600,D,2,2,True,9.0,9.0,1.0,1.0,0.0,5.0,5.0,4.0,4.0,1.0,,,,,,20.0,16.0,7.0,,0.00363016,32.205270789816,5.0,-16.695,3.57,,0,,0.07,0.01,0.17,,,1.0,1.0,3.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,
14064446,away,Nice,Tanguy Ndombélé,,tanguy-ndombele,T. Ndombélé,M,22,181,2715,M,845486,EUR,851731200,M,22,22,True,2.0,2.0,,,0.0,2.0,2.0,,,,1.0,,,,,20.0,5.0,6.6,1.0,6.525e-05,17.839758320005,3.0,-1.47,5.46,,0,,0.0,-0.13,-0.01,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
14064446,away,Nice,Tiago Gouveia,,tiago-gouveia,T. Gouveia,F,47,176,1493,M,976410,EUR,992822400,F,47,47,True,3.0,2.0,1.0,1.0,0.0,,1.0,2.0,2.0,,,,,,,20.0,7.0,6.5,2.0,0.00072275,21.493215069892,2.0,-10.92,-1.365,,1,,-0.01,0.18,-0.01,,,,,,,,,,,,1.0,,,,1.0,0.0361,-0.32,,,,,,,,,,,,,,,
14064446,away,Nice,Maxime Dupé,,maxime-dupe,M. Dupé,G,31,186,170,M,96542,EUR,731203200,G,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064446,away,Nice,Abdulay Juma Bah,,abdulay-juma-bah,A. J. Bah,D,28,195,5965,M,1606792,EUR,1144713600,D,28,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064446,away,Nice,Bernard Nguene,Bernard Nguene,bernard-nguene,B. Nguene,F,26,180,220,M,2017474,EUR,1154649600,F,49,49,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064446,away,Nice,Zoumana Diallo,Zoumana Diallo,zoumana-diallo,Z. Diallo,F,44,185,36,M,1214843,EUR,1107302400,F,44,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
