match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_aerialWon,stat_dispossessed,player_firstName,player_lastName,stat_outfielderBlock,stat_fouls,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,stat_wasFouled,stat_blockedScoringAttempt,stat_accurateCross,stat_totalOffside,stat_bigChanceCreated,stat_shotOffTarget,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_goalAssist,stat_goals
10390043,away,Stade Rennais,Christopher Wooh,christopher-wooh,C. Wooh,D,3,190,3805,M,chriswooh,930231,EUR,1000771200,D,15,15,False,38.0,37.0,5.0,4.0,31.0,31.0,6.0,7.0,1.0,,,90.0,48.0,7.3,1.0,0.0,0.0,0.00224937,0,,,2.0,4.0,3.0,,2.0,2.0,4.0,2.0,1.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,
10390043,away,Stade Rennais,Arthur Theate,arthur-theate,A. Theate,D,3,186,2210,M,,965778,EUR,959212800,D,5,5,False,55.0,50.0,4.0,3.0,36.0,37.0,14.0,18.0,3.0,,,90.0,59.0,6.8,6.0,0.0566,0.0,0.0180777,1,,,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,
10390043,away,Stade Rennais,Adrien Truffert,truffert-adrien,A. Truffert,M,3,176,1506,M,,999028,EUR,1006214400,D,3,3,False,,,,,,,,,,,,5.0,1.0,,,0.0,0.0,0.0,0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390043,away,Stade Rennais,Désiré Doué,desire-doue,D. Doué,F,14,181,91970,M,DD14,1154605,EUR,1117756800,M,33,33,False,30.0,23.0,2.0,2.0,10.0,12.0,14.0,21.0,4.0,,,71.0,47.0,7.5,11.0,0.0,0.0,0.0402374,0,,3.0,1.0,4.0,7.0,2.0,2.0,2.0,,3.0,4.0,3.0,,,,Désiré Doué,,,1.0,,2.0,2.0,1.0,,1.0,,,,,,,,
10390043,away,Stade Rennais,Benjamin Bourigeaud,benjamin-bourigeaud,B. Bourigeaud,M,19,178,962,M,,324399,EUR,758505600,M,14,14,False,73.0,61.0,10.0,7.0,30.0,36.0,32.0,41.0,11.0,,,90.0,91.0,8.3,15.0,0.028,0.0,0.408437,1,,4.0,,1.0,6.0,1.0,,,1.0,2.0,5.0,2.0,,,,,,,,,,2.0,1.0,,1.0,,,1.0,True,,,1.0,
10390043,away,Stade Rennais,Lesley Ugochukwu,lesley-ugochukwu,L. Ugochukwu,M,8,188,5004,M,l.ugochukwu8,1048916,EUR,1080259200,M,6,6,False,29.0,25.0,1.0,,12.0,13.0,13.0,16.0,2.0,,,78.0,41.0,7.7,4.0,0.0,0.0,0.394003,0,,,,2.0,7.0,,3.0,3.0,2.0,1.0,3.0,2.0,,,,,,,2.0,,,1.0,1.0,,,,1.0,,,,,1.0,
10390043,away,Stade Rennais,Karl Toko Ekambi,karl-toko-ekambi,K. Toko Ekambi,F,9,183,3852,M,karltokoekambi,842931,EUR,716428800,M,17,17,False,23.0,18.0,1.0,1.0,5.0,7.0,13.0,16.0,1.0,,,90.0,35.0,7.7,6.0,0.3926,0.1624,0.0421093,4,,,2.0,5.0,5.0,2.0,3.0,3.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,2.0,,1.0,,,,2.0,,,,,1.0
10390043,away,Stade Rennais,Arnaud Kalimuendo,arnaud-kalimuendo,A. Kalimuendo,F,25,175,3552,M,,954061,EUR,1011484800,F,9,9,False,24.0,21.0,,,7.0,9.0,14.0,15.0,,,,78.0,35.0,7.0,7.0,0.8685,0.8439,0.0127081,2,,,2.0,8.0,4.0,1.0,4.0,2.0,,,1.0,1.0,,,2.0,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0
10390043,away,Stade Rennais,Birger Meling,birger-meling,B. Meling,D,24,172,241,M,,606530,EUR,787622400,D,25,25,True,28.0,26.0,,,13.0,13.0,13.0,15.0,3.0,,,85.0,45.0,7.0,6.0,0.0,0.0,0.261271,0,,,,3.0,2.0,,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,
10390043,away,Stade Rennais,Amine Gouiri,amine-gouiri,A. Gouiri,F,9,180,26883,M,amine_gouiri,859026,EUR,950659200,F,19,19,True,9.0,8.0,,,5.0,5.0,3.0,4.0,,,,19.0,13.0,6.5,2.0,0.0,0.0,0.00108316,0,,,2.0,3.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10390043,away,Stade Rennais,Hamari Traoré,hamari-traore,H. Traoré,D,14,175,4235,M,hamarintos27,362014,EUR,696470400,D,27,27,True,5.0,5.0,,,2.0,2.0,3.0,3.0,,,,12.0,8.0,6.7,,0.1136,0.0,0.078239,1,,,,2.0,1.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,
10390043,away,Stade Rennais,Baptiste Santamaria,baptiste-santamaria,B. Santamaria,M,22,183,473,M,,344751,EUR,794707200,M,8,8,True,6.0,4.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,,,12.0,12.0,6.3,4.0,0.0,0.0,0.00668572,0,,1.0,2.0,5.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
10390043,away,Stade Rennais,Ibrahim Salah,ibrahim-salah,I. Salah,F,21,185,2215,M,,1386639,EUR,999129600,F,34,34,True,8.0,6.0,1.0,,2.0,4.0,4.0,4.0,2.0,,,12.0,12.0,6.7,2.0,0.0,0.0,0.00245649,0,,,,3.0,3.0,2.0,2.0,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
10390043,away,Stade Rennais,Doğan Alemdar,dogan-alemdar,D. Alemdar,G,80,192,620,M,,947874,EUR,1035849600,G,1,1,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390043,away,Stade Rennais,Joe Rodon,rodon-joe,J. Rodon,D,6,193,1190,M,,828640,EUR,877478400,D,2,2,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390043,away,Stade Rennais,Lovro Majer,lovro-majer,L. Majer,M,10,179,4795,M,lovromajer,841947,EUR,884995200,M,21,21,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390043,away,Stade Rennais,Flavien Tait,flavien-tait,F. Tait,M,,175,102,M,,312388,EUR,728611200,M,20,20,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
