match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_aerialWon,stat_goalAssist,stat_bigChanceCreated,stat_wonTackle,stat_keyPass,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_clearanceOffLine
11392889,away,RC Lens,Brice Samba,brice-samba,B. Samba,G,30,186,2098,M,,164055,EUR,767232000,G,30,30,False,16.0,11.0,10.0,5.0,8.0,9.0,3.0,7.0,1.0,,,2.0,3.0,90.0,21.0,6.1,5.0,0.0,0.0,0.00025709,0,-1.7149,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,
11392889,away,RC Lens,Jonathan Gradit,jonathan-gradit,J. Gradit,D,24,180,273,M,,369650,EUR,722563200,D,24,24,False,17.0,9.0,2.0,,4.0,9.0,5.0,8.0,6.0,1.0,,,,90.0,25.0,6.0,9.0,0.0,0.0,0.00233926,0,,4.0,4.0,3.0,,1.0,,,2.0,2.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,
11392889,away,RC Lens,Kevin Danso,danso-kevin,K. Danso,D,4,190,3440,M,,794953,EUR,906163200,D,4,4,False,33.0,26.0,3.0,1.0,10.0,12.0,16.0,21.0,5.0,1.0,,,,90.0,43.0,7.3,8.0,0.0425,0.0,0.0147683,1,,,4.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,,2.0,,,,,1.0
11392889,away,RC Lens,Facundo Medina,facundo-medina,F. Medina,D,32,184,4462,M,,860307,EUR,927849600,D,14,14,False,35.0,31.0,4.0,2.0,22.0,23.0,10.0,13.0,11.0,1.0,,,,90.0,56.0,6.9,8.0,0.0,0.0,0.143122,0,,3.0,8.0,,1.0,2.0,,1.0,1.0,7.0,,1.0,,,,,,4.0,2.0,,,1.0,1.0,1.0,,,1.0,,,,,
11392889,away,RC Lens,Przemysław Frankowski,przemyslaw-frankowski,P. Frankowski,D,95,176,5767,M,przemek.franek_,286909,EUR,797644800,M,29,29,False,16.0,12.0,,,1.0,1.0,11.0,18.0,1.0,1.0,,,,45.0,34.0,7.0,9.0,0.046,0.0,0.0159739,2,,,3.0,,,,2.0,1.0,,2.0,,,,,1.0,,,1.0,,,,3.0,,,,,,,,,,
11392889,away,RC Lens,Salis Abdul Samed,abdul-samed-salis,S. A. Samed,M,99,180,2025,M,,993455,EUR,954028800,M,6,6,False,16.0,15.0,2.0,1.0,2.0,2.0,13.0,14.0,1.0,,,,,45.0,17.0,6.5,1.0,0.0,0.0,0.0103714,0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11392889,away,RC Lens,Andy Diouf,andy-diouf,A. Diouf,M,17,187,3993,M,,1048889,EUR,1053129600,M,18,18,False,38.0,31.0,,,15.0,17.0,16.0,22.0,8.0,3.0,,,,83.0,53.0,6.1,17.0,0.0763,0.0,0.0185721,2,,9.0,2.0,2.0,4.0,2.0,1.0,,1.0,2.0,,1.0,,,,,,2.0,,,,1.0,,,,1.0,,,,,,
11392889,away,RC Lens,Deiver Machado,deiver-machado,D. Machado,M,27,179,1117,M,,822110,EUR,746928000,M,3,3,False,21.0,17.0,,,7.0,8.0,10.0,15.0,3.0,4.0,,,,90.0,43.0,6.6,12.0,0.0209,0.1549,0.00610294,1,,6.0,5.0,,2.0,,,1.0,,3.0,2.0,4.0,,,,,,1.0,,,,2.0,,,,,,,1.0,,,
11392889,away,RC Lens,Adrien Thomasson,adrien-thomasson,A. Thomasson,M,28,177,523,M,,231946,EUR,755481600,F,28,28,False,25.0,19.0,1.0,,6.0,9.0,13.0,18.0,6.0,,,,,58.0,36.0,6.9,10.0,0.0836,0.0,0.0909373,2,,4.0,5.0,3.0,1.0,,2.0,1.0,,3.0,,,,,2.0,,,2.0,,,,2.0,,,,,,,,,,
11392889,away,RC Lens,Angelo Fulgini,angelo-fulgini,A. Fulgini,M,11,183,483,M,,787540,EUR,840499200,F,20,20,False,38.0,33.0,1.0,1.0,9.0,10.0,26.0,32.0,5.0,1.0,,,,74.0,56.0,7.0,12.0,0.05,0.0,0.15533,1,,4.0,6.0,1.0,1.0,2.0,1.0,,,3.0,2.0,,,1.0,,,,1.0,1.0,,,4.0,2.0,1.0,,,,,,,,
11392889,away,RC Lens,Florian Sotoca,florian-sotoca,F. Sotoca,F,7,187,757,M,,788921,EUR,656812800,F,7,7,False,40.0,31.0,1.0,1.0,8.0,11.0,23.0,31.0,6.0,,,,,90.0,48.0,7.1,13.0,0.0,0.0,0.052926,0,,3.0,4.0,,1.0,1.0,,,,,1.0,1.0,,1.0,2.0,1.0,,,4.0,,,2.0,,1.0,,,,,,,2.0,
11392889,away,RC Lens,Julien Le Cardinal,julien-le-cardinal,J. L. Cardinal,D,26,182,203,M,,1129751,EUR,870566400,D,26,26,True,18.0,14.0,1.0,,11.0,14.0,3.0,7.0,3.0,,,,,45.0,30.0,6.5,8.0,0.0,0.0,0.00084264,0,,4.0,6.0,3.0,,1.0,,,,4.0,,1.0,,,1.0,,,2.0,,,,3.0,,1.0,,,1.0,,,,,
11392889,away,RC Lens,Stijn Spierings,spierings-stijn,S. Spierings,M,6,189,224,M,,788977,EUR,826588800,M,5,5,True,21.0,19.0,1.0,,5.0,7.0,14.0,14.0,1.0,,,,,45.0,26.0,6.5,2.0,0.0,0.0,0.00730765,0,,3.0,1.0,,,,,,2.0,,1.0,3.0,,,,,,,,,,,,,,,1.0,,,,,
11392889,away,RC Lens,Elye Wahi,elye-wahi,E. Wahi,F,11,180,3162,M,e.wahi7,979315,EUR,1041465600,F,9,9,True,8.0,7.0,,,3.0,3.0,4.0,5.0,1.0,,,,,32.0,11.0,6.7,2.0,0.0964,0.8187,0.00145751,2,,5.0,,,1.0,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,2.0,,,
11392889,away,RC Lens,Morgan Guilavogui,morgan-guilavogui,M. Guilavogui,F,29,188,3076,M,MorganGuila,990743,EUR,889488000,F,27,27,True,5.0,5.0,,,1.0,1.0,4.0,5.0,,1.0,,,,16.0,11.0,7.3,3.0,0.0588,0.1167,0.00416994,1,,2.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,
11392889,away,RC Lens,David Pereira da Costa,david-pereira-da-costa,D. P. d. Costa,M,10,165,576,M,,1023091,EUR,978652800,M,10,10,True,11.0,9.0,1.0,1.0,4.0,6.0,6.0,6.0,2.0,1.0,,,,13.0,13.0,6.3,3.0,0.0,0.0,0.00508391,0,,2.0,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
11392889,away,RC Lens,Jean-Louis Leca,jean-louis-leca,J. Leca,G,,180,46,M,,39224,EUR,496108800,G,16,16,True,,,,,,,,,,,,,,,,,,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392889,away,RC Lens,Massadio Haïdara,massadio-haidara,M. Haïdara,D,21,179,600,M,,143344,EUR,723254400,D,21,21,True,,,,,,,,,,,,,,,,,,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392889,away,RC Lens,Abdukodir Khusanov,abdukodir-khusanov,A. Khusanov,D,45,186,85407,M,abdukodir_khusanov,1194333,EUR,1078012800,D,25,25,True,,,,,,,,,,,,,,,,,,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392889,away,RC Lens,Ayanda Sishuba,sishuba-ayanda,A. Sishuba,M,28,169,460,M,,1514294,EUR,1107302400,M,32,32,True,,,,,,,,,,,,,,,,,,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
