match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,captain,stat_hitWoodwork,stat_totalOffside,stat_goodHighClaim,stat_errorLeadToAShot
14131917,away,Rio Ave,Jonathan Panzo,jonathan-panzo,J. Panzo,D,37,186,230,M,867438,EUR,971568000,D,4,4,False,57.0,51.0,4.0,2.0,0.0,46.0,49.0,5.0,8.0,10.0,4.0,,,,,,90.0,83.0,7.4,10.0,0.00178886,,0,,-0.01,0.07,0.5,,5.0,6.0,,1.0,,,,,1.0,3.0,1.0,2.0,1.0,2.0,,,1.0,,2.0,2.0,2.0,,,1.0,,,,,,,,,
14131917,away,Rio Ave,Marios Vrousai,marios-vrousai,M. Vrousai,D,17,183,243,M,848521,EUR,899337600,M,17,17,False,26.0,18.0,3.0,,0.0,15.0,16.0,3.0,10.0,4.0,4.0,,,,,,90.0,54.0,7.0,15.0,0.00304494,,0,,-0.05,0.04,0.37,,6.0,8.0,,,4.0,1.0,,,2.0,4.0,3.0,1.0,1.0,1.0,,,,,2.0,2.0,,,,1.0,,,,,True,,,,
14131917,away,Rio Ave,Andreas Ndoj,andreas-ndoj,A. Ndoj,D,5,190,426,M,1005992,EUR,1044144000,M,5,5,False,29.0,25.0,4.0,2.0,0.0,21.0,22.0,4.0,7.0,10.0,3.0,,,,,,90.0,54.0,7.6,4.0,0.00490309,,0,,0.04,-0.02,0.52,,1.0,7.0,1.0,,2.0,2.0,,,2.0,2.0,1.0,,3.0,,,,,,,,2.0,,,,,,,,,,,,
14131917,away,Rio Ave,Brandon Aguilera,brandon-aguilera,B. Aguilera,M,10,180,927,M,1020203,EUR,1056758400,M,10,10,False,21.0,17.0,6.0,4.0,0.0,12.0,12.0,5.0,9.0,2.0,5.0,,,,,,64.0,31.0,6.8,9.0,0.00751072,,0,,0.12,0.0,0.15,,2.0,2.0,1.0,,,,,,1.0,1.0,,3.0,,1.0,,,1.0,,,1.0,,,,2.0,,1.0,,,,,,,
14131917,away,Rio Ave,Omar Richards,omar-richards,O. Richards,D,77,174,528,M,892483,EUR,887500800,M,77,77,False,11.0,9.0,2.0,,0.0,8.0,9.0,1.0,2.0,1.0,1.0,,,,,,64.0,23.0,6.8,3.0,0.00013674,,0,,-0.01,-0.2,0.35,,3.0,2.0,,,1.0,,,,2.0,,,,2.0,,,,,,2.0,,1.0,,,,,,,,,,,,
14131917,away,Rio Ave,André Luiz,andre-luiz,André Luiz,M,17,185,1296,M,1133282,EUR,1014422400,F,11,11,False,17.0,13.0,,,0.0,5.0,6.0,8.0,11.0,1.0,3.0,,,,,,90.0,54.0,7.0,16.0,0.0214126,,4,,-0.21,0.52,0.13,,10.0,9.0,1.0,1.0,7.0,2.0,3.0,1.0,,3.0,,6.0,4.0,2.0,0.4581,0.8004,,-0.59,1.0,,2.0,André Luiz,,,,,,2.0,,,,,
14131917,away,Rio Ave,Clayton,clayton,Clayton,F,19,184,1602,M,1017023,EUR,916012800,F,9,9,False,8.0,6.0,,,0.0,3.0,4.0,3.0,4.0,3.0,3.0,,,,,,87.0,25.0,7.3,6.0,0.202524,,0,,0.11,0.1,0.2,,3.0,9.0,,1.0,,,,,,1.0,1.0,2.0,6.0,1.0,,,1.0,,1.0,2.0,,,,1.0,,1.0,,,,,,,
14131917,away,Rio Ave,Ole Pohlmann,ole-pohlmann,O. Pohlmann,M,80,184,239,M,930273,EUR,986428800,F,80,80,False,11.0,8.0,1.0,,0.0,8.0,10.0,,1.0,,,,,,,,59.0,21.0,5.9,10.0,6.76e-05,,0,,-0.1,0.08,-0.12,,6.0,1.0,,,4.0,1.0,,,,,,2.0,,1.0,,,,,2.0,,,,,2.0,,,,,,,,,1.0
14131917,away,Rio Ave,Dario Špikić,dario-spikic,D. Špikić,M,18,183,790,M,826024,EUR,922060800,F,18,18,True,10.0,7.0,1.0,,0.0,2.0,4.0,5.0,6.0,,3.0,,,,,,31.0,21.0,7.0,4.0,0.16034,,1,,0.25,0.21,0.15,,3.0,6.0,,,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0283,,1.0,-0.08,2.0,1.0,,,,,,,,,,,,,
14131917,away,Rio Ave,Georgios Liavas,georgios-liavas,G. Liavas,M,54,175,143,M,946909,EUR,981849600,M,54,54,True,16.0,11.0,4.0,1.0,0.0,10.0,12.0,1.0,4.0,,1.0,,,,,,31.0,19.0,6.4,6.0,0.00042713,,0,,-0.02,0.02,0.13,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
14131917,away,Rio Ave,Nikolaos Athanasiou,athanasiou-nikolaos,N. Athanasiou,D,3,177,212,M,1100204,EUR,984614400,D,3,3,True,15.0,8.0,7.0,2.0,0.0,5.0,7.0,3.0,8.0,1.0,2.0,,,,,,26.0,30.0,6.5,16.0,0.00184681,,0,,-0.14,0.01,0.14,,3.0,1.0,,,,,,,1.0,,,,,1.0,,,,,2.0,1.0,,,,7.0,,,,,,,,,
14131917,away,Rio Ave,Tamás Nikitscher,nikitscher-tamas,T. Nikitscher,M,44,193,971,M,1393242,EUR,941587200,M,44,44,True,8.0,5.0,,,0.0,4.0,5.0,1.0,3.0,2.0,4.0,,,,,,26.0,15.0,6.8,4.0,0.00024723,,0,,-0.03,0.08,0.27,,2.0,3.0,,1.0,,,,,2.0,,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,
14131917,away,Rio Ave,Marc Gual,marc-gual,M. Gual,F,28,184,483,M,860683,EUR,826675200,F,28,28,True,3.0,2.0,,,0.0,1.0,2.0,1.0,1.0,,,,,,,,16.0,6.0,6.5,3.0,0.00016482,,0,,-0.06,0.03,0.13,,2.0,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,
14131917,away,Rio Ave,Kevin Chamorro,kevin-chamorro,K. Chamorro,G,22,183,263,M,905406,EUR,955152000,G,22,22,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131917,away,Rio Ave,Nelson Abbey,nelson-abbey,N. Abbey,D,6,187,247,M,1064359,EUR,1062028800,D,6,6,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Nelson Abbey,,,,,,,,,,,
14131917,away,Rio Ave,Eric da Silva Moreira,eric-da-silva-moreira,E. d. S. Moreira,D,2,185,766,M,1418646,EUR,1146614400,F,2,2,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric da Silva Moreira,,,,,,,,,,,
14131917,away,Rio Ave,João Graça,joao-graca,J. Graça,M,21,177,46,M,309296,EUR,803433600,M,21,21,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
