match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_outfielderBlock,stat_aerialLost,stat_totalContest,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_wonContest,stat_penaltyConceded,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_goals,player_firstName,player_lastName,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_punches,stat_penaltyWon
12499652,home,Bayer 04 Leverkusen,Victor Okoh Boniface,victor-okoh-boniface,V. O. Boniface,F,22,193,28590,M,978521,EUR,977529600,F,22,22,False,,13.0,10.0,,,0.0,1.0,1.0,12.0,2.0,,,,70.0,25.0,7.0,9.0,0.157027,3,,boniface_jrn,9.0,,,,5.0,1.0,,2.0,1.0,,,,,,1.0,0.4734,,,2.0,1.0,1.0,1.0,,,,,2.0,,0.4645,1.0,,,1.0,,,
12499652,home,Bayer 04 Leverkusen,Martin Terrier,martin-terrier,M. Terrier,F,11,184,2099,M,846445,EUR,857433600,F,11,11,True,,6.0,6.0,,,0.0,1.0,1.0,5.0,,,,,30.0,10.0,6.7,2.0,0.020467,1,,,5.0,,,1.0,1.0,1.0,,,1.0,,,,,,,0.2617,,1.0,,1.0,,,,,,,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Piero Hincapié,piero-hincapie,P. Hincapié,D,5,184,31047,M,1002837,EUR,1010534400,D,3,3,True,,20.0,16.0,1.0,1.0,0.0,4.0,5.0,17.0,,,,,20.0,29.0,6.8,6.0,0.423532,1,,pierohincapie,12.0,2.0,,2.0,3.0,3.0,1.0,,1.0,,,,1.0,,,0.4001,,2.0,,,,1.0,,,,,,,,,,,1.0,,,
12499652,home,Bayer 04 Leverkusen,Aleix García,aleix-garcia,A. García,M,24,173,4597,M,796047,EUR,867456000,M,24,24,True,,23.0,22.0,2.0,2.0,0.0,7.0,7.0,21.0,2.0,,,,20.0,29.0,7.2,5.0,0.287433,0,,AlexGarcia97,16.0,5.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Patrik Schick,patrik-schick,P. Schick,F,14,191,10655,M,280609,EUR,822441600,F,14,14,True,,1.0,,,,0.0,,1.0,,,,,,20.0,3.0,6.5,1.0,,0,,p_shicky,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Amine Adli,amine-adli,A. Adli,F,21,174,17615,M,991478,EUR,957916800,F,21,21,True,,7.0,7.0,,,0.0,1.0,1.0,8.0,,,,,13.0,13.0,6.5,4.0,0.011784,0,,amine_ad10,6.0,2.0,,,2.0,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Matěj Kovář,matej-kovar,M. Kovář,G,32,196,2046,M,927366,EUR,958521600,G,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Nordi Mukiele,nordi-mukiele,N. Mukiele,D,20,185,6333,M,780014,EUR,878342400,D,23,23,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Jeanuël Belocian,jeanuel-belocian,J. Belocian,D,6,186,1268,M,1173172,EUR,1108598400,D,44,44,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499652,home,Bayer 04 Leverkusen,Nathan Tella,nathan-tella,N. Tella,M,23,173,3098,M,920379,EUR,931132800,M,19,19,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
