match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,player_gender,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_onTargetScoringAttempt,stat_challengeLost,stat_totalOffside,stat_keyPass,player_sofascoreId,stat_errorLeadToAShot,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_goalAssist
10382221,home,SC Heerenveen,Tibor Halilović,,,tibor-halilovic,T. Halilović,M,176,395,843167,EUR,795484800,M,10,10,True,,,,,,,,,,,,,,,,,,,0,7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382221,home,SC Heerenveen,Timo Zaal,,,timo-zaal,T. Zaal,M,184,36,1047394,EUR,1076284800,M,34,34,True,,,,,,,,,,,,,,,,,,,0,22,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382221,away,Feyenoord,Timon Wellenreuther,,,timon-wellenreuther,T. Wellenreuther,G,186,588,253875,EUR,817948800,G,22,22,False,26.0,22.0,7.0,3.0,20.0,20.0,2.0,6.0,,,,11.0,3.0,,90.0,39.0,6.7,4.0,0,22,M,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,3.0,
10382221,away,Feyenoord,Marcus Pedersen,,,marcus-pedersen,M. Pedersen,D,178,655,934409,EUR,963705600,D,2,2,False,37.0,32.0,2.0,1.0,20.0,22.0,12.0,17.0,1.0,6.0,7.0,5.0,,,90.0,64.0,7.0,11.0,0,16,M,2.0,,6.0,,4.0,1.0,,1.0,2.0,4.0,3.0,,,2.0,,,,1.0,,,,,,,,,,,
10382221,away,Feyenoord,Lutsharel Geertruida,,,lutsharel-geertruida,L. Geertruida,D,185,2489,856739,EUR,963878400,D,4,4,False,88.0,84.0,4.0,1.0,54.0,55.0,30.0,33.0,,3.0,4.0,4.0,,,90.0,100.0,7.5,5.0,2,6,M,,,5.0,,1.0,,,,,1.0,1.0,,2.0,,,4.0,1.0,,,,,,,1.0,,1.0,,,
10382221,away,Feyenoord,Dávid Hancko,,,david-hancko,D. Hancko,D,188,4795,807771,EUR,881971200,D,33,33,False,74.0,64.0,9.0,4.0,44.0,49.0,20.0,25.0,,1.0,1.0,2.0,,,90.0,81.0,7.1,11.0,2,17,M,,,4.0,1.0,,,2.0,,2.0,1.0,1.0,,,,,3.0,,,,1.0,,,1.0,,,,,,1.0
10382221,away,Feyenoord,Quilindschy Hartman,,,quilindschy-hartman,Q. Hartman,D,183,1253,1392044,EUR,1005696000,D,5,5,False,35.0,28.0,3.0,1.0,17.0,18.0,12.0,19.0,1.0,3.0,,3.0,,,90.0,53.0,7.2,10.0,2,3,M,2.0,1.0,4.0,1.0,1.0,,1.0,,4.0,2.0,,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,
10382221,away,Feyenoord,Mats Wieffer,,,mats-wieffer,M. Wieffer,M,188,2174,959628,EUR,942710400,M,20,20,False,59.0,45.0,4.0,,21.0,26.0,24.0,33.0,1.0,7.0,4.0,6.0,,,90.0,77.0,7.4,14.0,0,27,M,,,4.0,,,,,,1.0,5.0,2.0,,1.0,1.0,,1.0,,2.0,,1.0,,,,,,,,,1.0
10382221,away,Feyenoord,Orkun Kökçü,,,orkun-kokcu,O. Kökçü,M,175,13499,907461,EUR,978048000,M,10,10,False,68.0,58.0,2.0,1.0,24.0,25.0,37.0,47.0,,4.0,1.0,10.0,,,90.0,92.0,7.1,15.0,3,10,M,4.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,True,,,1.0,,2.0,orkunkokcu,,,2.0,,,,,
10382221,away,Feyenoord,Javairô Dilrosun,,,javairo-dilrosun,J. Dilrosun,F,175,728,803028,EUR,898473600,M,11,11,False,28.0,28.0,,,8.0,8.0,22.0,27.0,,1.0,,2.0,,,67.0,41.0,6.8,7.0,0,24,M,7.0,2.0,4.0,,2.0,1.0,,,,,,1.0,,1.0,,,,3.0,,3.0,,,,,,,,,
