match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_aerialWon,stat_totalClearance,stat_wonTackle,stat_wasFouled,stat_fouls,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,stat_challengeLost,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,stat_goals,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,player_lastName,stat_errorLeadToAGoal
14083197,home,Real Madrid,Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,191,192797,M,ARüdiger,142622,EUR,731116800,D,22,22,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,home,Real Madrid,Thiago Pitarch,pitarch-pinar-thiago,T. P. Pinar,M,8,179,10477,M,,2237795,EUR,1186099200,M,45,45,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,away,Mallorca,Leo Román,leo-roman,L. Román,G,1,189,1557,M,,1131909,EUR,962841600,G,1,1,False,39.0,18.0,30.0,9.0,0.0,12.0,16.0,6.0,23.0,7.0,2.0,5.0,90.0,48.0,6.8,21.0,0.00097007,0.3867,0,0.2538,0.04,0.0,-0.2,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,away,Mallorca,Mateu Morey,mateu-morey,M. Morey,D,2,171,594,M,,879543,EUR,951955200,D,2,2,False,22.0,17.0,4.0,2.0,0.0,5.0,7.0,12.0,15.0,3.0,,,78.0,37.0,6.0,8.0,0.0195304,,0,,0.15,0.07,-0.61,,2.0,1.0,4.0,3.0,,,,,,2.0,2.0,1.0,,,1.0,2.0,,,,,,,3.0,,,,,,,,,,,1.0
14083197,away,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187,757,M,,300522,EUR,818640000,D,24,24,False,26.0,17.0,7.0,,0.0,12.0,17.0,5.0,9.0,3.0,,,90.0,42.0,6.9,9.0,0.00167873,,1,,-0.05,0.07,0.38,,,1.0,3.0,6.0,1.0,1.0,,,,,4.0,,0.0254,-0.02,1.0,7.0,2.0,,2.0,,,,,,,1.0,0.0268,,,,,,,
14083197,away,Mallorca,Antonio Raíllo,antonio-raillo,A. Raíllo,D,21,186,793,M,,807116,EUR,686880000,D,21,21,False,28.0,22.0,5.0,1.0,0.0,13.0,17.0,9.0,11.0,1.0,,,90.0,44.0,7.0,7.0,0.00441092,,1,,0.05,0.02,0.52,,,,1.0,1.0,,,1.0,,4.0,,,1.0,0.0254,0.0,1.0,7.0,,,1.0,,,,,,True,,,,,,,,,
14083197,away,Mallorca,Marash Kumbulla,marash-kumbulla,M. Kumbulla,D,4,191,1585,M,,893642,EUR,949968000,D,4,4,False,55.0,44.0,12.0,6.0,0.0,32.0,37.0,12.0,18.0,3.0,,,90.0,62.0,6.4,11.0,0.00229738,,0,,0.08,0.01,-0.31,,,1.0,2.0,2.0,,,,,,,1.0,,,,1.0,4.0,,,,,,,1.0,,,,,,,,,1.0,,
14083197,away,Mallorca,Toni Lato,toni-lato,T. Lato,D,3,173,265,M,,828239,EUR,880070400,D,3,3,False,38.0,35.0,2.0,2.0,0.0,20.0,21.0,15.0,17.0,3.0,,,78.0,50.0,6.3,7.0,0.0116956,,0,,-0.11,0.06,-0.34,,2.0,1.0,2.0,3.0,,,,,,1.0,2.0,2.0,,,1.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,
14083197,away,Mallorca,Sergi Darder,sergi-darder,S. Darder,M,10,180,979,M,,110783,EUR,756518400,M,10,10,False,35.0,31.0,6.0,4.0,0.0,17.0,18.0,14.0,17.0,5.0,,,90.0,44.0,7.0,10.0,0.607327,,0,,0.37,0.17,-0.13,,6.0,,3.0,2.0,,,,,,,,,,,,,,2.0,1.0,1.0,,2.0,1.0,1.0,,,,,,1.0,,,,
14083197,away,Mallorca,Manu Morlanes,manu-morlanes,M. Morlanes,M,8,178,430,M,,826004,EUR,916099200,M,8,8,False,43.0,38.0,,,0.0,21.0,23.0,17.0,20.0,7.0,,,87.0,56.0,6.8,7.0,0.0156382,,1,,-0.01,0.2,-0.04,,,,1.0,5.0,1.0,1.0,1.0,,,1.0,2.0,,0.0559,-0.1,,1.0,,2.0,,,,,,1.0,,,,,,,,,,
