match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalCross,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_clearanceOffLine,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_totalOffside,captain,stat_errorLeadToAShot,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_bigChanceCreated
12530779,away,Göztepe,Mateusz Lis,mateusz-lis,M. Lis,G,1,192.0,577,M,798375,EUR,857001600,G,97,97,False,28.0,9.0,24.0,5.0,0.0,4.0,5.0,5.0,23.0,1.0,5.0,1.0,,2.0,3.0,90.0,34.0,6.1,19.0,0.00913218,0,-1.7985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
12530779,away,Göztepe,Malcom Bokele,malcom-bokele,M. Bokele,D,26,193.0,545,M,1122632,EUR,950313600,D,26,26,False,39.0,30.0,5.0,1.0,0.0,23.0,24.0,7.0,15.0,3.0,2.0,,,,,90.0,48.0,6.0,10.0,0.00170518,0,,,,,2.0,2.0,2.0,4.0,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,
12530779,away,Göztepe,Héliton,heliton,Héliton,D,5,196.0,324,M,922725,EUR,816220800,D,5,5,False,27.0,19.0,7.0,1.0,0.0,16.0,16.0,3.0,11.0,,10.0,,,,,90.0,42.0,6.5,10.0,0.00287923,2,,,,,3.0,,7.0,7.0,,,,1.0,3.0,,3.0,,,1.0,,,1.0,0.061,0.4513,1.0,,,,,,,,,,
12530779,away,Göztepe,Koray Günter,koray-gunter,K. Günter,D,22,185.0,219,M,138165,EUR,776995200,D,22,22,False,27.0,16.0,10.0,4.0,0.0,6.0,7.0,10.0,21.0,4.0,1.0,1.0,,,,90.0,40.0,6.2,14.0,0.00583329,1,,,,,3.0,3.0,4.0,2.0,1.0,,,1.0,,2.0,,1.0,,,,,,0.0097,,1.0,,,,,,,,,,
12530779,away,Göztepe,Lasse Nielsen,lasse-nielsen,L. Nielsen,D,4,185.0,71,M,21547,EUR,568598400,M,24,24,False,30.0,18.0,9.0,3.0,0.0,7.0,11.0,11.0,19.0,4.0,6.0,1.0,,,,86.0,53.0,6.4,15.0,0.0152034,2,,,,,3.0,2.0,7.0,2.0,1.0,1.0,,,,1.0,3.0,,,,,,1.0,0.0385,,,,,1.0,2.0,,,,,,
12530779,away,Göztepe,Anthony Junior Dennis,dennis-anthony-junior,A. J. Dennis,M,30,180.0,461,M,1484438,EUR,1087776000,M,16,16,False,16.0,12.0,2.0,1.0,0.0,4.0,5.0,8.0,12.0,7.0,5.0,2.0,,,,79.0,34.0,6.6,10.0,0.0142475,1,,,,,1.0,,7.0,,3.0,2.0,,2.0,,1.0,4.0,1.0,2.0,,,,1.0,0.0165,,,,,3.0,1.0,,,,,,
12530779,away,Göztepe,Novatus Miroshi,novatus-miroshi,N. Miroshi,M,20,185.0,3867,M,1103597,EUR,1030924800,M,20,20,False,44.0,34.0,3.0,2.0,0.0,13.0,19.0,21.0,25.0,9.0,1.0,3.0,,,,90.0,63.0,7.0,12.0,0.0594729,2,,,,novatus_40,1.0,2.0,6.0,3.0,4.0,3.0,,,,1.0,4.0,,,2.0,1.0,,1.0,0.6237,1.4781,,1.0,,1.0,,,,,1.0,,
12530779,away,Göztepe,Djalma,djalma-silva,Djalma,M,,180.0,97,M,973933,EUR,779932800,M,66,66,False,26.0,15.0,10.0,3.0,0.0,4.0,7.0,11.0,22.0,3.0,4.0,,,,,86.0,57.0,6.1,30.0,0.00845174,1,,,,,1.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,,2.0,,3.0,,1.0,,,2.0,0.291,,,,,,,,,,,1.0,
12530779,away,Göztepe,David Tijanič,david-tijanic,D. Tijanič,F,43,174.0,389,M,827369,EUR,869011200,F,43,43,False,24.0,21.0,,,0.0,9.0,9.0,13.0,17.0,2.0,3.0,2.0,,,,79.0,38.0,6.6,8.0,0.0308799,2,,,,,,,4.0,,,,1.0,1.0,,,2.0,2.0,,1.0,,,3.0,0.331,0.2425,,2.0,1.0,,1.0,,,,,1.0,
12530779,away,Göztepe,Rômulo,romulo,Rômulo,F,40,193.0,3722,M,1133743,EUR,1013126400,F,79,79,False,21.0,15.0,1.0,,2.0,3.0,3.0,12.0,19.0,4.0,3.0,1.0,,,,90.0,33.0,7.6,15.0,0.136475,1,,Rômulo,,,5.0,3.0,8.0,,,,,2.0,,,1.0,1.0,,,,,5.0,0.0469,,,4.0,,,1.0,3.0,,,,,1.0
12530779,away,Göztepe,Juan Santos da Silva,juan,Juan,F,9,176.0,1031,M,1009928,EUR,1015459200,F,11,11,False,7.0,5.0,,,0.0,1.0,2.0,4.0,5.0,2.0,2.0,,,,,77.0,23.0,7.1,9.0,0.159992,2,,,,,7.0,1.0,14.0,2.0,,,,2.0,,1.0,4.0,,1.0,1.0,1.0,,4.0,0.1182,0.5242,,2.0,,2.0,1.0,4.0,,,,,1.0
12530779,away,Göztepe,Emersonn,emersonn,Emersonn,F,20,186.0,559,M,1128844,EUR,1089936000,F,19,19,True,3.0,2.0,1.0,1.0,0.0,,,2.0,4.0,2.0,,,,,,13.0,6.0,6.7,3.0,0.00199279,0,,Emersonn,,,1.0,1.0,2.0,,,,,1.0,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,
12530779,away,Göztepe,Kuryu Matsuki,kuryu-matsuki,K. Matsuki,M,27,178.0,1417,M,1154637,EUR,1051660800,M,7,7,True,2.0,,,,0.0,,,,2.0,1.0,,1.0,,,,11.0,5.0,6.6,3.0,,0,,Kuryu Matsuki,,,1.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,
12530779,away,Göztepe,Ahmed Ildız,ahmed-ildiz,A. Ildız,M,66,181.0,50,M,849329,EUR,849139200,M,8,8,True,8.0,8.0,1.0,1.0,0.0,5.0,5.0,5.0,7.0,1.0,1.0,1.0,,,,11.0,16.0,7.0,2.0,0.0513656,1,,,,,1.0,,1.0,,,,,,,,1.0,4.0,,,,,,0.0373,,,1.0,2.0,,1.0,,,,,,
12530779,away,Göztepe,İsmail Köybaşı,ismail-koybasi,İ. Köybaşı,M,12,177.0,93,M,43605,EUR,616032000,D,12,12,True,3.0,2.0,1.0,,0.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,,,,10.0,9.0,7.0,1.0,0.0022705,0,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12530779,away,Göztepe,Nazım Sangaré,nazim-sangare,N. Sangaré,M,30,180.0,168,M,169425,EUR,770256000,D,30,30,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,10.0,3.0,6.3,1.0,0.00241982,0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
12530779,away,Göztepe,Arda Özçimen,arda-ozcimen,A. Özçimen,G,1,202.0,62,M,964196,EUR,1010448000,G,1,1,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530779,away,Göztepe,Emircan Secgin,emircan-secgin,E. Secgin,G,,192.0,20,M,997159,EUR,1017792000,G,54,54,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530779,away,Göztepe,İzzet Furkan Malak,malak-izzet-furkan,İ. F. Malak,M,18,,56,M,1397819,EUR,1105660800,M,18,18,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530779,away,Göztepe,Ogün Bayrak,ogun-bayrak,O. Bayrak,M,77,175.0,45,M,903999,EUR,907977600,D,77,77,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530779,away,Göztepe,Tibet Durakcay,tibet-durakcay,T. Durakcay,F,33,,15,M,2023967,EUR,1138752000,F,33,33,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
