match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_wasFouled,stat_unsuccessfulTouch,captain,stat_keyPass,stat_totalCross,stat_goals,stat_accurateCross,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_totalOffside
12504635,home,Juventus,Dušan Vlahović,,,dusan-vlahovic,D. Vlahović,F,9,190,43057,M,DV9,832208,EUR,949017600,F,9,9,False,18.0,11.0,,,0.0,7.0,9.0,4.0,10.0,6.0,7.0,,1.0,,,,,,82.0,34.0,6.5,13.0,0.0146796,4,,8.0,11.0,,,1.0,1.0,3.0,1.0,,,0.3526,0.3131,1.0,1.0,,,1.0,3.0,,,1.0,,,1.0,,,
12504635,home,Juventus,Andrea Cambiaso,,,cambiaso-andrea,A. Cambiaso,D,27,181,7318,M,andrea_cambiaso,917048,EUR,951004800,D,27,27,True,12.0,11.0,,,0.0,8.0,9.0,3.0,3.0,,2.0,,,,,,,,28.0,19.0,5.8,3.0,0.0212943,0,,,1.0,2.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,
12504635,home,Juventus,Kenan Yıldız,Kenan Yıldız,,yildiz-kenan,K. Yıldız,M,10,187,82614,M,KenanYıldız,1149011,EUR,1115164800,F,10,10,True,12.0,9.0,,,0.0,3.0,3.0,6.0,10.0,,1.0,1.0,3.0,,,,,,27.0,17.0,6.8,4.0,0.126135,1,,1.0,1.0,,,,,,,1.0,,0.0443,,,,,,1.0,,,2.0,1.0,,,,,,
12504635,home,Juventus,Nicolás González,,,nicolas-gonzalez,N. González,M,23,180,17229,M,nicoigonzalez,901325,EUR,891820800,F,11,11,True,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,,,,,,,,8.0,5.0,6.7,1.0,4.856e-05,1,,1.0,1.0,,,1.0,,1.0,,,,0.1209,,,,,,1.0,1.0,,,,,,,,,
12504635,home,Juventus,Nicolò Fagioli,,,nicolo-fagioli,N. Fagioli,M,44,178,4280,M,nicolofagioli,901850,EUR,981936000,M,21,21,True,8.0,8.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,,,,,,,,,,1.0,8.0,,,0.00072016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,home,Juventus,Douglas Luiz,,,douglas-luiz,D. Luiz,M,21,175,11801,M,Douglas_Luiz,867887,EUR,894672000,M,26,26,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,,,,,,,,1.0,3.0,,,0.0159254,0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
12504635,home,Juventus,Carlo Pinsoglio,,,carlo-pinsoglio,C. Pinsoglio,G,23,194,2090,M,,46420,EUR,637545600,G,23,23,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,home,Juventus,Mattia Perin,,,mattia-perin,M. Perin,G,1,188,3256,M,,79645,EUR,721353600,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,home,Juventus,Danilo,,,danilo,Danilo,D,13,184,15175,M,Danilo,124992,EUR,679536000,D,6,6,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,home,Juventus,Vasilije Adžić,Vasilije,Adžić,vasilije-adzic,V. Adžić,M,17,187,5124,M,,1149288,EUR,1147392000,M,17,17,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,away,Fiorentina,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23723,M,d_degea,69378,EUR,657936000,G,43,43,False,27.0,18.0,15.0,6.0,0.0,13.0,15.0,5.0,12.0,,,1.0,2.0,3.0,3.0,1.0,,,90.0,33.0,6.7,9.0,0.00137161,0,0.0129,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,away,Fiorentina,Dodô,,,dodo,Dodô,D,2,166,3348,M,,822518,EUR,911260800,D,2,2,False,34.0,24.0,4.0,1.0,0.0,7.0,11.0,17.0,25.0,2.0,7.0,3.0,4.0,,,,,,90.0,64.0,6.7,17.0,0.0173731,1,,,5.0,2.0,,2.0,2.0,,1.0,,3.0,0.0209,0.034,,3.0,2.0,,1.0,3.0,,1.0,2.0,,,,,,
12504635,away,Fiorentina,Pietro Comuzzo,Pietro Comuzzo,,comuzzo-pietro,P. Comuzzo,D,15,185,1322,M,,1210848,EUR,1108857600,D,15,15,False,43.0,32.0,5.0,4.0,0.0,21.0,30.0,11.0,13.0,10.0,12.0,9.0,3.0,,,,,,90.0,61.0,7.2,11.0,0.00946096,0,,6.0,8.0,2.0,,2.0,,,,,1.0,,,,,,2.0,1.0,,,,,,,,,,
12504635,away,Fiorentina,Luca Ranieri,,,luca-ranieri,L. Ranieri,D,6,187,1115,M,,893998,EUR,924825600,D,6,6,False,33.0,27.0,6.0,1.0,0.0,19.0,20.0,8.0,13.0,2.0,4.0,7.0,2.0,,,,,,90.0,44.0,6.6,6.0,0.00545696,0,,3.0,3.0,2.0,2.0,,,,,,1.0,,,,,,,,,True,,,,,,,,
12504635,away,Fiorentina,Fabiano Parisi,,,fabiano-parisi,F. Parisi,D,65,178,788,M,,972886,EUR,973728000,D,65,65,False,20.0,13.0,2.0,1.0,0.0,7.0,11.0,6.0,9.0,1.0,6.0,2.0,5.0,,,,,,75.0,39.0,6.4,12.0,0.00311771,0,,,6.0,3.0,2.0,2.0,2.0,,,,1.0,,,,2.0,,1.0,2.0,3.0,,,,,,,,,
12504635,away,Fiorentina,Danilo Cataldi,,,danilo-cataldi,D. Cataldi,M,32,180,952,M,,317301,EUR,776131200,M,32,32,False,31.0,24.0,6.0,3.0,0.0,11.0,13.0,13.0,18.0,,1.0,3.0,3.0,,,,,,65.0,41.0,6.8,8.0,0.0147814,0,,,1.0,,,1.0,,,,,3.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,,
12504635,away,Fiorentina,Yacine Adli,,,yacine-adli,Y. Adli,M,29,187,3790,M,adliyacine,859024,EUR,964828800,M,29,29,False,37.0,33.0,3.0,2.0,1.0,11.0,13.0,23.0,25.0,,3.0,1.0,5.0,,,,,,75.0,47.0,7.0,6.0,0.338358,1,,3.0,7.0,2.0,2.0,,2.0,1.0,,,,0.0155,,1.0,2.0,1.0,,,,,1.0,1.0,,1.0,,,1.0,
12504635,away,Fiorentina,Andrea Colpani,,,colpani-andrea,A. Colpani,M,28,186,944,M,,928122,EUR,926380800,M,23,23,False,14.0,11.0,1.0,,0.0,3.0,4.0,8.0,12.0,,4.0,1.0,2.0,,,,,,75.0,27.0,6.3,8.0,0.00503715,1,,1.0,6.0,2.0,2.0,1.0,1.0,,,1.0,,0.0178,,2.0,1.0,,,2.0,,,,2.0,,,,,,
12504635,away,Fiorentina,Albert Guðmundsson,,,albert-gudmundsson,A. Guðmundsson,F,10,178,3691,M,,804909,EUR,866332800,M,10,10,False,15.0,14.0,3.0,3.0,0.0,3.0,3.0,11.0,13.0,,2.0,2.0,1.0,,,,,,59.0,24.0,6.5,4.0,0.0125072,1,,1.0,3.0,2.0,,,1.0,,,1.0,,0.0411,,1.0,,,,,1.0,,,1.0,,,,,,
12504635,away,Fiorentina,Riccardo Sottil,,,riccardo-sottil,R. Sottil,M,23,180,1381,M,,893640,EUR,928368000,M,7,7,False,15.0,11.0,1.0,,0.0,3.0,5.0,8.0,10.0,1.0,5.0,,3.0,,,,,,90.0,28.0,7.3,10.0,0.0122996,2,,,1.0,1.0,1.0,,,,1.0,1.0,,0.117,0.47,,2.0,1.0,,2.0,5.0,,1.0,,1.0,,,,,
12504635,away,Fiorentina,Moise Kean,,,moise-kean,M. Kean,F,20,183,15084,M,moise_kean,835601,EUR,951696000,F,20,20,False,8.0,6.0,,,1.0,1.0,1.0,5.0,7.0,2.0,8.0,2.0,3.0,,,,,,90.0,30.0,8.2,11.0,0.00128953,4,,,5.0,,,1.0,,2.0,2.0,,,0.7598,0.7972,3.0,4.0,3.0,,3.0,5.0,,1.0,,1.0,,,,,1.0
12504635,away,Fiorentina,Lucas Beltrán,,,lucas-beltran,L. Beltrán,M,15,177,3780,M,beltranlucass,962029,EUR,985824000,F,9,9,True,5.0,5.0,,,0.0,1.0,1.0,5.0,5.0,,3.0,,1.0,,,,,,31.0,12.0,6.5,2.0,0.153445,1,,1.0,5.0,2.0,1.0,,2.0,,,1.0,,0.0313,,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,,
12504635,away,Fiorentina,Rolando Mandragora,,,rolando-mandragora,R. Mandragora,M,8,183,2103,M,,548178,EUR,867542400,M,8,8,True,16.0,14.0,2.0,1.0,0.0,4.0,4.0,10.0,12.0,1.0,2.0,1.0,2.0,,,,,,25.0,20.0,6.6,3.0,0.0207648,0,,1.0,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
12504635,away,Fiorentina,Robin Gosens,,,robin-gosens,R. Gosens,D,21,183,3165,M,,377118,EUR,773366400,D,21,21,True,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,15.0,8.0,6.5,1.0,0.00298287,0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12504635,away,Fiorentina,Amir Richardson,Amir Richardson,,amir-richardson,A. Richardson,M,25,195,11630,M,ami2r,1121333,EUR,1011830400,M,24,24,True,7.0,6.0,,,0.0,2.0,3.0,4.0,4.0,,,,,,,,,,15.0,8.0,6.7,2.0,0.0365202,0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,
12504635,away,Fiorentina,Jonathan Ikoné,,,jonathan-ikone,J. Ikoné,M,93,180,1415,M,,802142,EUR,894067200,M,11,11,True,7.0,4.0,,,0.0,,1.0,4.0,6.0,,,,2.0,,,,,,15.0,9.0,6.8,3.0,0.00909178,0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
12504635,away,Fiorentina,Pietro Terracciano,,,pietro-terracciano,P. Terracciano,G,1,193,1591,M,,136856,EUR,636854400,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,away,Fiorentina,Tommaso Martinelli,,,martinelli-tommaso,T. Martinelli,G,50,194,712,M,,1397756,EUR,1136505600,G,30,30,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,away,Fiorentina,Marin Pongračić,,,marin-pongracic,M. Pongračić,D,5,193,2505,M,,847467,EUR,873936000,D,5,5,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,away,Fiorentina,Michael Kayode,,,michael-kayode,M. Kayode,D,33,179,2419,M,,1137431,EUR,1089417600,D,33,33,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,away,Fiorentina,Matias Moreno,Matias Moreno,,matias-moreno,M. Moreno,D,2,195,1092,M,,1496360,EUR,1064361600,D,22,22,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,away,Fiorentina,Lucas Martínez Quarta,,,lucas-martinez-quarta,L. M. Quarta,D,28,183,3115,M,chinomartinezquarta96,795297,EUR,831686400,D,28,28,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504635,away,Fiorentina,Christian Kouamé,,,christian-kouame,C. Kouamé,F,31,185,2375,M,christianmichael.11,812946,EUR,881366400,F,99,99,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
