match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_keyPass,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside
12476426,away,Bristol Rovers,Connor Taylor,connor-taylor,C. Taylor,D,26,183.0,46,M,1014463,EUR,1003968000,D,17,17,False,,33.0,27.0,6.0,3.0,0.0,19.0,19.0,8.0,14.0,3.0,,,,90.0,42.0,6.6,6.0,1,,4.0,,4.0,,,,,3.0,2.0,,,,,,,,,,1.0,,,,,,,,1.0
12476426,away,Bristol Rovers,Michael Forbes,forbes-michael,M. Forbes,D,18,188.0,52,M,1089576,EUR,1083196800,D,25,25,False,,48.0,39.0,10.0,5.0,0.0,21.0,25.0,18.0,24.0,3.0,,,,90.0,63.0,6.8,13.0,0,1.0,,1.0,3.0,,,,,2.0,2.0,2.0,,3.0,1.0,,Michael Forbes,,,,,,2.0,1.0,,,,,
12476426,away,Bristol Rovers,Clinton Mola,clinton-mola,C. Mola,D,6,183.0,92,M,972561,EUR,984614400,D,6,6,False,,23.0,18.0,5.0,2.0,0.0,7.0,7.0,11.0,16.0,7.0,,,,61.0,50.0,7.1,14.0,0,1.0,2.0,5.0,9.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,
12476426,away,Bristol Rovers,Jake Garrett,jake-garrett,J. Garrett,M,34,188.0,40,M,1014507,EUR,1047254400,M,14,14,False,,42.0,37.0,3.0,2.0,0.0,20.0,22.0,17.0,20.0,4.0,,,,90.0,59.0,7.4,8.0,1,,,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,,3.0,,,,,,
12476426,away,Bristol Rovers,Luke Thomas,luke-thomas,L. Thomas,M,11,171.0,36,M,824623,EUR,919382400,M,11,11,False,,27.0,21.0,3.0,2.0,0.0,8.0,11.0,13.0,18.0,4.0,,,,90.0,36.0,7.0,10.0,0,,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,,3.0,,,
12476426,away,Bristol Rovers,Jamie Lindsay,jamie-lindsay,J. Lindsay,M,38,177.0,14,M,75705,EUR,813369600,M,29,29,False,,31.0,27.0,2.0,1.0,0.0,16.0,17.0,11.0,14.0,2.0,,,,77.0,37.0,6.8,4.0,2,,,2.0,,,,,,1.0,,,,,,2.0,,,,1.0,1.0,,1.0,,,,,,
12476426,away,Bristol Rovers,Luke McCormick,luke-mccormick,L. McCormick,M,8,180.0,49,M,901840,EUR,916876800,M,23,23,False,,14.0,11.0,1.0,1.0,0.0,5.0,5.0,7.0,10.0,4.0,,,,77.0,20.0,6.7,5.0,0,1.0,,1.0,2.0,,,,,1.0,,,,1.0,2.0,,,,,,,,,1.0,1.0,1.0,,,
12476426,away,Bristol Rovers,Scott Sinclair,scott-sinclair,S. Sinclair,M,,177.0,101,M,24055,EUR,606787200,M,7,7,False,True,21.0,18.0,1.0,1.0,0.0,8.0,8.0,10.0,13.0,5.0,,,,62.0,30.0,6.7,7.0,0,,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,
12476426,away,Bristol Rovers,Promise Omochere,promise-omochere,P. Omochere,F,9,187.0,81,M,958626,EUR,971827200,F,9,9,False,,11.0,9.0,,,0.0,2.0,2.0,7.0,9.0,3.0,,,,61.0,22.0,6.7,7.0,1,2.0,,4.0,1.0,,1.0,,,1.0,2.0,,,4.0,1.0,1.0,,,1.0,,,,,,,,,,2.0
12476426,away,Bristol Rovers,Bryant Akono Bilongo,bryant-akono-bilongo,B. A. Bilongo,D,29,180.0,40,M,1173140,EUR,1000512000,D,27,27,True,,11.0,6.0,,,0.0,1.0,1.0,5.0,10.0,,,,,29.0,19.0,6.3,6.0,0,1.0,2.0,3.0,3.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,
12476426,away,Bristol Rovers,Kofi Shaw,kofi-shaw,K. Shaw,M,37,,68,M,1511061,EUR,1165190400,M,37,37,True,,8.0,5.0,1.0,,0.0,2.0,3.0,3.0,6.0,2.0,,,,29.0,17.0,7.0,5.0,1,,,1.0,4.0,,,2.0,1.0,1.0,,1.0,1.0,,2.0,,,,,1.0,,,,1.0,,1.0,,,1.0
12476426,away,Bristol Rovers,Micah Anthony,micah-anthony,M. Anthony,F,,175.0,24,M,1899929,EUR,1080259200,M,21,21,True,,8.0,5.0,1.0,,0.0,2.0,2.0,3.0,9.0,2.0,,,,28.0,15.0,6.4,7.0,0,1.0,,3.0,2.0,,1.0,2.0,2.0,,,,,,,1.0,,,,,,,,3.0,,,,,
12476426,away,Bristol Rovers,Kamil Conteh,kamil-conteh,K. Conteh,M,22,177.0,65,M,1170160,EUR,1040860800,M,22,22,True,,11.0,9.0,1.0,,0.0,6.0,6.0,3.0,5.0,1.0,,,,13.0,15.0,6.6,2.0,0,,,1.0,2.0,1.0,,,,1.0,,2.0,1.0,,,,Kamil Conteh,,,,,,,,,,,,
12476426,away,Bristol Rovers,Ruel Sotiriou,ruel-sotiriou,R. Sotiriou,F,10,180.0,72,M,909822,EUR,967075200,F,10,10,True,,1.0,1.0,,,0.0,,,1.0,1.0,,,,,13.0,4.0,6.6,3.0,0,1.0,1.0,1.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,
12476426,away,Bristol Rovers,Matthew Hall,matthew-hall,M. Hall,G,24,195.0,12,M,1142319,EUR,1051142400,G,35,35,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Matthew Hall,,,,,,,,,,,,
12476426,away,Bristol Rovers,James Wilson,james-wilson,J. Wilson,D,5,188.0,16,M,19834,EUR,604454400,D,5,5,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12476426,away,Bristol Rovers,Taylor Moore,taylor-moore,T. Moore,D,4,184.0,21,M,548190,EUR,863395200,D,4,4,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12476426,away,Bristol Rovers,Isaac Hutchinson,isaac-hutchinson,I. Hutchinson,M,23,178.0,51,M,950340,EUR,955324800,M,19,19,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
