match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_hitWoodwork,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_wasFouled,captain,stat_unsuccessfulTouch,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_totalOffside
12441677,away,AFC Ajax,Steven Berghuis,,,steven-berghuis,S. Berghuis,F,23,182,1909,M,100386,EUR,693100800,F,23,23,False,37.0,30.0,4.0,3.0,0.0,5.0,5.0,25.0,40.0,,2.0,,3.0,,2.0,2.0,,,,,,,90.0,60.0,7.1,21.0,0.194653,2,,8.0,,,5.0,,,,,2.0,0.0559,1.0,,,,3.0,1.0,1.0,1.0,,0.0525,2.0,,,,,
12441677,away,AFC Ajax,Brian Brobbey,,,brobbey-brian,B. Brobbey,F,9,180,7090,M,910048,EUR,1012521600,F,9,9,False,13.0,9.0,,,0.0,5.0,6.0,4.0,7.0,,3.0,2.0,2.0,,,,,,,,,,74.0,29.0,6.3,9.0,0.0074112,2,,,,3.0,8.0,,1.0,1.0,,2.0,0.4301,,,2.0,,2.0,1.0,1.0,,,0.2452,3.0,1.0,,2.0,brianbrobbeyy,1.0
12441677,away,AFC Ajax,Mika Godts,Mika Godts,,mika-godts,M. Godts,F,11,176,3962,M,1149146,EUR,1118102400,F,11,11,False,21.0,17.0,,,0.0,6.0,6.0,11.0,15.0,,3.0,2.0,1.0,,,,,,,,,,59.0,35.0,6.9,10.0,0.117208,0,,,,,2.0,,,,,,,,,1.0,,4.0,1.0,,,,,3.0,2.0,,,,
12441677,away,AFC Ajax,Bertrand Traoré,,,bertrand-traore,B. Traoré,F,25,180,34487,M,218160,EUR,810345600,F,20,20,True,7.0,6.0,1.0,1.0,0.0,,1.0,7.0,7.0,1.0,2.0,,,,,,,,,,,,31.0,16.0,6.6,6.0,0.326942,1,,1.0,1.0,,3.0,,1.0,1.0,1.0,1.0,0.2121,2.0,,1.0,,2.0,2.0,,,,,,,1.0,,bertrandtraore10,
12441677,away,AFC Ajax,Wout Weghorst,,,wout-weghorst,W. Weghorst,F,25,197,6772,M,252215,EUR,713145600,F,25,25,True,3.0,1.0,,,0.0,,,1.0,4.0,2.0,2.0,,1.0,,,,,,,,,,31.0,7.0,6.7,4.0,0.00346944,1,,1.0,,1.0,1.0,,,1.0,,,0.0339,,,,,1.0,,1.0,,,0.1066,,,,,wout.weghorst,
12441677,away,AFC Ajax,Owen Wijndal,,,owen-wijndal,O. Wijndal,D,5,174,794,M,836673,EUR,943747200,D,5,5,True,9.0,8.0,,,0.0,,,8.0,11.0,,,,,,,,,,,,,,18.0,16.0,6.4,3.0,0.0159209,0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,away,AFC Ajax,Jorthy Mokio,,,jorthy-mokio,J. Mokio,M,24,182,3119,M,1563462,EUR,1204243200,D,31,31,True,8.0,6.0,,,0.0,1.0,1.0,5.0,7.0,,2.0,,2.0,,1.0,,,,,,,,17.0,16.0,6.2,6.0,0.0116466,0,,,,,3.0,,,,,,,1.0,,1.0,,1.0,3.0,,,,,,,,,,
12441677,away,AFC Ajax,Oliver Edvardsen,,,oliver-valaker-edvardsen,O. Edvardsen,M,17,175,591,M,878599,EUR,921801600,F,17,17,True,10.0,8.0,2.0,1.0,0.0,1.0,1.0,7.0,10.0,,,,,,,,,,,,,,16.0,11.0,7.1,3.0,0.283514,0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
12441677,away,AFC Ajax,Jay Gorter,,,jay-gorter,J. Gorter,G,1,190,472,M,981603,EUR,959644800,G,12,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,away,AFC Ajax,Remko Pasveer,,,remko-pasveer,R. Pasveer,G,22,186,801,M,2622,EUR,437097600,G,22,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,away,AFC Ajax,Dies Janse,Dies Janse,,janse-dies,D. Janse,D,4,196,640,M,1470010,EUR,1137456000,D,36,36,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,away,AFC Ajax,Daniele Rugani,,,daniele-rugani,D. Rugani,D,24,188,2109,M,139273,EUR,775440000,D,24,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,away,AFC Ajax,Lucas Rosa,,,lucas-rosa,L. Rosa,D,2,177,710,M,970860,EUR,954720000,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,away,AFC Ajax,Kian Fitz-Jim,,,kian-fitz-jim,K. Fitz-Jim,M,28,173,1158,M,1001945,EUR,1057363200,M,28,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,away,AFC Ajax,Christian Rasmussen,,,kjelder-rasmussen-christian,C. Rasmussen,F,10,184,576,M,996989,EUR,1042934400,F,29,29,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
