match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_dispossessed,stat_wonContest,stat_wasFouled,captain,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_penaltyWon,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_totalOffside,stat_bigChanceMissed,stat_shotOffTarget,stat_goals,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_outfielderBlock
14025237,away,Bournemouth,Marcos Senesi,,,marcos-senesi,M. Senesi,D,5,184,5596,M,,830659,EUR,863222400,D,5,5,False,45.0,34.0,10.0,4.0,0.0,24.0,27.0,10.0,18.0,4.0,,,90.0,74.0,6.0,15.0,0.00997436,132.58930726459,21.0,94.92,15.855,,1,,0.09,0.11,-0.03,,,,11.0,4.0,16.0,6.0,2.0,,,11.0,4.0,2.0,2.0,2.0,0.0199,,0.02,1.0,,,,,,1.0,,,,1.0,0.2835,,,,,,,,,,,3.0
14025237,away,Bournemouth,Adrien Truffert,,,truffert-adrien,A. Truffert,M,3,176,1506,M,,999028,EUR,1006214400,D,3,3,False,41.0,33.0,8.0,4.0,0.0,12.0,15.0,21.0,26.0,2.0,,,90.0,61.0,5.9,15.0,0.00947972,220.67079785614,17.0,166.215,41.475,,0,,-0.19,0.24,-0.45,,2.0,,3.0,1.0,5.0,2.0,,1.0,,3.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,92.462728185753,3.0,,,,,,,,,,,,,
14025237,away,Bournemouth,Alex Scott,Alex Scott,,alex-scott,A. Scott,M,8,178,2382,M,,1104986,EUR,1061424000,M,8,8,False,21.0,18.0,1.0,1.0,0.0,8.0,8.0,10.0,13.0,1.0,,,67.0,32.0,6.6,6.0,0.0291686,103.58129567055,15.0,-5.88,8.82,,1,,0.06,0.07,-0.04,,,,,,4.0,3.0,1.0,2.0,,2.0,,1.0,1.0,,0.0539,1.0,-0.25,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,
14025237,away,Bournemouth,Tyler Adams,,,tyler-adams,T. Adams,M,12,175,2918,M,,800419,EUR,918950400,M,12,12,False,42.0,36.0,5.0,1.0,0.0,19.0,19.0,17.0,23.0,6.0,,,90.0,61.0,6.7,7.0,0.00932,65.7181102031,14.0,-3.36,5.04,,1,,0.03,0.09,0.29,,,,4.0,1.0,6.0,6.0,,,,5.0,,5.0,2.0,1.0,0.0146,,-0.02,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0
14025237,away,Bournemouth,Marcus Tavernier,,,marcus-tavernier,M. Tavernier,M,16,178,1762,M,,895576,EUR,922060800,M,16,16,False,23.0,20.0,3.0,1.0,1.0,8.0,9.0,12.0,14.0,4.0,,,89.0,39.0,6.9,12.0,0.612505,133.16746293366,12.0,-34.65,19.215,,0,,0.51,-0.28,-0.15,,3.0,,2.0,,8.0,4.0,,1.0,,,1.0,4.0,1.0,2.0,,2.0,,3.0,,,True,1.0,,2.0,,19.218007831198,1.0,,,,,,,,,,,,,
14025237,away,Bournemouth,Justin Kluivert,,,justin-kluivert,J. Kluivert,M,19,171,6976,M,justinkluivert,851596,EUR,925862400,M,19,19,False,21.0,15.0,,,0.0,4.0,5.0,11.0,16.0,,,,76.0,38.0,6.1,15.0,0.21575,77.25170957946,11.0,42.105,12.495,,0,,-0.5,0.24,-0.09,,4.0,1.0,3.0,1.0,10.0,5.0,,2.0,,1.0,,2.0,,2.0,,1.0,,3.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,
14025237,away,Bournemouth,Antoine Semenyo,,,antoine-semenyo,A. Semenyo,M,42,185,84914,M,antoinesemenyo42,934354,EUR,947203200,M,24,24,False,25.0,18.0,1.0,1.0,0.0,6.0,8.0,12.0,17.0,3.0,,,90.0,44.0,6.8,16.0,0.0257054,135.21193483429,16.0,-55.44,5.04,,2,,0.08,0.24,-0.02,,1.0,,3.0,5.0,10.0,9.0,,3.0,,,,1.0,,5.0,0.1344,,0.18,4.0,3.0,,,,,3.0,,14.164621420991,1.0,1.0,0.3265,,1.0,,1.0,,,,,,,1.0
14025237,away,Bournemouth,Eli Junior Kroupi,,,eli-junior-kroupi,E. J. Kroupi,F,22,179,7447,M,,1426228,EUR,1151020800,F,22,22,False,20.0,12.0,1.0,,0.0,3.0,6.0,9.0,14.0,3.0,,,75.0,35.0,8.8,12.0,0.0132798,41.027865416226,8.0,-24.675,0.21,,2,,-0.07,-0.51,0.35,,,,1.0,,3.0,1.0,,1.0,,4.0,,,,,1.1766,,0.96,2.0,1.0,,,,,2.0,,,,2.0,1.2237,,1.0,,,2.0,,,,,,
14025237,away,Bournemouth,Ryan Christie,,,ryan-christie,R. Christie,M,10,178,1213,M,,322391,EUR,793411200,M,10,10,True,5.0,3.0,1.0,,0.0,2.0,3.0,1.0,2.0,2.0,,,23.0,15.0,6.7,5.0,0.00031542,51.640758405883,3.0,43.89,38.115,,1,,-0.03,0.09,-0.05,,1.0,,,,2.0,,,,,1.0,1.0,,,2.0,0.6315,,0.32,,,,,,,2.0,,40.678423875563,1.0,1.0,0.9764,,,,,1.0,,,,,,1.0
14025237,away,Bournemouth,James Hill,,,james-hill,J. Hill,D,23,184,554,M,,1156586,EUR,1010620800,D,23,23,True,6.0,2.0,2.0,1.0,0.0,2.0,4.0,,2.0,1.0,,,15.0,15.0,6.5,5.0,2.081e-05,11.094593458077,1.0,10.29,10.29,,0,,0.0,0.03,-0.12,,,,,1.0,,3.0,,,,3.0,3.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14025237,away,Bournemouth,Amine Adli,,,amine-adli,A. Adli,F,21,174,17519,M,amine_ad10,991478,EUR,957916800,F,21,21,True,5.0,1.0,,,0.0,1.0,2.0,,3.0,1.0,,,15.0,9.0,6.4,5.0,1.126e-05,15.529463126586,1.0,15.225,15.225,,0,,-0.25,0.11,-0.01,,,,2.0,1.0,3.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,15.529463126586,1.0,,,,,,,,,,,,,
14025237,away,Bournemouth,Ben Gannon-Doak,Ben Doak,,ben-doak,B. Doak,M,11,174,6791,M,bendoak._,1154861,EUR,1131667200,F,11,11,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,14.0,5.0,6.7,2.0,0.00561075,32.628668528742,2.0,30.66,25.2,,0,,0.02,0.09,0.13,,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,2.0,,25.385105869387,1.0,,,,,,,,,,,,,
14025237,away,Bournemouth,Lewis Cook,,,lewis-cook,L. Cook,M,4,175,895,M,,548188,EUR,854928000,M,4,4,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,10.0,5.0,6.6,,0.00042884,,,,,,0,,0.0,,0.15,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025237,away,Bournemouth,Will Dennis,,,will-dennis,W. Dennis,G,40,188,242,M,,991001,EUR,963187200,G,40,40,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025237,away,Bournemouth,Julián Araujo,,,julian-araujo,J. Araujo,D,22,175,4723,M,julian_araujo,978150,EUR,997660800,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025237,away,Bournemouth,Veljko Milosavljević,,,milosavljevic-veljko,V. Milosavljević,D,44,192,1769,M,,1406130,EUR,1182988800,D,44,44,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025237,away,Bournemouth,Adam Smith,,,adam-smith,A. Smith,D,15,180,494,M,,44566,EUR,672883200,D,15,15,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
