match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_blockedScoringAttempt,stat_wonTackle,stat_wasFouled,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_dispossessed,stat_keyPass,player_sofascoreId,stat_hitWoodwork,stat_punches,stat_lastManTackle,stat_errorLeadToAShot,stat_totalOffside
11067581,home,Red Bull Bragantino,Vitinho,vitinho,Vitinho,M,28,181,1064,M,982405,EUR,922924800,F,28,28,False,,32.0,23.0,1.0,,3.0,3.0,20.0,34.0,7.0,,,,,,90.0,61.0,7.0,23.0,0.1335,0.0,0.0397782,2,,5.0,1.0,1.0,8.0,6.0,2.0,2.0,3.0,2.0,1.0,,,2.0,1.0,,1.0,,1.0,2.0,,,,2.0,2.0,,,,,,
11067581,home,Red Bull Bragantino,Thiago Borbas,thiago-borbas,T. Borbas,F,17,186,801,M,1018547,EUR,1018137600,F,18,18,True,,6.0,2.0,1.0,,,,2.0,7.0,1.0,,,,,,31.0,12.0,6.5,8.0,0.0,0.0,0.0174329,0,,1.0,1.0,2.0,5.0,3.0,,,1.0,1.0,2.0,,,2.0,,,,,1.0,,,,,,1.0,,,,,,
11067581,home,Red Bull Bragantino,Bruno Goncalves De Jesus,goncalves-de-jesus-bruno,Bruninho,F,17,174,254,M,1868441,EUR,1047600000,F,17,17,True,,7.0,5.0,,,2.0,3.0,3.0,5.0,1.0,,,,,,31.0,13.0,6.6,4.0,0.0354,0.0,0.00543454,1,,1.0,,,2.0,3.0,1.0,,1.0,,,,,,,,,1.0,1.0,2.0,,,,1.0,,,,,,,
11067581,home,Red Bull Bragantino,Léo Ortiz,leo-ortiz,L. Ortiz,D,3,185,10970,M,869643,EUR,820627200,D,3,3,True,,10.0,7.0,1.0,,2.0,3.0,5.0,8.0,,,,,,,15.0,19.0,6.9,5.0,0.1811,0.0,0.00349206,2,,1.0,1.0,1.0,3.0,2.0,,1.0,1.0,,1.0,,,,1.0,,3.0,1.0,,,,,,1.0,,leortiz33,1.0,,,,
11067581,home,Red Bull Bragantino,Gustavo Neves,gustavo-neves,G. Neves,M,22,176,308,M,1463904,EUR,1082678400,F,22,22,True,,5.0,1.0,,,,1.0,1.0,4.0,1.0,,,,,,9.0,9.0,6.8,5.0,0.0,0.0,0.00032362,0,,,1.0,,2.0,2.0,,,,,,,,2.0,,,,,,,,2.0,,1.0,,,,,,,
11067581,home,Red Bull Bragantino,Maycon Cleiton,maycon-cleiton,Maycon Cleiton,G,26,191,86,M,1017233,EUR,910483200,G,12,12,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067581,home,Red Bull Bragantino,Cipriano,cipriano,Cipriano,D,5,195,124,M,1111123,EUR,1036800000,D,38,38,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,Cipriano,,,,,,,,,,,,,,,,,,,
11067581,home,Red Bull Bragantino,Guilherme Lopes,guilherme-lopes,G. Lopes,D,31,178,87,M,1097858,EUR,1013644800,D,31,31,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067581,home,Red Bull Bragantino,Luan Cândido,luan-candido,L. Cândido,D,36,187,716,M,905459,EUR,981072000,D,36,36,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067581,home,Red Bull Bragantino,Aderlan,aderlan,Aderlan,D,13,180,379,M,584432,EUR,650937600,D,13,13,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067581,home,Red Bull Bragantino,Talisson,talisson,Talisson,M,33,188,167,M,1463902,EUR,1021939200,F,21,21,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,Talisson,,,,,,,,,,,,,,,,,,,
11067581,home,Red Bull Bragantino,Marcelinho Braz,marcelinho-braz,M. Braz,M,57,176,56,M,1485603,EUR,1092614400,M,50,50,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,Marcelinho Braz,,,,,,,,,,,,,,,,,,,
11067581,home,Red Bull Bragantino,Yani Quintero,yani-quintero,Yani Quintero,M,13,182,72,M,1000298,EUR,1013904000,M,14,14,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067581,away,Internacional,Sergio Rochet,sergio-rochet,S. Rochet,G,1,190,2554,M,581060,EUR,732844800,G,33,33,False,,31.0,21.0,16.0,6.0,17.0,18.0,4.0,13.0,3.0,,1.0,4.0,1.0,1.0,90.0,39.0,7.8,10.0,0.0,0.0,0.00113826,0,0.4227,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,
11067581,away,Internacional,Fabricio Bustos,fabricio-bustos,F. Bustos,D,16,167,800,M,850023,EUR,830649600,D,16,16,False,,31.0,22.0,5.0,2.0,11.0,17.0,12.0,16.0,3.0,,,,,,90.0,60.0,7.0,14.0,0.0,0.0,0.0167655,0,,2.0,4.0,,6.0,3.0,1.0,,1.0,,1.0,,,2.0,4.0,1.0,1.0,,,,1.0,2.0,,,,,,,,,
11067581,away,Internacional,Gabriel Mercado,gabriel-mercado,G. Mercado,D,25,180,995,M,128376,EUR,543024000,D,25,25,False,,32.0,24.0,6.0,2.0,18.0,21.0,6.0,11.0,4.0,,,,,,90.0,49.0,7.3,10.0,0.0,0.0,0.00120107,0,,,3.0,1.0,7.0,5.0,1.0,,4.0,1.0,2.0,,,,4.0,2.0,2.0,,1.0,,,,,1.0,,,,,,,
11067581,away,Internacional,Nicolás Hernández,nicolas-hernandez,N. Hernández,D,22,180,256,M,887155,EUR,885081600,D,22,22,False,,33.0,25.0,7.0,2.0,22.0,25.0,3.0,8.0,6.0,,,,,,90.0,53.0,7.2,9.0,0.0,0.0,0.00541984,0,,,2.0,2.0,2.0,4.0,,,2.0,1.0,,,,,9.0,1.0,2.0,,2.0,,,,,,,,,,1.0,2.0,
