match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_outfielderBlock,stat_wasFouled,stat_aerialLost,stat_duelLost,stat_totalContest,stat_goals,stat_fouls,stat_totalCross,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_shotOffTarget,stat_penaltyWon,stat_keyPass,stat_wonContest,captain,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt,stat_lastManTackle,stat_penaltyConceded
12451031,away,RC Lens,Przemysław Frankowski,przemyslaw-frankowski,P. Frankowski,D,95,176.0,5767,M,przemek.franek_,286909,EUR,797644800,M,29,29,False,43.0,35.0,5.0,2.0,0.0,15.0,17.0,21.0,29.0,,5.0,,,,,78.0,55.0,6.6,12.0,0.0388957,0,,,1.0,,,,,,,,,,1.0,3.0,1.0,,1.0,3.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,
12451031,away,RC Lens,Adrien Thomasson,adrien-thomasson,A. Thomasson,M,28,177.0,523,M,,231946,EUR,755481600,M,28,28,False,57.0,51.0,1.0,1.0,1.0,28.0,29.0,23.0,31.0,,6.0,,,,,90.0,78.0,7.4,13.0,0.0953065,1,,1.0,12.0,,,4.0,0.0307,,,,,3.0,,5.0,1.0,,4.0,3.0,2.0,,7.0,4.0,,,,2.0,1.0,,,,,,,,,1.0,,
12451031,away,RC Lens,Andy Diouf,andy-diouf,A. Diouf,M,17,187.0,3993,M,,1048889,EUR,1053129600,M,18,18,False,30.0,24.0,1.0,1.0,0.0,11.0,14.0,13.0,16.0,2.0,2.0,,,,,85.0,51.0,7.9,12.0,0.087799,3,,,4.0,1.0,2.0,4.0,0.1979,0.1772,,,,,1.0,4.0,3.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,,,3.0,,,,,,,,,1.0,,
12451031,away,RC Lens,Jhoanner Chávez,jhoanner-chavez,Jhoanner Chávez,M,13,182.0,1070,M,,1002458,EUR,1019606400,M,13,13,False,48.0,37.0,3.0,1.0,0.0,22.0,27.0,16.0,26.0,,3.0,,,,,90.0,68.0,6.8,16.0,0.497917,2,,3.0,4.0,2.0,,1.0,0.1426,0.2201,,,,,,2.0,,,2.0,5.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,1.0
12451031,away,RC Lens,Angelo Fulgini,angelo-fulgini,A. Fulgini,M,11,183.0,483,M,,787540,EUR,840499200,F,11,11,False,34.0,29.0,6.0,3.0,0.0,12.0,13.0,17.0,22.0,,1.0,,,,,72.0,43.0,6.7,10.0,0.134314,0,,,2.0,,,1.0,,,,,,2.0,,4.0,,,2.0,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,
12451031,away,RC Lens,M'Bala Nzola,mbala-nzola,M. Nzola,F,8,185.0,2430,M,,788061,EUR,840326400,F,8,8,False,11.0,8.0,,,0.0,2.0,2.0,6.0,10.0,2.0,,,,,,90.0,28.0,7.2,9.0,0.0453388,4,,3.0,6.0,2.0,1.0,4.0,0.5165,0.8749,,,,2.0,3.0,6.0,1.0,1.0,3.0,1.0,,,1.0,,,2.0,,1.0,,,,,2.0,2.0,,,,,,
12451031,away,RC Lens,Wesley Saïd,wesley-said,W. Saïd,F,22,171.0,742,M,,227862,EUR,798249600,F,22,22,False,23.0,20.0,,,0.0,9.0,9.0,11.0,14.0,,1.0,,,,,72.0,27.0,6.6,5.0,0.14449,1,,,,,,,0.0775,,,,,,1.0,3.0,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,
12451031,away,RC Lens,Nampalys Mendy,nampalys-mendy,N. Mendy,M,23,168.0,5158,M,papy.mendy,123166,EUR,709257600,M,26,26,True,25.0,23.0,4.0,3.0,0.0,10.0,10.0,13.0,15.0,,2.0,,,,,18.0,29.0,7.0,3.0,0.0149882,0,,,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
12451031,away,RC Lens,Florian Sotoca,florian-sotoca,F. Sotoca,F,7,187.0,757,M,,788921,EUR,656812800,F,7,7,True,9.0,8.0,1.0,1.0,0.0,3.0,3.0,6.0,11.0,,,,,,,18.0,18.0,6.8,7.0,0.0333631,0,,,1.0,,,1.0,,,,,,,,1.0,,,1.0,5.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,
12451031,away,RC Lens,Ruben Aguilar,ruben-aguilar,R. Aguilar,M,2,172.0,407,M,,579576,EUR,735782400,D,2,2,True,16.0,13.0,,,0.0,4.0,4.0,9.0,12.0,,2.0,,,,,12.0,18.0,6.7,3.0,0.014376,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,away,RC Lens,David Pereira da Costa,david-pereira-da-costa,D. P. d. Costa,M,10,165.0,576,M,,1023091,EUR,978652800,M,10,10,True,8.0,7.0,,,0.0,1.0,1.0,8.0,9.0,,,,,,,10.0,10.0,6.7,1.0,0.13763,0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,2.0,,,,,,,,,
12451031,away,RC Lens,Denis Petrić,denis-petric,D. Petrić,G,,186.0,72,M,,20705,EUR,580435200,G,1,1,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,away,RC Lens,Adam Delplace,adam-delplace,A. Delplace,G,50,,68,M,,1545303,EUR,1157241600,G,50,50,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Adam Delplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,away,RC Lens,Tom Pouilly,tom-pouilly,T. Pouilly,D,2,180.0,77,M,,1387163,EUR,1055894400,M,34,34,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Tom Pouilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,away,RC Lens,Ismaelo Ganiou,ganiou-pierre,I. Ganiou,D,25,185.0,4755,M,,1408080,EUR,1110758400,D,37,37,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,away,RC Lens,Kyllian Antonio,kyllian-antonio,K. Antonio,D,32,183.0,243,M,,1546405,EUR,1199404800,D,33,33,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
