match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_outfielderBlock,stat_errorLeadToAShot,stat_clearanceOffLine
12764961,away,NK Olimpija Ljubljana,Ivan Durdov,,,ivan-durdov,I. Durdov,F,19,192.0,191,M,970515,EUR,963792000,F,19,19,False,16.0,9.0,1.0,1.0,0.0,5.0,7.0,9.0,4.0,,,89.0,30.0,6.7,12.0,0.0192199,0,,4.0,3.0,2.0,8.0,5.0,,,1.0,,,,3.0,,3.0,,1.0,,1.0,3.0,,1.0,,,,,,,,,,,,1.0,,
12764961,away,NK Olimpija Ljubljana,Ahmet Muhamedbegović,,,ahmet-muhamedbegovic,A. Muhamedbegović,D,17,186.0,79,M,863265,EUR,909705600,D,17,17,True,19.0,16.0,6.0,4.0,0.0,11.0,11.0,8.0,1.0,,,45.0,27.0,6.7,4.0,0.00330578,0,,5.0,,1.0,2.0,2.0,,,1.0,,,,3.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,
12764961,away,NK Olimpija Ljubljana,Jordi Govea,,,jordi-govea,J. Govea,D,33,175.0,73,M,902053,EUR,920937600,D,33,33,True,5.0,4.0,,,0.0,2.0,2.0,3.0,1.0,,,15.0,9.0,6.6,1.0,0.00060162,0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
12764961,away,NK Olimpija Ljubljana,Thalisson,Thalisson,,thalisson,Thalisson,M,88,183.0,60,M,1138175,EUR,920332800,M,88,88,True,3.0,2.0,1.0,,0.0,2.0,2.0,1.0,1.0,,,15.0,11.0,6.4,3.0,4.828e-05,0,,,1.0,,5.0,3.0,1.0,1.0,2.0,,,,1.0,2.0,2.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,
12764961,away,NK Olimpija Ljubljana,Álex Blanco,,,alex-blanco,Á. Blanco,M,11,175.0,62,M,807119,EUR,913766400,F,11,11,True,1.0,,,,0.0,,,1.0,,,,10.0,3.0,6.7,1.0,,1,,,,,1.0,,,,,,1.0,,,,,0.06,,,,,,,,1.0,,,,0.1191,,,,,,,,
12764961,away,NK Olimpija Ljubljana,Marko Ristić,Marko Ristic,,marko-ristic,M. Ristić,D,15,178.0,57,M,1398913,EUR,1099267200,D,15,15,True,4.0,2.0,,,0.0,1.0,1.0,3.0,,,,9.0,5.0,6.6,3.0,0.00031671,0,,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
12764961,away,NK Olimpija Ljubljana,Denis Pintol,,,pintol-denis,D. Pintol,G,12,188.0,55,M,997232,EUR,949881600,G,22,22,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764961,away,NK Olimpija Ljubljana,Gal Lubej Fink,,,lubej-fink-gal,G. L. Fink,G,,202.0,35,M,1036262,EUR,1019088000,G,36,36,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764961,away,NK Olimpija Ljubljana,Jorge Silva,Jorge,Silva,jorge-silva,J. Silva,D,7,183.0,110,M,790787,EUR,827452800,D,2,2,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764961,away,NK Olimpija Ljubljana,Mateo Acimovic,Mateo Acimovic,,mateo-acimovic,M. Acimovic,M,45,,96,M,1584944,EUR,1191542400,M,45,45,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764961,away,NK Olimpija Ljubljana,Agustín Doffo,,,agustin-doffo,A. Doffo,M,34,179.0,87,M,796118,EUR,801360000,M,34,34,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764961,away,NK Olimpija Ljubljana,Raul Florucz,,,raul-florucz,R. Florucz,F,30,182.0,962,M,1022491,EUR,992131200,F,10,10,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764961,away,NK Olimpija Ljubljana,Antonio Marin,,,antonio-marin,A. Marin,F,99,182.0,509,M,879722,EUR,978998400,F,99,99,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
