match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,captain,stat_shotOffTarget,stat_expectedGoals,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,player_sofascoreId,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_goals
12764302,home,FC Midtjylland,Denil Castillo,,,castillo-denil,D. Castillo,M,21,187,1350,M,1145126,EUR,1080086400,M,21,21,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764302,away,Eintracht Frankfurt,Kevin Trapp,,,kevin-trapp,K. Trapp,G,35,189,1779,M,38440,EUR,647395200,G,1,1,False,30.0,25.0,10.0,5.0,0.0,21.0,21.0,4.0,9.0,,8.0,1.0,2.0,,3.0,90.0,39.0,7.1,5.0,0.00086559,0,-0.3517,,,,,1.0,,,2.0,,,,,,,1.0,,,,,True,,,,,,,,,,,1.0,1.0,,
12764302,away,Eintracht Frankfurt,Nnamdi Collins,Nnamdi Collins,,nnamdi-collins,N. Collins,D,34,191,1319,M,1048569,EUR,1073692800,D,34,34,False,19.0,17.0,1.0,1.0,0.0,14.0,14.0,3.0,6.0,,,,,,,69.0,40.0,6.8,7.0,0.0055243,0,,1.0,,1.0,3.0,3.0,,,6.0,1.0,1.0,2.0,2.0,,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,
12764302,away,Eintracht Frankfurt,Tuta,,,tuta,Tuta,D,3,184,1084,M,964191,EUR,931046400,D,35,35,False,72.0,62.0,9.0,6.0,0.0,45.0,48.0,17.0,25.0,7.0,6.0,,,,,90.0,97.0,7.8,15.0,0.0110928,0,,1.0,,1.0,3.0,10.0,,,2.0,4.0,2.0,3.0,1.0,,,5.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,
12764302,away,Eintracht Frankfurt,Robin Koch,,,robin-koch,R. Koch,D,4,190,1834,M,581302,EUR,837561600,D,4,4,False,78.0,72.0,7.0,4.0,0.0,60.0,62.0,12.0,16.0,3.0,5.0,,,,,90.0,96.0,7.6,7.0,0.0051147,0,,,,1.0,1.0,8.0,1.0,1.0,7.0,2.0,1.0,,1.0,,,4.0,,1.0,,,,,,,,,,,,,,,,,
12764302,away,Eintracht Frankfurt,Arthur Theate,,,arthur-theate,A. Theate,D,3,186,2200,M,965778,EUR,959212800,D,3,3,False,62.0,56.0,3.0,1.0,0.0,43.0,44.0,13.0,19.0,1.0,8.0,,,,,90.0,83.0,7.4,7.0,0.0102233,2,,1.0,,1.0,3.0,9.0,,,7.0,4.0,3.0,,1.0,,,4.0,1.0,,,1.0,,2.0,0.0736,,,,,,,,,,,,
12764302,away,Eintracht Frankfurt,Farès Chaïbi,,,fares-chaibi,F. Chaïbi,M,8,183,17679,M,1192318,EUR,1038441600,M,8,8,False,48.0,41.0,5.0,3.0,0.0,19.0,19.0,24.0,33.0,,6.0,,,,,90.0,66.0,7.2,13.0,0.145578,0,,4.0,2.0,1.0,7.0,5.0,,,1.0,3.0,1.0,2.0,1.0,,3.0,1.0,3.0,,,1.0,,,,2.0,1.0,,,,fareschaibi28,,,,,,
12764302,away,Eintracht Frankfurt,Mahmoud Dahoud,,,mahmoud-dahoud,M. Dahoud,M,18,177,1899,M,341589,EUR,820454400,M,18,18,False,43.0,36.0,2.0,,0.0,16.0,17.0,20.0,26.0,,2.0,,,,,82.0,58.0,6.9,12.0,0.0595083,3,,,,,5.0,3.0,1.0,,2.0,2.0,,3.0,,,1.0,1.0,2.0,,,1.0,,1.0,0.1435,1.0,,2.0,0.5107,,,,,,,,
12764302,away,Eintracht Frankfurt,Hugo Larsson,Hugo Larsson,,hugo-larsson,H. Larsson,M,16,187,2771,M,1142211,EUR,1088294400,M,16,16,False,47.0,39.0,1.0,,0.0,21.0,25.0,18.0,22.0,2.0,6.0,,,,,90.0,62.0,7.6,11.0,0.0247357,2,,,,2.0,4.0,5.0,,,3.0,2.0,,3.0,,,1.0,3.0,2.0,,,,,,0.2833,,,2.0,0.3951,,,,,,,,1.0
12764302,away,Eintracht Frankfurt,Niels Nkounkou,,,nkounkou-niels,N. Nkounkou,D,25,184,549,M,941179,EUR,973036800,M,29,29,False,29.0,23.0,2.0,,0.0,17.0,18.0,6.0,13.0,2.0,3.0,,,,,86.0,50.0,6.6,10.0,0.0136712,2,,2.0,,1.0,4.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,0.126,1.0,,,,,,1.0,1.0,,,,
12764302,away,Eintracht Frankfurt,Hugo Ekitiké,Hugo Ekitiké,,hugo-ekitike,H. Ekitiké,F,22,190,97155,M,1048422,EUR,1024531200,F,11,11,False,28.0,19.0,,,0.0,6.0,7.0,13.0,21.0,1.0,2.0,,,,,82.0,42.0,6.7,14.0,0.319473,1,,,,2.0,6.0,5.0,6.0,2.0,,1.0,,1.0,,,1.0,2.0,,,,,,1.0,0.1453,,1.0,,,,hekitike,1.0,,,,,
12764302,away,Eintracht Frankfurt,Omar Marmoush,,,omar-marmoush,O. Marmoush,F,7,183,196101,M,873554,EUR,918345600,F,7,7,False,20.0,15.0,1.0,,1.0,1.0,2.0,15.0,23.0,1.0,4.0,,,,,69.0,48.0,7.7,20.0,0.28382,5,,5.0,1.0,,6.0,4.0,5.0,3.0,,1.0,,5.0,,,3.0,,1.0,,,,,1.0,1.3857,3.0,,1.0,0.8101,,OMarmoush,1.0,3.0,,,,1.0
12764302,away,Eintracht Frankfurt,Rasmus Kristensen,,,rasmus-kristensen,R. Kristensen,D,13,186,1612,M,921789,EUR,868579200,D,13,13,True,23.0,15.0,2.0,,0.0,6.0,8.0,9.0,17.0,1.0,2.0,,,,,21.0,38.0,6.9,11.0,0.0124343,0,,2.0,,1.0,2.0,4.0,,,3.0,2.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
