match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_unsuccessfulTouch,stat_wasFouled,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_totalCross,player_lastName,stat_challengeLost,player_sofascoreId,stat_penaltyWon,stat_shotOffTarget,stat_goals,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyFaced,stat_penaltyConceded,stat_hitWoodwork
13472812,away,São Paulo,Luciano,,luciano,Luciano,M,10,181,8486,M,282557,EUR,737683200,F,10,10,False,27.0,24.0,,,0.0,3.0,4.0,21.0,23.0,1.0,4.0,,1.0,,,,,,80.0,36.0,6.7,5.0,0.0409113,3,,,,,,1.0,1.0,1.0,,,,1.0,0.2699,1.0,2.0,2.0,1.0,,0.3141,,,,luciano10,,1.0,,,,1.0,,,
13472812,away,São Paulo,Gonzalo Tapia,,tapia-gonzalo,G. Tapia,F,14,178,4048,M,1002947,EUR,1014336000,F,14,14,False,19.0,15.0,2.0,,0.0,5.0,5.0,10.0,14.0,,3.0,,3.0,,,,,,67.0,28.0,6.8,8.0,0.0602935,2,,,2.0,5.0,,1.0,,,,2.0,2.0,2.0,0.1093,1.0,,1.0,,,,2.0,,,,,2.0,,,,,,,
13472812,away,São Paulo,Patryck,,patryck,Patryck,D,30,180,1405,M,1002528,EUR,1042848000,D,36,36,True,16.0,15.0,1.0,,0.0,5.0,6.0,10.0,10.0,,2.0,1.0,2.0,,,,,,77.0,34.0,6.2,6.0,0.0878044,1,,,,4.0,,2.0,1.0,,,,,1.0,0.0194,1.0,1.0,1.0,,,,4.0,,2.0,,,1.0,,2.0,,,,,
13472812,away,São Paulo,Lucas Moura,,lucas-moura,L. Moura,M,7,172,12542,M,149710,EUR,713664000,F,7,7,True,23.0,21.0,,,0.0,4.0,5.0,17.0,18.0,1.0,3.0,,2.0,,,,,,45.0,33.0,6.7,6.0,0.0461359,1,,,,5.0,2.0,1.0,,,1.0,1.0,,1.0,0.0424,1.0,1.0,1.0,,,,,,1.0,lucasmoura7,,1.0,,,,,,,
13472812,away,São Paulo,Ferreirinha,,ferreira,Ferreira,M,11,176,8644,M,998499,EUR,883526400,F,11,11,True,15.0,12.0,,,0.0,1.0,1.0,11.0,14.0,,1.0,,,,,,,,24.0,25.0,6.9,8.0,0.1092,2,,,,1.0,1.0,1.0,1.0,,,,,,0.2634,1.0,1.0,,,,,3.0,,,,,2.0,,,1.0,1.0,,,1.0
13472812,away,São Paulo,Luiz Gustavo,,luiz-gustavo,L. Gustavo,M,14,187,2128,M,29735,EUR,553996800,M,16,16,True,34.0,33.0,,,0.0,3.0,3.0,30.0,31.0,,1.0,,1.0,,,,,,23.0,40.0,6.7,3.0,0.037314,1,,,,4.0,1.0,,,,,1.0,,2.0,0.0205,,1.0,,,,,,,1.0,,,1.0,,,,,,,
13472812,away,São Paulo,Emiliano Rigoni,,emiliano-rigoni,Emiliano Rigoni,M,24,180,1525,M,257587,EUR,728784000,M,77,77,True,4.0,3.0,,,0.0,,,3.0,4.0,,,,1.0,,,,,,10.0,9.0,6.6,3.0,0.0795871,1,,,,1.0,,1.0,,1.0,,,,,0.0893,1.0,,,,,,1.0,,,,,,,,,,,,
13472812,away,São Paulo,Felipe Gabriel Preis,Felipe Gabriel Preis,felipe-gabriel-preis,F. G. Preis,G,52,187,290,M,1631898,EUR,1132358400,G,52,52,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472812,away,São Paulo,Young,Young,young,Young,G,50,201,1659,M,1116957,EUR,1015459200,G,50,50,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472812,away,São Paulo,Maik,Maik,maik,Maik,D,42,175,1422,M,2035326,EUR,1104710400,D,42,42,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Gomes Viegas,,,,,,,,,,,
13472812,away,São Paulo,Nahuel Ferraresi,,nahuel-ferraresi,N. Ferraresi,D,32,188,3355,M,881215,EUR,911433600,D,32,32,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472812,away,São Paulo,Felipe Negrucci,Felipe Negrucci,felipe-negrucci,F. Negrucci,M,43,180,1098,M,1485598,EUR,1084492800,M,43,43,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
