match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_aerialLost,stat_outfielderBlock,stat_fouls,player_sofascoreId,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_dispossessed,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_totalOffside,stat_goalAssist,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_bigChanceMissed,player_firstName,player_lastName,stat_bigChanceCreated,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross
10408321,home,Real Sociedad,Mohamed-Ali Cho,mohamed-ali-cho,M. Cho,F,25,182,1757,M,1063235,EUR,1074470400,F,11,11,False,22.0,14.0,5.0,1.0,4.0,6.0,10.0,18.0,8.0,,,75.0,42.0,6.3,21.0,0.1235,0.0,0.00834586,2,,,,6.0,2.0,3.0,,,1.0,1.0,,1.0,,,1.0,1.0,2.0,,7.0,,2.0,,,1.0,,,,,,,,,,,
10408321,home,Real Sociedad,Robert Navarro,robert-navarro,R. Navarro,M,23,178,940,M,944165,EUR,1018569600,M,17,17,True,3.0,3.0,,,,,3.0,5.0,3.0,,,15.0,10.0,6.7,5.0,0.0,0.0,0.63341,0,,,,2.0,1.0,3.0,,,,,,,,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,1.0,,,,
10408321,home,Real Sociedad,Andoni Gorosabel,andoni-gorosabel,A. Gorosabel,D,2,174,530,M,866810,EUR,839116800,D,18,18,True,4.0,3.0,1.0,,,,3.0,5.0,1.0,,,9.0,12.0,6.5,4.0,0.0,0.0,0.00250603,0,,,,2.0,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
10408321,home,Real Sociedad,Asier Illarramendi,asier-illarramendi,Illarramendi,M,5,179,350,M,113593,EUR,636595200,M,4,4,True,8.0,6.0,,,3.0,3.0,3.0,5.0,1.0,,,10.0,11.0,6.7,3.0,0.0,0.0,0.00130629,0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,Asier,Illarramendi,,,,,
10408321,home,Real Sociedad,Ander Martín,ander-martin,A. Martín,F,16,177,46,M,1134399,EUR,974332800,F,28,28,True,4.0,2.0,,,,,2.0,5.0,1.0,,,9.0,8.0,6.7,3.0,0.0,0.0,0.00173103,0,,,,2.0,2.0,,,,,1.0,,1.0,,,2.0,2.0,1.0,,,,,,,,,,,,Ander Martín,,,,,,
10408321,home,Real Sociedad,Mikel Oyarzabal,mikel-oyarzabal,M. Oyarzabal,F,10,181,11730,M,823622,EUR,861580800,F,10,10,True,4.0,2.0,,,,,2.0,4.0,,,,9.0,8.0,6.5,4.0,0.0,0.0,0.00286224,0,,,1.0,2.0,2.0,,,,1.0,,,,mikel10oyar,,,,,2.0,,,,,,,,,,,,,,,,,
10408321,home,Real Sociedad,Andoni Zubiaurre,andoni-zubiaurre,A. Zubiaurre,G,58,189,110,M,927768,EUR,849657600,G,13,13,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408321,home,Real Sociedad,Unai Marrero,unai-marrero,U. Marrero,G,13,187,278,M,1094782,EUR,1002585600,G,32,32,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unai Marrero,,,,,,
10408321,home,Real Sociedad,Aihen Muñoz,aihen-munoz,A. Muñoz,D,3,175,419,M,966441,EUR,871689600,D,12,12,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408321,home,Real Sociedad,Jon Pacheco,jon-pacheco,J. Pacheco,D,5,184,537,M,934383,EUR,978912000,D,20,20,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
