match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_aerialWon,stat_lastManTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,captain,stat_savedShotsFromInsideTheBox,stat_punches,stat_errorLeadToAShot,stat_bigChanceMissed
14573075,away,ŠK Slovan Bratislava,Rahim Ibrahim,ibrahim-rahim,R. Ibrahim,M,5,186,215,M,1109961,EUR,992131200,M,5,5,False,32.0,29.0,,,0.0,18.0,20.0,11.0,12.0,,3.0,,,,,65.0,35.0,6.4,3.0,0.0204524,,0,,0.0,0.12,-0.11,,,,,2.0,3.0,,,,,,1.0,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,,,
14573075,away,ŠK Slovan Bratislava,Nino Marcelli,marcelli-nino,N. Marcelli,M,18,178,358,M,1397170,EUR,1117324800,M,18,18,False,36.0,33.0,1.0,,0.0,11.0,12.0,22.0,24.0,,1.0,,,,,90.0,52.0,7.6,8.0,0.0958774,,2,,0.06,0.32,-0.15,,,,1.0,5.0,5.0,3.0,1.0,,1.0,,1.0,1.0,2.0,0.7275,1.0,0.49,,,1.0,,1.0,1.0,,2.0,1.0,1.0,,0.6997,,,,,,1.0
14573075,away,ŠK Slovan Bratislava,Tigran Barseghyan,tigran-barseghyan,T. Barseghyan,M,11,179,950,M,95494,EUR,748656000,F,11,11,False,19.0,14.0,1.0,1.0,0.0,5.0,5.0,9.0,14.0,,1.0,,,,,65.0,26.0,6.6,8.0,0.0296704,,1,,0.0,0.05,0.13,,,,1.0,3.0,2.0,2.0,1.0,,,,,1.0,1.0,0.0898,1.0,-0.18,,,,,,,,1.0,,,,,1.0,,,,,
14573075,away,ŠK Slovan Bratislava,Róbert Mak,robert-mak,R. Mak,M,21,179,370,M,87087,EUR,668390400,F,21,21,False,28.0,25.0,1.0,1.0,0.0,11.0,11.0,14.0,17.0,,3.0,,,,,73.0,35.0,6.4,5.0,0.0449246,,0,,-0.03,0.0,-0.03,,1.0,1.0,1.0,3.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
14573075,away,ŠK Slovan Bratislava,Andraž Šporar,andraz-sporar,A. Šporar,F,99,186,1339,M,166987,EUR,762307200,F,99,99,False,24.0,21.0,,,1.0,11.0,11.0,9.0,13.0,1.0,2.0,,,,,90.0,38.0,6.5,9.0,0.327986,,2,,0.0,0.06,0.15,,1.0,,5.0,8.0,4.0,1.0,1.0,2.0,2.0,,,3.0,1.0,0.0738,3.0,-0.48,,,2.0,,,1.0,,2.0,,,,,,,,,,
14573075,away,ŠK Slovan Bratislava,Artur Gajdoš,artur-gajdos,A. Gajdoš,M,8,170,123,M,1087830,EUR,1074556800,M,8,8,True,15.0,13.0,,,0.0,5.0,6.0,8.0,9.0,,,,,,,25.0,20.0,6.3,3.0,0.005103,,1,,-0.11,0.01,-0.11,,,,,2.0,,,,,,1.0,,1.0,,0.0263,,-0.06,,,,,,1.0,1.0,,1.0,,,0.0629,,,,,,
14573075,away,ŠK Slovan Bratislava,Alasana Yirajang,yirajang-alasana,A. Yirajang,F,14,184,217,M,1804850,EUR,1100217600,M,14,14,True,7.0,7.0,,,0.0,1.0,1.0,5.0,6.0,,,,,,,25.0,13.0,6.5,4.0,0.00182669,,0,,-0.07,0.03,-0.07,,1.0,,,1.0,2.0,,,,,,,3.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,
14573075,away,ŠK Slovan Bratislava,Alen Mustafić,alen-mustafic,A. Mustafić,M,20,184,102,M,927799,EUR,931132800,M,20,20,True,9.0,7.0,,,0.0,1.0,2.0,6.0,7.0,1.0,1.0,,,,,18.0,15.0,6.7,4.0,0.0860058,,0,,0.19,0.05,-0.05,,1.0,1.0,,2.0,2.0,1.0,,,,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,
14573075,away,ŠK Slovan Bratislava,Kyriakos Savvidis,kyriakos-savvidis,K. Savvidis,M,88,181,101,M,551338,EUR,803606400,M,88,88,True,11.0,10.0,,,0.0,2.0,2.0,8.0,9.0,1.0,,,,,,17.0,15.0,6.6,2.0,0.00821962,,0,,0.03,0.0,-0.05,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14573075,away,ŠK Slovan Bratislava,Martin Trnovský,martin-trnovsky,M. Trnovský,G,31,191,36,M,856203,EUR,960336000,G,31,31,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573075,away,ŠK Slovan Bratislava,Matúš Macík,matus-macik,M. Macík,G,44,198,29,M,799087,EUR,737769600,G,44,44,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573075,away,ŠK Slovan Bratislava,Sidoine Fogning,sidoine-fogning,S. Fogning,D,19,195,93,M,2049628,EUR,1005436800,D,19,19,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,Sidoine Fogning,,,,,,,,,,,,,,,,,
14573075,away,ŠK Slovan Bratislava,Peter Pokorný,peter-pokorny,P. Pokorný,M,3,181,172,M,942382,EUR,997228800,M,3,3,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573075,away,ŠK Slovan Bratislava,Filip Lichý,filip-lichy,F. Lichý,M,6,187,46,M,918485,EUR,980380800,M,26,26,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
