match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_challengeLost,stat_wonContest,stat_interceptionWon,captain,stat_wasFouled,stat_fouls,stat_accurateCross,stat_totalOffside,stat_dispossessed,stat_bigChanceCreated,stat_outfielderBlock,player_sofascoreId,stat_goalAssist,stat_goals
10382038,home,FC Twente,Virgil Misidjan,virgil-misidjan,V. Misidjan,F,7,173,282,M,148623,EUR,743472000,F,10,10,False,36.0,32.0,1.0,1.0,1.0,2.0,32.0,39.0,6.0,,,,,90.0,64.0,8.4,16.0,7,5.0,,8.0,5.0,2.0,2.0,4.0,2.0,1.0,,1.0,1.0,4.0,4.0,,,1.0,1.0,1.0,1.0,,3.0,3.0,1.0,,2.0,1.0,,,2.0,1.0
10382038,home,FC Twente,Sem Steijn,sem-steijn,S. Steijn,M,14,173,3417,M,944467,EUR,1005523200,M,14,14,True,6.0,6.0,,,1.0,1.0,5.0,5.0,1.0,,,,,19.0,10.0,6.4,1.0,1,,,3.0,,,,,1.0,,,,,,,,,,2.0,,1.0,,,,,,1.0,,,,,
10382038,home,FC Twente,Ricky van Wolfswinkel,ricky-van-wolfswinkel,R. van Wolfswinkel,F,9,186,794,M,35193,EUR,601862400,F,9,9,True,5.0,3.0,,,,,3.0,5.0,1.0,,,,,19.0,8.0,7.3,2.0,2,,,1.0,1.0,,,,2.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,2.0
10382038,home,FC Twente,Wout Brama,wout-brama,W. Brama,M,6,176,15,,9895,EUR,524966400,M,6,6,True,8.0,7.0,,,4.0,5.0,3.0,3.0,,,,,,8.0,8.0,6.6,1.0,0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382038,home,FC Twente,Mathias Kjølø,mathias-kjolo,M. Kjølø,M,4,174,167,M,966546,EUR,993600000,M,21,21,True,11.0,10.0,2.0,1.0,4.0,5.0,6.0,7.0,4.0,,,,,8.0,13.0,6.7,2.0,0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,
10382038,home,FC Twente,Denilho Cleonise,denilho-cleonise,D. Cleonise,F,7,179,62,M,971006,EUR,1007769600,F,26,26,True,1.0,,,,,,,1.0,,,,,,1.0,1.0,,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382038,home,FC Twente,Issam El Maach,issam-el-maach,I. E. Maach,G,16,187,445,M,904775,EUR,949363200,G,16,16,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382038,home,FC Twente,Przemysław Tytoń,przemyslaw-tyton,P. Tytoń,G,22,195,453,M,27691,EUR,536716800,G,22,22,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382038,home,FC Twente,Alfons Sampsted,alfons-sampsted,A. Sampsted,D,2,180,197,M,842536,EUR,891820800,D,12,12,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382038,home,FC Twente,Anass Salah-Eddine,anass-salah-eddine,A. Salah-Eddine,D,2,179,6705,M,961684,EUR,1011312000,D,17,17,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382038,home,FC Twente,Mees Hilgers,mees-hilgers,M. Hilgers,D,2,185,8875,M,1014288,EUR,989712000,D,2,2,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meeshilgerss,,
10382038,home,FC Twente,Daan Rots,daan-rots,D. Rots,M,11,179,509,M,1048430,EUR,996019200,F,11,11,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
