match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,captain,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,player_sofascoreId,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_wasFouled,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_lastManTackle,stat_totalOffside,stat_shotOffTarget,stat_penaltyWon,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,player_firstName,player_lastName
11352384,home,Wolverhampton,José Sá,jose-sa,J. Sá,G,1,192,4016,M,252669,EUR,727228800,G,1,1,False,20.0,14.0,7.0,1.0,13.0,14.0,1.0,6.0,7.0,1.0,2.0,1.0,2.0,90.0,28.0,6.5,8.0,0.00012198,0,-0.1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352384,home,Wolverhampton,Santiago Bueno,santiago-bueno,S. Bueno,D,4,189,1175,M,846308,EUR,910569600,D,4,4,False,68.0,60.0,5.0,1.0,42.0,46.0,18.0,23.0,,,,,,90.0,79.0,6.6,11.0,0.00703729,0,,1.0,3.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11352384,home,Wolverhampton,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,894474,EUR,864345600,D,23,23,False,71.0,66.0,1.0,,54.0,57.0,12.0,14.0,3.0,1.0,,,,90.0,84.0,6.5,8.0,0.0602106,0,,,1.0,1.0,2.0,3.0,,,5.0,1.0,2.0,,,True,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11352384,home,Wolverhampton,Toti Gomes,toti-gomes,T. Gomes,D,24,187,1047,M,973418,EUR,916444800,D,24,24,False,66.0,55.0,10.0,4.0,37.0,45.0,18.0,21.0,2.0,,,,,90.0,74.0,6.5,11.0,0.00544227,0,,,,1.0,2.0,4.0,,,3.0,1.0,3.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,
11352384,home,Wolverhampton,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7696,M,252821,EUR,753408000,M,22,22,False,49.0,40.0,4.0,,22.0,28.0,19.0,22.0,3.0,1.0,,,,90.0,78.0,7.3,11.0,0.522462,0,,1.0,1.0,,4.0,5.0,,1.0,3.0,1.0,3.0,2.0,4.0,,,,2.0,nelsonsemedo50,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11352384,home,Wolverhampton,Mario Lemina,mario-lemina,M. Lemina,M,99,184,8756,M,307284,EUR,746841600,M,5,5,False,50.0,49.0,3.0,2.0,31.0,31.0,18.0,19.0,2.0,2.0,,,,75.0,61.0,7.1,4.0,0.0210098,1,,,,,3.0,3.0,1.0,1.0,,1.0,3.0,2.0,1.0,,1.0,,1.0,,,,,,,1.0,0.0193,0.1904,,,,,,,,,
11352384,home,Wolverhampton,João Gomes,joao-gomes,J. Gomes,M,8,176,14959,M,1015267,EUR,981936000,M,8,8,False,78.0,67.0,6.0,3.0,42.0,47.0,26.0,32.0,9.0,,,,,90.0,102.0,6.8,19.0,0.278524,1,,1.0,2.0,,11.0,10.0,1.0,2.0,,,9.0,6.0,1.0,,,,1.0,joaogomes.01,1.0,5.0,,,1.0,1.0,0.0404,0.0997,,,,,,,,,
11352384,home,Wolverhampton,Matt Doherty,matt-doherty,M. Doherty,D,2,182,1449,M,143047,EUR,695520000,M,2,2,False,32.0,28.0,1.0,1.0,15.0,17.0,13.0,15.0,3.0,1.0,,,,87.0,57.0,7.2,7.0,0.0315678,0,,,2.0,,5.0,6.0,1.0,,3.0,1.0,5.0,2.0,1.0,,1.0,,,,,2.0,,,1.0,,,,1.0,1.0,,,,,,,
11352384,home,Wolverhampton,Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179,44710,M,931278,EUR,991785600,F,3,3,False,29.0,29.0,,,7.0,7.0,22.0,22.0,3.0,1.0,,,,55.0,48.0,7.2,8.0,0.00880955,2,,,,,9.0,8.0,1.0,3.0,,,1.0,1.0,,,,,1.0,r_aitnouri,,8.0,4.0,,3.0,,0.0382,,,1.0,2.0,1.0,,,,,
11352384,home,Wolverhampton,Tommy Doyle,tommy-doyle,T. Doyle,M,7,172,746,M,932628,EUR,1003276800,F,20,20,False,44.0,38.0,5.0,2.0,17.0,19.0,21.0,29.0,2.0,1.0,,,,87.0,55.0,7.0,11.0,0.0499478,3,,4.0,,,2.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,0.116,0.3094,,,2.0,,,,,,
11352384,home,Wolverhampton,Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,176,2486,M,138573,EUR,705542400,F,21,21,False,36.0,28.0,1.0,1.0,10.0,13.0,18.0,26.0,10.0,4.0,,,,75.0,50.0,7.3,15.0,0.0577864,4,,3.0,1.0,,4.0,1.0,1.0,,,1.0,,,1.0,,,,2.0,,,1.0,1.0,,,3.0,1.1922,1.8491,,,,,1.0,1.0,1.0,,
11352384,home,Wolverhampton,Matheus Cunha,matheus-cunha,M. Cunha,F,10,184,69408,M,886363,EUR,927763200,F,12,12,True,17.0,15.0,,,8.0,9.0,7.0,8.0,1.0,3.0,,,,35.0,29.0,6.9,7.0,0.0286523,1,,,,3.0,3.0,8.0,,,,,3.0,2.0,,,,,2.0,Cunha,,3.0,2.0,,,,0.0268,,,,,,,1.0,,,
