match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_shotOffTarget,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_interceptionWon,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_aerialLost,stat_wonTackle,stat_totalContest,stat_wonContest,stat_totalOffside,stat_challengeLost,stat_bigChanceMissed,stat_bigChanceCreated,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_lastManTackle,stat_ownGoals,stat_hitWoodwork,stat_errorLeadToAShot
10556818,away,Cagliari,Elio Capradossi,,,elio-capradossi,E. Capradossi,D,23,181.0,284,M,284355,EUR,826502400,D,24,24,False,37.0,32.0,1.0,1.0,24.0,27.0,8.0,10.0,5.0,4.0,,68.0,48.0,7.0,6.0,0,,2.0,2.0,1.0,,,,,,2.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
10556818,away,Cagliari,Adam Obert,,,adam-obert,A. Obert,D,33,186.0,680,M,964153,EUR,1030060800,D,33,33,False,71.0,63.0,5.0,2.0,48.0,53.0,15.0,18.0,8.0,7.0,2.0,90.0,88.0,7.0,10.0,0,,3.0,3.0,,,1.0,,,1.0,2.0,,2.0,,,,1.0,2.0,1.0,,,,1.0,,,,,,1.0,1.0,,
10556818,away,Cagliari,Antonio Barreca,,,antonio-barreca,A. Barreca,M,3,184.0,107,M,541574,EUR,795484800,D,27,27,False,31.0,26.0,5.0,3.0,17.0,21.0,9.0,10.0,3.0,4.0,3.0,90.0,47.0,6.8,9.0,2,,4.0,3.0,,2.0,,1.0,1.0,1.0,2.0,,,,,,,3.0,,,,,,,,,,,,,1.0,
10556818,away,Cagliari,Christos Kourfalidis,,,christos-kourfalidis,C. Kourfalidis,M,39,178.0,161,M,1013418,EUR,1036972800,M,39,39,False,31.0,18.0,3.0,1.0,12.0,16.0,7.0,16.0,1.0,6.0,3.0,90.0,50.0,6.4,19.0,1,1.0,6.0,5.0,2.0,1.0,2.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,3.0,2.0,,1.0,,,,,,,,,1.0
10556818,away,Cagliari,Nicolas Viola,,,nicolas-viola,N. Viola,F,10,180.0,272,M,21608,EUR,624153600,M,10,10,False,50.0,44.0,10.0,8.0,28.0,30.0,16.0,23.0,2.0,4.0,1.0,77.0,60.0,6.9,10.0,1,3.0,2.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,2.0,,,,,,,,,
10556818,away,Cagliari,Nunzio Lella,,,nunzio-lella,N. Lella,M,24,188.0,103,M,881068,EUR,964742400,M,23,23,False,31.0,24.0,2.0,2.0,15.0,21.0,9.0,10.0,,3.0,4.0,90.0,44.0,6.8,13.0,0,,2.0,4.0,,,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,
10556818,away,Cagliari,Gastón Pereiro,,,gaston-pereiro,G. Pereiro,F,,188.0,421,M,311396,EUR,802828800,F,20,20,False,28.0,17.0,2.0,1.0,13.0,17.0,4.0,12.0,,4.0,1.0,77.0,38.0,6.6,16.0,0,1.0,2.0,1.0,1.0,,1.0,,,,,,2.0,True,,,,,,1.0,,,,,,,,,,,,
10556818,away,Cagliari,Gianluca Lapadula,,,gianluca-lapadula,G. Lapadula,F,10,178.0,4581,M,147368,EUR,634348800,F,9,9,False,9.0,7.0,1.0,,4.0,4.0,3.0,5.0,2.0,2.0,2.0,68.0,20.0,6.6,5.0,1,,6.0,2.0,1.0,1.0,,2.0,1.0,,,,,,,,,4.0,,,,,,,,gianlucalapadula,,,,,,
10556818,away,Cagliari,Vincenzo Millico,,,vincenzo-millico,V. Millico,M,28,173.0,102,M,919805,EUR,966038400,F,19,19,False,13.0,9.0,1.0,,5.0,7.0,5.0,7.0,,3.0,3.0,90.0,29.0,6.5,9.0,0,1.0,4.0,4.0,1.0,,1.0,3.0,1.0,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,
10556818,away,Cagliari,Alberto Dossena,,,dossena-alberto,A. Dossena,D,22,195.0,513,M,870211,EUR,908236800,D,4,4,True,19.0,13.0,5.0,2.0,9.0,12.0,4.0,7.0,1.0,4.0,,22.0,23.0,6.6,6.0,0,,,2.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
10556818,away,Cagliari,Leonardo Pavoletti,,,leonardo-pavoletti,L. Pavoletti,F,30,188.0,577,M,132704,EUR,596505600,F,30,30,True,7.0,6.0,,,2.0,3.0,4.0,4.0,1.0,1.0,,22.0,9.0,6.5,2.0,0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
10556818,away,Cagliari,Nicolò Cavuoti,,,nicolo-cavuoti,N. Cavuoti,M,20,178.0,118,M,1013041,EUR,1049414400,M,21,21,True,17.0,13.0,3.0,2.0,7.0,8.0,6.0,9.0,,1.0,1.0,13.0,21.0,6.7,5.0,0,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
10556818,away,Cagliari,Zito Luvumbo,,,zito-luvumbo,Z. Luvumbo,F,15,171.0,5502,M,1000150,EUR,1015632000,F,77,77,True,6.0,4.0,,,1.0,1.0,3.0,6.0,,,,13.0,9.0,6.6,3.0,1,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,LuvumboZito,,,,,,
10556818,away,Cagliari,Eldin Lolic,,,eldin-lolic,E. Lolic,G,12,194.0,65,M,1155425,EUR,1084579200,G,12,12,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556818,away,Cagliari,Boris Radunović,,,boris-radunovic,B. Radunović,G,22,193.0,191,M,795926,EUR,833068800,G,1,1,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556818,away,Cagliari,Davide Veroli,,,davide-veroli,D. Veroli,D,72,188.0,149,M,1068357,EUR,1043798400,D,26,26,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556818,away,Cagliari,Alessandro Di Pardo,,,alessandro-di-pardo,A. D. Pardo,M,29,182.0,160,M,928814,EUR,932256000,D,99,99,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556818,away,Cagliari,Filippo Falco,,,filippo-falco,F. Falco,M,,171.0,193,,142037,EUR,697766400,M,25,25,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556818,away,Cagliari,Franco Carboni,,,carboni-franco,F. Carboni,M,29,190.0,981,M,1086199,EUR,1049414400,D,16,16,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10556818,away,Cagliari,Alessandro Deiola,,,alessandro-deiola,A. Deiola,M,14,189.0,279,M,328109,EUR,807235200,M,14,14,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
