match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_totalClearance,captain,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalOffside,player_sofascoreId,stat_goals,stat_goalAssist,stat_bigChanceMissed,stat_bigChanceCreated,stat_blockedScoringAttempt
10437973,home,Marítimo,Giorgi Makaridze,giorgi-makaridze,G. Makaridze,G,31,190.0,68,M,31325,EUR,638841600,G,30,30,False,32.0,21.0,15.0,4.0,18.0,21.0,3.0,11.0,1.0,14.0,1.0,2.0,2.0,2.0,2.0,90.0,45.0,6.5,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437973,home,Marítimo,Cláudio Winck,claudio-winck,C. Winck,D,2,183.0,178,M,155998,EUR,766368000,D,2,2,False,41.0,33.0,7.0,4.0,10.0,12.0,24.0,34.0,9.0,9.0,,,,,,90.0,77.0,6.7,18.0,1,5.0,1.0,4.0,12.0,2.0,4.0,5.0,5.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,
10437973,home,Marítimo,Moises Mosquera,moises-mosquera,M. Mosquera,D,3,188.0,201,M,1066212,EUR,990662400,D,3,3,False,48.0,38.0,11.0,6.0,26.0,30.0,12.0,18.0,4.0,9.0,,,,,,90.0,63.0,6.8,13.0,0,,,,3.0,,,4.0,2.0,,5.0,1.0,,1.0,1.0,1.0,1.0,Moises Castillo Mosquera,,,,,,,,,,,,,
10437973,home,Marítimo,Renê Santos,rene-santos,R. Santos,M,,184.0,16,M,218804,EUR,703814400,D,15,15,False,37.0,32.0,12.0,8.0,21.0,23.0,11.0,14.0,4.0,5.0,,,,,,73.0,45.0,6.7,6.0,0,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,1.0,2.0,,,,,,,,,,
10437973,home,Marítimo,Vitor Costa,vitor-costa,V. Costa,M,94,182.0,61,M,842345,EUR,773020800,D,94,94,False,51.0,45.0,13.0,9.0,26.0,30.0,20.0,24.0,5.0,11.0,,,,,,90.0,74.0,6.7,11.0,1,3.0,1.0,1.0,9.0,2.0,2.0,1.0,1.0,1.0,,3.0,1.0,,1.0,4.0,2.0,,,,1.0,,,,,,,,,,
10437973,home,Marítimo,Bruno Xadas,bruno-xadas,B. Xadas,M,8,179.0,249,M,837410,EUR,881020800,M,23,23,False,46.0,40.0,7.0,4.0,12.0,13.0,30.0,36.0,2.0,5.0,,,,,,90.0,62.0,7.0,12.0,3,3.0,2.0,,3.0,,,2.0,1.0,2.0,,1.0,1.0,3.0,,2.0,,,,,,True,1.0,,,,,,,,
10437973,home,Marítimo,Stefano Beltrame,stefano-beltrame,S. Beltrame,M,,183.0,133,M,184425,EUR,729129600,M,10,10,False,22.0,17.0,3.0,1.0,9.0,10.0,9.0,15.0,6.0,5.0,,,,,,73.0,34.0,7.0,9.0,0,3.0,1.0,,1.0,,,1.0,1.0,,,2.0,1.0,2.0,2.0,1.0,,,,1.0,,,,1.0,,,,,,,
10437973,home,Marítimo,Val Soares,val-soares,V. Soares,M,97,176.0,108,M,871681,EUR,858124800,M,8,8,False,18.0,14.0,2.0,1.0,11.0,13.0,3.0,5.0,2.0,4.0,,,,,,45.0,28.0,6.3,7.0,1,,,,7.0,,1.0,3.0,1.0,,,1.0,1.0,,,4.0,,,,,,,1.0,,,,,,,,
10437973,home,Marítimo,Léo Pereira,leo-pereira,L. Pereira,M,38,172.0,359,M,1008491,EUR,962236800,M,38,38,False,6.0,5.0,1.0,,2.0,2.0,4.0,6.0,3.0,2.0,,,,,,45.0,15.0,6.0,6.0,0,2.0,1.0,1.0,8.0,,1.0,2.0,,,,2.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,
10437973,home,Marítimo,Pablo Moreno,pablo-moreno,P. Moreno,F,,180.0,183,M,964729,EUR,1020384000,F,9,9,False,5.0,5.0,,,1.0,1.0,4.0,4.0,2.0,1.0,,,,,,42.0,16.0,5.3,6.0,1,,,,7.0,1.0,1.0,2.0,,1.0,,,,3.0,1.0,3.0,1.0,,,1.0,,,,,,,,,,,
10437973,home,Marítimo,Brayan Riascos,brayan-riascos,B. Riascos,F,94,180.0,216,M,537040,EUR,781747200,F,29,29,False,13.0,10.0,,,3.0,3.0,7.0,10.0,4.0,2.0,,,,,,45.0,23.0,6.8,7.0,1,,,2.0,3.0,,1.0,,,1.0,,,,3.0,3.0,,2.0,,,1.0,2.0,,,,,,,,,,
10437973,home,Marítimo,André Vidigal,andre-vidigal,A. Vidigal,M,77,176.0,425,M,842335,EUR,903312000,F,7,7,True,10.0,8.0,1.0,1.0,4.0,5.0,4.0,8.0,2.0,1.0,,,,,,45.0,22.0,6.3,9.0,1,3.0,,,5.0,,,3.0,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,1.0,,,,,,
