match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_penaltyConceded,stat_challengeLost,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_hitWoodwork,stat_goals,stat_errorLeadToAGoal,player_sofascoreId,stat_blockedScoringAttempt,stat_penaltyMiss,stat_penaltyWon,stat_totalOffside
13199638,home,Valencia,Germán Valera,,,german-valera,G. Valera,M,11,170,823,M,962710,EUR,1016236800,F,30,30,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199638,home,Valencia,Martín Tejón,,,martin-tejon,M. Tejón,M,10,165,130,M,1462786,EUR,1081728000,M,32,32,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13199638,away,Real Madrid,Thibaut Courtois,,,thibaut-courtois,T. Courtois,G,1,200,202673,M,70988,EUR,705542400,G,1,1,False,28.0,25.0,5.0,2.0,0.0,24.0,26.0,1.0,2.0,1.0,5.0,,4.0,,4.0,,,,90.0,37.0,6.6,4.0,0.00095854,0,1.1748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TheOctopus,,,,
13199638,away,Real Madrid,Lucas Vázquez,,,lucas-vazquez,L. Vázquez,D,21,173,60349,M,255239,EUR,678326400,D,17,17,False,56.0,51.0,3.0,2.0,0.0,23.0,24.0,28.0,34.0,1.0,7.0,,,,,,,,90.0,77.0,6.8,10.0,0.0872494,1,,True,,4.0,1.0,,,,,2.0,1.0,1.0,,,0.028,,1.0,,2.0,,,1.0,,2.0,2.0,,1.0,,,,LucasVaz91,,,,
13199638,away,Real Madrid,Aurélien Tchouaméni,,,aurelien-tchouameni,A. Tchouaméni,M,14,188,145918,M,859025,EUR,948931200,D,14,14,False,86.0,76.0,8.0,4.0,0.0,46.0,49.0,31.0,39.0,2.0,6.0,,,,,,,,90.0,94.0,7.2,11.0,0.0875285,2,,,5.0,2.0,6.0,,1.0,,,,1.0,1.0,,1.0,0.0376,,1.0,1.0,,,,,,,2.0,1.0,2.0,,,,ATchouaméni,,,,
13199638,away,Real Madrid,Antonio Rüdiger,,,antonio-rudiger,A. Rüdiger,D,22,191,192797,M,142622,EUR,731116800,D,22,22,False,66.0,62.0,6.0,3.0,0.0,38.0,38.0,24.0,28.0,2.0,6.0,,,,,,,,90.0,73.0,6.8,4.0,0.0129218,0,,,1.0,1.0,3.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,ARüdiger,,,,
13199638,away,Real Madrid,Ferland Mendy,,,ferland-mendy,F. Mendy,D,23,178,70735,M,792073,EUR,802569600,D,23,23,False,47.0,43.0,1.0,,0.0,16.0,17.0,27.0,30.0,,4.0,,,,,,,,68.0,57.0,6.8,6.0,0.0135546,0,,,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,FerMendy,,,,
13199638,away,Real Madrid,Dani Ceballos,,,dani-ceballos,D. Ceballos,M,19,179,67396,M,547838,EUR,839376000,M,19,19,False,88.0,83.0,5.0,4.0,0.0,35.0,36.0,49.0,55.0,,4.0,,,,,,,,80.0,97.0,7.4,7.0,0.240005,0,,,,1.0,2.0,,1.0,,,,1.0,,1.0,2.0,,,3.0,,,,,,,,3.0,1.0,,,,,Danifuli10,,,,
13199638,away,Real Madrid,Federico Valverde,,,federico-valverde,F. Valverde,M,8,181,375509,M,831808,EUR,901065600,M,8,8,False,67.0,63.0,6.0,4.0,0.0,22.0,23.0,41.0,44.0,,1.0,,,,,,,,90.0,79.0,7.3,6.0,0.0433861,4,,,,2.0,,,,,1.0,4.0,,,,1.0,0.2207,0.0407,1.0,1.0,,,,2.0,,,,,2.0,,,,Fede,1.0,,,
13199638,away,Real Madrid,Rodrygo,,,rodrygo,Rodrygo,F,11,174,699716,M,910536,EUR,978998400,M,11,11,False,35.0,33.0,1.0,1.0,0.0,4.0,4.0,29.0,35.0,,3.0,,,,,,,,68.0,48.0,6.7,10.0,0.083629,2,,,1.0,3.0,2.0,,,1.0,,1.0,,,1.0,,0.3588,,2.0,,1.0,,,3.0,,2.0,4.0,,1.0,,,,Rodrygo,1.0,,,
13199638,away,Real Madrid,Jude Bellingham,,,jude-bellingham,J. Bellingham,M,5,188,1013050,M,991011,EUR,1056844800,M,5,5,False,49.0,35.0,3.0,3.0,1.0,3.0,4.0,32.0,46.0,1.0,6.0,,,,,,,,89.0,76.0,9.1,21.0,0.272235,3,,,5.0,7.0,13.0,1.0,1.0,1.0,1.0,3.0,,,6.0,,1.1256,0.2672,2.0,4.0,4.0,2.0,,1.0,,,1.0,,2.0,1.0,1.0,,JudeBell,,1.0,,
13199638,away,Real Madrid,Vinícius Júnior,,,vinicius-junior,Vinícius Jr.,F,7,176,1170289,M,868812,EUR,963360000,M,7,7,False,21.0,16.0,4.0,2.0,0.0,2.0,2.0,14.0,19.0,,3.0,,,,,,,,79.0,41.0,6.2,12.0,0.0168915,4,,,,5.0,7.0,,,1.0,2.0,,4.0,2.0,2.0,,0.3661,0.2228,,,5.0,1.0,,1.0,,1.0,,,,,,,ViniJr,2.0,,,
13199638,away,Real Madrid,Kylian Mbappé,,,kylian-mbappe,K. Mbappé,F,10,178,1731608,M,826643,EUR,914112000,F,9,9,False,19.0,14.0,1.0,1.0,0.0,3.0,3.0,13.0,20.0,,1.0,,,,,,,,90.0,37.0,6.9,15.0,0.283558,0,,,,6.0,3.0,1.0,,,,,,,1.0,3.0,,,1.0,,5.0,2.0,,4.0,,,4.0,2.0,,,,,KMbappé,,,1.0,4.0
