match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,captain,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_goals,stat_fouls,player_sofascoreId,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_errorLeadToAGoal,stat_errorLeadToAShot
14053834,away,SC Heerenveen,Lasse Selvåg Nordås,lasse-selvag-nordas,L. S. Nordås,F,18,194.0,317,M,1028070,EUR,1013299200,F,18,18,True,13.0,8.0,,,0.0,2.0,3.0,6.0,10.0,,1.0,,,45.0,24.0,6.3,9.0,0.0387513,30.671460546728,6.0,12.79176730999,9.1465296414104,9.8939254595939,1.0,2,-0.19,0.26,-0.03,,,,3.0,2.0,5.0,2.0,,1.0,,1.0,,1.0,,,3.0,0.121,,1.0,-0.16,,,,,1.0,,,1.0,,,,,,,,,,,
14053834,away,SC Heerenveen,Maxence Rivera,rivera-maxence,M. Rivera,M,7,168.0,135,M,1014408,EUR,1022716800,M,7,7,True,5.0,3.0,,,0.0,1.0,1.0,2.0,4.0,,1.0,,,29.0,18.0,6.6,7.0,0.0148951,35.944313820743,6.0,3.7797176239357,,,,0,-0.1,0.06,0.18,,,2.0,,,3.0,4.0,,,,,2.0,,3.0,,2.0,,,1.0,,,,1.0,1.0,2.0,1.0,,1.0,,,,1.0,,,,,,,
14053834,away,SC Heerenveen,Luca Oyen,luca-oyen,L. Oyen,M,11,172.0,406,M,996986,EUR,1047600000,F,11,11,True,7.0,6.0,,,0.0,3.0,3.0,3.0,4.0,,2.0,,,29.0,15.0,6.7,4.0,0.00314392,46.033527181438,6.0,-11.148290347792,,,,1,0.0,0.1,0.16,,,1.0,,,1.0,2.0,,1.0,,,,,1.0,1.0,1.0,0.0229,,,-0.25,,,,,2.0,1.0,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Nikolai Soyset Hopland,hopland-nikolai-soyset,N. S. Hopland,D,17,186.0,224,M,1121247,EUR,1090627200,D,17,17,True,9.0,5.0,3.0,,0.0,,1.0,5.0,8.0,1.0,2.0,,,21.0,12.0,6.2,5.0,0.00685128,10.337014891571,2.0,-3.6634793529113,,,,0,0.09,-0.13,-0.18,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Hristiyan Petrov,hristiyan-petrov,H. Petrov,D,28,184.0,322,M,1129996,EUR,1024876800,D,28,28,True,6.0,5.0,,,0.0,3.0,3.0,2.0,3.0,,1.0,,,11.0,10.0,6.3,1.0,0.00312026,30.772526708268,4.0,5.360350246347,,,,0,-0.02,0.0,-0.18,,,,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Andries Noppert,andries-noppert,A. Noppert,G,44,203.0,438,M,339339,EUR,765676800,G,44,44,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Nordin Bakker,nordin-bakker,N. Bakker,G,31,196.0,132,M,945955,EUR,878256000,G,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Ingmar Mulder,ingmar-mulder,I. Mulder,D,38,,9,M,1888917,EUR,1106438400,D,38,38,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,Ingmar,Mulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Mats Egbring,egbring-mats,M. Egbring,D,15,183.0,90,M,1514878,EUR,1158451200,D,15,15,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Isaiah Ahmed,isaiah-ahmed,I. Ahmed,M,35,186.0,37,M,1801303,EUR,1135728000,M,35,35,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,Isaiah Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Nolhan Courtens,nolhan-courtens,N. Courtens,M,36,174.0,70,M,1425327,EUR,1166572800,M,36,36,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,Nolhan Courtens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053834,away,SC Heerenveen,Eser Gürbüz,eser-gurbuz,E. Gürbüz,F,50,182.0,193,M,1586644,EUR,1173139200,F,50,50,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,Eser Gürbüz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
