match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_wasFouled,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_hitWoodwork,stat_goalAssist,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_crossNotClaimed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,player_sofascoreId
10382229,away,Go Ahead Eagles,Jeffrey de Lange,jeffrey-de-lange,J. de Lange,G,12,188,623,M,803034,EUR,891388800,G,1,1,False,37.0,29.0,20.0,12.0,18.0,19.0,11.0,18.0,2.0,8.0,,3.0,4.0,1.0,90.0,44.0,6.7,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
10382229,away,Go Ahead Eagles,Mats Deijl,mats-deijl,M. Deijl,D,20,180,337,M,794013,EUR,868924800,D,2,2,False,36.0,26.0,5.0,1.0,14.0,16.0,14.0,26.0,4.0,2.0,,,,,90.0,58.0,6.5,16.0,0,6.0,,4.0,2.0,,,,,1.0,,1.0,2.0,1.0,,1.0,True,,,1.0,,,1.0,,,2.0,,,,,,,,,
10382229,away,Go Ahead Eagles,Gerrit Nauber,gerrit-nauber,G. Nauber,D,3,185,79,M,133168,EUR,703123200,D,3,3,False,61.0,49.0,9.0,4.0,22.0,26.0,27.0,36.0,3.0,9.0,,,,,90.0,72.0,6.7,14.0,3,1.0,6.0,5.0,7.0,,,,1.0,1.0,,1.0,2.0,3.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,
10382229,away,Go Ahead Eagles,Jamal Amofa,jamal-amofa,J. Amofa,D,6,185,110,M,1049653,EUR,911952000,D,25,25,False,62.0,54.0,3.0,2.0,33.0,39.0,21.0,23.0,2.0,5.0,,,,,74.0,77.0,6.9,11.0,0,,2.0,5.0,6.0,1.0,1.0,1.0,,3.0,3.0,3.0,1.0,4.0,,,,,,,Jamal Amofa,,,,,,,,,,,,,,
10382229,away,Go Ahead Eagles,Fredrik Oppegård,fredrik-oppegard,F. Oppegård,D,22,175,200,M,1005648,EUR,1028678400,D,26,26,False,32.0,28.0,1.0,1.0,15.0,17.0,15.0,17.0,,4.0,,,,,74.0,51.0,6.6,7.0,0,2.0,1.0,3.0,5.0,,,,,2.0,2.0,1.0,1.0,1.0,,2.0,,,,1.0,,,1.0,,,2.0,,,,,,,,,
10382229,away,Go Ahead Eagles,Xander Blomme,xander-blomme,X. Blomme,M,16,172,76,M,997161,EUR,1024617600,M,20,20,False,22.0,15.0,1.0,1.0,10.0,14.0,5.0,8.0,1.0,2.0,,,,,45.0,29.0,6.6,8.0,0,,,3.0,2.0,1.0,1.0,,2.0,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,
10382229,away,Go Ahead Eagles,Jay Idzes,jay-idzes,J. Idzes,D,21,190,19136,M,933641,EUR,959904000,M,6,6,False,74.0,62.0,4.0,3.0,24.0,30.0,38.0,44.0,5.0,7.0,,,,,90.0,90.0,7.0,12.0,3,,4.0,9.0,8.0,1.0,1.0,,1.0,3.0,2.0,,1.0,5.0,2.0,,,,,1.0,,,,,,,3.0,,1.0,,,,,,jayidzes
10382229,away,Go Ahead Eagles,Philippe Rommens,philippe-rommens,P. Rommens,M,88,175,233,M,606190,EUR,872035200,M,10,10,False,62.0,54.0,6.0,5.0,25.0,26.0,33.0,45.0,2.0,4.0,,,,,83.0,86.0,7.9,14.0,3,9.0,,2.0,1.0,,,,2.0,1.0,1.0,,1.0,1.0,2.0,,,,1.0,4.0,,,,,,4.0,,,,,,,,,
10382229,away,Go Ahead Eagles,Bobby Adekanye,bobby-adekanye,B. Adekanye,M,11,170,177,M,825851,EUR,918950400,M,11,11,False,9.0,6.0,,,1.0,3.0,5.0,7.0,,1.0,,,,,83.0,26.0,6.6,9.0,0,1.0,1.0,8.0,7.0,2.0,1.0,,,1.0,1.0,1.0,2.0,1.0,,4.0,,,,2.0,,,3.0,,,,1.0,,,,,,,,
10382229,away,Go Ahead Eagles,Isac Lidberg,isac-lidberg,I. Lidberg,F,7,185,1089,M,798175,EUR,905212800,F,9,9,False,20.0,15.0,,,2.0,2.0,13.0,18.0,,,,,,,90.0,32.0,6.9,9.0,3,,2.0,7.0,4.0,2.0,1.0,,,,,2.0,1.0,4.0,,1.0,,,,3.0,,,1.0,,1.0,,,,3.0,,,,,,
