match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,captain,stat_aerialLost,stat_shotOffTarget,stat_totalClearance,stat_wasFouled,stat_expectedGoals,stat_penaltyConceded,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltyWon,stat_totalOffside,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_saves,stat_punches,stat_errorLeadToAShot,stat_bigChanceCreated
12450865,home,Stade Brestois,Jérémy Le Douaron,jeremy-le-douaron,J. Le Douaron,F,21,189.0,290,M,1047296,EUR,893116800,F,22,22,False,12.0,9.0,,,0.0,2.0,2.0,10.0,2.0,,,,90.0,19.0,6.0,6.0,0.00370412,1,,7.0,,7.0,2.0,1.0,,,1.0,,1.0,2.0,,,,2.0,,,,0.1218,,,1.0,1.0,,1.0,,0.1925,,1.0,,1.0,,,2.0,,,,,,,
12450865,home,Stade Brestois,Romain Faivre,romain-faivre,R. Faivre,M,28,180.0,1033,M,913942,EUR,900374400,M,21,21,True,20.0,16.0,1.0,1.0,0.0,5.0,5.0,15.0,1.0,,,,26.0,25.0,6.4,6.0,0.0124079,0,,11.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,1.0,,,,,,,,,,,,
12450865,home,Stade Brestois,Hianga'a M'Bock,hiangaa-mbock,H. M'Bock,M,80,186.0,122,M,990820,EUR,946339200,M,18,18,True,17.0,14.0,1.0,,0.0,7.0,8.0,9.0,,,,,20.0,19.0,6.7,3.0,0.00651247,1,,7.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,0.0162,,,,,,1.0,,0.0502,,1.0,,,,,,,,,,,,
12450865,home,Stade Brestois,Axel Camblan,axel-camblan,A. Camblan,M,7,169.0,84,M,1135605,EUR,1055894400,M,11,11,True,4.0,3.0,,,0.0,,,5.0,,,,,20.0,7.0,6.7,2.0,0.00441603,0,,3.0,1.0,,1.0,,,,1.0,1.0,,,Axel Camblan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450865,home,Stade Brestois,Luc Zogbé,luc-zogbe,L. Zogbé,D,12,178.0,643,M,1499870,EUR,1111622400,D,12,12,True,6.0,5.0,,,0.0,2.0,2.0,5.0,1.0,,,,13.0,10.0,6.8,2.0,0.00543007,0,,3.0,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
12450865,home,Stade Brestois,Grégoire Coudert,gregoire-coudert,G. Coudert,G,30,190.0,94,M,891508,EUR,923097600,G,30,30,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450865,home,Stade Brestois,Achraf Dari,achraf-dari,A. Dari,D,15,190.0,8607,M,964795,EUR,925948800,D,4,4,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dari_achraf,,,,,,
12450865,home,Stade Brestois,Leo Botz,leo-botz,L. Botz,F,33,,8,M,1913380,EUR,1105401600,F,33,33,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Léo Botz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450865,home,Stade Brestois,Ibrahim Yayiya Kante,ibrahim-yayiya-kante,I. Y. Kante,F,21,,74,M,1606631,EUR,1174176000,F,32,32,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450865,away,Olympique de Marseille,Gerónimo Rulli,geronimo-rulli,G. Rulli,G,1,189.0,13363,M,128383,EUR,706320000,G,1,1,False,42.0,37.0,8.0,3.0,0.0,36.0,37.0,5.0,12.0,1.0,,,90.0,55.0,8.5,5.0,0.00023563,0,0.6622,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,gerorulli,4.0,1.0,6.0,1.0,,
12450865,away,Olympique de Marseille,Amir Murillo,michael-murillo,A. Murillo,D,62,183.0,3561,M,839493,EUR,823996800,D,62,62,False,38.0,31.0,,,0.0,22.0,27.0,11.0,6.0,,,,90.0,56.0,6.5,12.0,0.00796469,0,,9.0,,5.0,5.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,2.0,1.0,,,,1.0,2.0,1.0,,,,,2.0,,,,,,,,,,,,
12450865,away,Olympique de Marseille,Leonardo Balerdi,leonardo-balerdi,L. Balerdi,D,5,188.0,7165,M,928236,EUR,917308800,D,5,5,False,63.0,59.0,5.0,3.0,0.0,56.0,58.0,5.0,5.0,,,,90.0,85.0,7.0,11.0,0.00307385,0,,3.0,,4.0,7.0,,,2.0,2.0,2.0,3.0,1.0,,,True,,,4.0,,,,,3.0,3.0,3.0,,,,,2.0,,,,,,leobalerdi5,,,,,,
12450865,away,Olympique de Marseille,Derek Cornelius,derek-cornelius,D. Cornelius,D,13,188.0,846,M,801411,EUR,880416000,D,13,13,False,62.0,51.0,4.0,,0.0,48.0,57.0,5.0,3.0,,,,90.0,76.0,6.4,11.0,0.00224423,0,,3.0,,1.0,6.0,,,,3.0,2.0,,1.0,,,,,,8.0,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
12450865,away,Olympique de Marseille,Pol Lirola,pol-lirola,P. Lirola,D,14,183.0,660,M,844480,EUR,871430400,D,29,29,False,20.0,15.0,3.0,,0.0,10.0,14.0,6.0,,,,,71.0,37.0,6.2,12.0,0.00258381,1,,5.0,,2.0,3.0,,,,2.0,1.0,3.0,1.0,,,,,1.0,,1.0,0.2083,,,,1.0,,,,,,,,1.0,,,,,,,,,,
12450865,away,Olympique de Marseille,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185.0,4495,M,149593,EUR,807580800,M,23,23,False,96.0,87.0,1.0,,0.0,66.0,70.0,26.0,13.0,,,,90.0,120.0,7.3,13.0,0.0145566,0,,21.0,,4.0,6.0,2.0,,5.0,5.0,3.0,3.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,hojbjerg23,,,,,,
