match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_dribbleValueNormalized,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_clearanceOffLine,stat_wonTackle,stat_bigChanceCreated,stat_challengeLost,stat_wonContest,stat_wasFouled,stat_hitWoodwork,captain,stat_goals,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_punches
14131929,away,Santa Clara,Gabriel Batista,,,gabriel-batista,G. Batista,G,1,188,348,M,822526,EUR,896832000,G,1,1,False,30.0,16.0,20.0,6.0,0.0,11.0,14.0,5.0,16.0,10.0,,3.0,6.0,90.0,44.0,8.3,14.0,0.00105546,1.0609,0,0.714,0.09,-0.19,0.67,,,,1.0,,1.0,,,,1.0,,,,,,,0.01,,,,,,,,,,,,,True,,,,1.0,1.0
14131929,away,Santa Clara,Sidney Lima,Sidney,,sidney-lima,S. Lima,D,23,182,139,M,1131145,EUR,853459200,D,23,23,False,45.0,38.0,6.0,2.0,0.0,32.0,36.0,6.0,9.0,3.0,,,,90.0,56.0,5.8,9.0,0.00363802,,0,,0.08,-0.39,,1.0,,2.0,,5.0,1.0,,,,6.0,,,1.0,,,,0.05,,,1.0,,,,,,2.0,,,,,,,,,
14131929,away,Santa Clara,Frederico Venâncio,,,frederico-venancio,F. Venâncio,D,21,186,71,M,254815,EUR,728784000,D,21,21,False,45.0,40.0,7.0,4.0,0.0,33.0,34.0,7.0,11.0,2.0,,,,90.0,64.0,6.8,5.0,0.00422992,,0,,0.13,-0.09,,,,2.0,2.0,3.0,6.0,,,,10.0,1.0,,1.0,,,,0.04,,,4.0,,,,2.0,,,,,,,,,,,
14131929,away,Santa Clara,Matheus Araújo,Matheus,,matheus-araujo,M. Araújo,D,32,185,323,M,1105841,EUR,983404800,D,32,32,False,64.0,58.0,6.0,3.0,0.0,46.0,48.0,12.0,16.0,4.0,,,,90.0,82.0,6.3,7.0,0.00491941,,1,,0.1,-0.29,,,,3.0,,4.0,1.0,,,1.0,6.0,3.0,,,0.0183,,0.02,0.08,,,1.0,,,,1.0,,1.0,,,,,,,,,
14131929,away,Santa Clara,Lucas Soares,,,lucas-soares,L. Soares,M,42,176,85,M,991358,EUR,894240000,M,42,42,False,10.0,9.0,1.0,,0.0,7.0,7.0,2.0,3.0,1.0,,,,45.0,23.0,6.7,3.0,0.00059037,,0,,0.04,0.17,,,,,,3.0,3.0,1.0,,,2.0,1.0,1.0,2.0,,,,0.01,,,,,,,,,,,3.0,,,,,,,
14131929,away,Santa Clara,Pedro Ferreira,,,ferreira-pedro,P. Ferreira,M,8,183,121,M,851277,EUR,883958400,M,8,8,False,35.0,23.0,5.0,3.0,0.0,11.0,15.0,12.0,20.0,4.0,,,,90.0,51.0,6.9,13.0,0.0125149,,0,,0.17,-0.08,,,,1.0,3.0,5.0,6.0,1.0,,,7.0,2.0,,1.0,,,,0.01,,,3.0,,,,1.0,,2.0,,,,,,,,,
14131929,away,Santa Clara,Adriano Firmino,,,adriano-firmino,A. Firmino,M,6,187,127,M,989383,EUR,941673600,M,6,6,False,52.0,47.0,3.0,1.0,0.0,34.0,36.0,13.0,16.0,4.0,,,,90.0,62.0,6.7,8.0,0.0156699,,1,,0.16,-0.14,,,,,1.0,2.0,4.0,1.0,1.0,1.0,,1.0,2.0,,0.0858,1.0,-0.42,0.13,,,,,,,,,1.0,1.0,2.0,,,,,,,
14131929,away,Santa Clara,Matheus Pereira,,,matheus-pereira,M. Pereira,M,3,172,198,M,1016898,EUR,977356800,M,3,3,False,26.0,17.0,4.0,,0.0,8.0,10.0,9.0,16.0,5.0,,,,90.0,56.0,6.8,17.0,0.0203878,,1,,-0.15,0.14,,5.0,1.0,3.0,2.0,6.0,9.0,1.0,2.0,,3.0,1.0,2.0,1.0,0.0536,1.0,-0.23,0.41,1.0,,4.0,0.1508,,,3.0,,,1.0,2.0,,,,,1.0,,
14131929,away,Santa Clara,Vinícius Lopes,,,vinicius-lopes,V. Lopes,F,70,175,316,M,1001753,EUR,926035200,F,70,70,False,10.0,8.0,,,0.0,1.0,2.0,7.0,8.0,1.0,,,,59.0,23.0,7.3,9.0,0.0795821,,1,,0.04,-0.04,,,,3.0,1.0,10.0,2.0,3.0,2.0,,2.0,1.0,2.0,1.0,0.4718,,0.56,0.03,1.0,,,0.5883,,,,,1.0,,1.0,,,1.0,,,,
14131929,away,Santa Clara,Luquinhas,,,luquinhas,Luquinhas,M,82,169,497,M,845787,EUR,843868800,F,28,28,False,21.0,18.0,,,0.0,8.0,10.0,10.0,11.0,3.0,,,,59.0,30.0,6.7,6.0,0.00274269,,0,,-0.11,-0.01,,,,1.0,1.0,2.0,3.0,,1.0,,1.0,2.0,3.0,,,,,0.2,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,
