match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,player_firstName,player_lastName,stat_shotOffTarget,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_dispossessed,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot
10382267,home,Sparta Rotterdam,Elias Hoff Melkersen,elias-hoff-melkersen,E. H. Melkersen,F,9,178,111,M,984722,EUR,1041292800,F,19,19,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382267,away,Vitesse,Kjell Scherpen,kjell-scherpen,K. Scherpen,G,37,205,781,M,852394,EUR,948585600,G,16,16,False,24.0,11.0,20.0,7.0,6.0,8.0,5.0,16.0,11.0,,7.0,90.0,40.0,7.4,13.0,0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,4.0,
10382267,away,Vitesse,Ryan Flamingo,ryan-flamingo,R. Flamingo,D,6,186,1614,M,1046960,EUR,1041292800,D,3,3,False,41.0,31.0,4.0,1.0,12.0,15.0,19.0,27.0,7.0,,,90.0,59.0,6.3,12.0,1,1.0,,,4.0,5.0,6.0,2.0,,,,4.0,2.0,,2.0,,,,4.0,1.0,Ryan Flamingo,,1.0,,,,,1.0,,,,,
10382267,away,Vitesse,Dominik Oroz,dominik-oroz,D. Oroz,D,5,190,131,M,874936,EUR,972777600,D,6,6,False,36.0,27.0,9.0,6.0,18.0,23.0,9.0,13.0,4.0,,,90.0,42.0,7.0,9.0,1,,,1.0,1.0,2.0,1.0,1.0,,,1.0,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,
10382267,away,Vitesse,Melle Meulensteen,melle-meulensteen,M. Meulensteen,M,21,185,201,M,891795,EUR,931046400,D,20,20,False,42.0,35.0,6.0,6.0,29.0,33.0,6.0,9.0,10.0,,,90.0,57.0,7.1,8.0,0,,,3.0,3.0,4.0,4.0,,,,,7.0,,1.0,,,,3.0,1.0,,,,,,,,,1.0,,,,,
10382267,away,Vitesse,Maximilian Wittek,maximilian-wittek,M. Wittek,D,32,173,158,M,254125,EUR,808963200,D,32,32,False,38.0,25.0,4.0,,9.0,15.0,17.0,28.0,5.0,3.0,,80.0,66.0,6.2,24.0,2,5.0,1.0,1.0,5.0,6.0,8.0,1.0,,,,2.0,3.0,,3.0,2.0,,,,2.0,,,1.0,,,,,1.0,,1.0,,,
10382267,away,Vitesse,Marco van Ginkel,marco-van-ginkel,M. van Ginkel,F,,186,361,M,112794,EUR,723168000,M,15,15,False,42.0,38.0,2.0,2.0,12.0,13.0,26.0,30.0,2.0,,,85.0,51.0,6.6,6.0,1,1.0,,1.0,1.0,5.0,2.0,2.0,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,,,
10382267,away,Vitesse,Sondre Tronstad,sondre-tronstad,S. Trondstad,M,6,173,144,M,228374,EUR,809395200,M,8,8,False,35.0,28.0,2.0,1.0,12.0,15.0,16.0,20.0,4.0,2.0,,90.0,50.0,6.7,10.0,0,,,2.0,1.0,3.0,3.0,,,,,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0
10382267,away,Vitesse,Million Manhoef,million-manhoef,M. Manhoef,M,42,179,770,M,961677,EUR,1010016000,M,42,42,False,21.0,14.0,1.0,,2.0,4.0,12.0,18.0,8.0,4.0,,90.0,55.0,5.9,25.0,1,1.0,,2.0,1.0,16.0,6.0,1.0,9.0,3.0,,1.0,,2.0,4.0,1.0,,,2.0,,,,1.0,,,,,3.0,,,,,
10382267,away,Vitesse,Matúš Bero,matus-bero,M. Bero,M,19,181,413,M,187207,EUR,810345600,M,21,21,False,27.0,17.0,1.0,,9.0,11.0,8.0,16.0,6.0,3.0,,90.0,44.0,6.3,15.0,1,,,3.0,2.0,5.0,5.0,,,,,2.0,2.0,1.0,1.0,,True,,,2.0,,,,,,,,1.0,,1.0,,,
10382267,away,Vitesse,Kacper Kozłowski,kacper-kozlowski,K. Kozłowski,M,10,182,3151,M,984602,EUR,1066262400,M,17,17,False,18.0,9.0,2.0,1.0,1.0,3.0,8.0,16.0,4.0,2.0,,71.0,31.0,7.0,14.0,2,1.0,,1.0,2.0,4.0,6.0,1.0,4.0,2.0,1.0,,,2.0,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,
10382267,away,Vitesse,Mohamed Sankoh,mohamed-sankoh,M. Sankoh,F,44,180,334,M,982779,EUR,1066262400,F,9,9,False,17.0,12.0,,,4.0,5.0,8.0,12.0,3.0,2.0,,71.0,24.0,6.3,8.0,0,,,9.0,1.0,11.0,2.0,,,,,,,1.0,1.0,,,,,,Mohamed,Sankoh,,,,,1.0,1.0,,,,,
10382267,away,Vitesse,Gabriel Vidović,gabriel-vidovic,G. Vidović,M,10,180,3478,M,1129940,EUR,1070236800,M,10,10,True,6.0,6.0,,,,,6.0,6.0,,,,19.0,8.0,6.2,1.0,0,,,2.0,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
10382267,away,Vitesse,Bartosz Białek,bartosz-bialek,B. Białek,F,27,191,1324,M,1005211,EUR,1005436800,F,14,14,True,3.0,2.0,,,1.0,1.0,1.0,2.0,,1.0,,19.0,6.0,6.2,3.0,0,,,1.0,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
10382267,away,Vitesse,Enzo Cornelisse,enzo-cornelisse,E. Cornelisse,M,6,178,40,M,1046725,EUR,1025308800,D,13,13,True,,,,,,,,,,,,11.0,,6.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382267,away,Vitesse,Jeroen Houwen,jeroen-houwen,J. Houwen,G,,188,36,M,339367,EUR,824601600,G,24,24,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382267,away,Vitesse,Daan Reiziger,daan-reiziger,D. Reiziger,G,20,184,64,M,916942,EUR,992822400,G,33,33,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382267,away,Vitesse,Carlens Arcus,carlens-arcus,C. Arcus,D,2,180,5896,M,794373,EUR,835920000,D,2,2,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382267,away,Vitesse,Tomáš Hájek,tomas-hajek,T. Hájek,D,,186,15,,155061,EUR,691545600,D,18,18,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382267,away,Vitesse,Romaric Yapi,romaric-yapi,R. Yapi,D,16,178,61,M,927292,EUR,963446400,D,27,27,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382267,away,Vitesse,Toni Domgjoni,toni-domgjoni,T. Domgjoni,M,,177,104,M,858226,EUR,904867200,M,22,22,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382267,away,Vitesse,Miliano Jonathans,jonathans-miliano,M. Jonathans,M,26,178,5668,M,1211982,EUR,1081123200,F,26,26,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382267,away,Vitesse,Simon van Duivenbooden,simon-van-duivenbooden,S. v. Duivenbooden,F,,190,71,M,1129130,EUR,1021075200,F,53,53,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
