match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_shotOffTarget,stat_totalTackle,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_wonTackle,stat_totalContest,stat_wonContest,captain,stat_blockedScoringAttempt,stat_fouls,stat_keyPass,stat_dispossessed,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_hitWoodwork,stat_ownGoals
12388518,home,SG Dynamo Dresden,Tony Menzel,,,menzel-tony,T. Menzel,M,24,179,42,M,1511779,EUR,1110067200,F,24,24,False,12.0,9.0,1.0,1.0,0.0,4.0,5.0,5.0,8.0,1.0,4.0,,,,,,88.0,27.0,7.0,9.0,3,1.0,,,,2.0,2.0,,,2.0,,1.0,,3.0,1.0,,3.0,2.0,,1.0,1.0,3.0,,,,1.0,,,,
12388518,home,SG Dynamo Dresden,Oliver Batista Meier,,,meier-oliver-batista,O. B. Meier,F,17,178,259,M,907685,EUR,982281600,M,7,7,True,4.0,3.0,,,1.0,,1.0,3.0,4.0,,1.0,,,,,,23.0,10.0,7.2,2.0,2,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,
12388518,home,SG Dynamo Dresden,Jonas Oehmichen,,,jonas-oehmichen,J. Oehmichen,M,24,177,55,M,1121903,EUR,1078272000,M,25,25,True,5.0,2.0,,,0.0,1.0,1.0,1.0,4.0,,3.0,,,,,,17.0,13.0,7.0,4.0,0,,,,,1.0,6.0,,,,4.0,,2.0,,,2.0,1.0,,,,,,,,,,,,,
12388518,home,SG Dynamo Dresden,Stefan Kutschke,,,stefan-kutschke,S. Kutschke,F,30,194,72,M,38923,EUR,594518400,F,30,30,True,8.0,4.0,1.0,,0.0,1.0,2.0,3.0,6.0,,,,,,,,17.0,14.0,5.7,6.0,2,,,1.0,,3.0,1.0,,,,1.0,1.0,,2.0,2.0,,,,,,2.0,,,,,1.0,,,,
12388518,home,SG Dynamo Dresden,Lars Bünning,,,lars-bunning,L. Bünning,D,23,187,40,M,888731,EUR,888537600,D,23,23,True,1.0,,,,0.0,,,,1.0,,1.0,,,,,,8.0,1.0,6.5,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12388518,home,SG Dynamo Dresden,Jan Hendrik Marx,,,jan-hendrik-marx,J. H. Marx,M,26,172,30,M,599378,EUR,798854400,D,26,26,True,1.0,1.0,,,0.0,,,1.0,2.0,,,,,,,,8.0,4.0,6.5,1.0,0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
12388518,home,SG Dynamo Dresden,Daniel Mesenhöler,,,daniel-mesenholer,D. Mesenhöler,G,37,187,24,M,253945,EUR,806544000,G,37,37,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12388518,home,SG Dynamo Dresden,David Kubatta,,,kubatta-david,D. Kubatta,D,14,195,21,M,1168503,EUR,1067385600,D,39,39,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12388518,home,SG Dynamo Dresden,Paul Lehmann,,,paul-lehmann,P. Lehmann,M,,186,1,M,580316,EUR,835660800,D,14,14,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12388518,home,SG Dynamo Dresden,Dmytro Bogdanov,Dmytro Bogdanov,,dmytro-bogdanov,D. Bogdanov,F,30,188,242,M,1568506,EUR,1173139200,F,34,34,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12388518,away,Fortuna Düsseldorf,Florian Kastenmeier,,,florian-kastenmeier,F. Kastenmeier,G,33,191,163,M,795024,EUR,867456000,G,33,33,False,65.0,54.0,21.0,11.0,0.0,50.0,52.0,4.0,13.0,1.0,5.0,,2.0,4.0,,,90.0,75.0,6.9,11.0,0,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0
12388518,away,Fortuna Düsseldorf,Matthias Zimmermann,,,matthias-zimmermann,M. Zimmermann,D,25,178,71,M,82240,EUR,708652800,D,25,25,False,62.0,54.0,6.0,2.0,0.0,31.0,34.0,23.0,31.0,2.0,6.0,,,,,,90.0,82.0,6.8,13.0,2,3.0,,1.0,2.0,4.0,3.0,,1.0,2.0,1.0,1.0,,,,,,,,1.0,,1.0,2.0,1.0,,,,,,
12388518,away,Fortuna Düsseldorf,Tim Christopher Oberdorf,,,tim-christopher-oberdorf,T. C. Oberdorf,D,15,185,74,M,844199,EUR,840153600,D,15,15,False,70.0,64.0,7.0,4.0,0.0,45.0,48.0,19.0,23.0,3.0,5.0,,,,,,90.0,93.0,7.5,8.0,1,1.0,,2.0,2.0,2.0,7.0,,2.0,3.0,3.0,,2.0,,1.0,2.0,,,,,,,,,,1.0,,,,
