match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_totalClearance,stat_wasFouled,player_firstName,player_lastName,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside,stat_penaltyWon
12499549,away,1. FC Heidenheim,Marvin Pieringer,marvin-pieringer,M. Pieringer,F,18,189,327,M,,909485,EUR,938995200,F,18,18,False,18.0,12.0,2.0,1.0,0.0,4.0,4.0,8.0,14.0,3.0,,,,68.0,28.0,7.2,8.0,0.0123172,2,,,,6.0,4.0,,1.0,,,,,1.0,,1.0,1.0,2.0,4.0,1.0,,2.0,,,,2.0,,0.4602,0.8189,,,1.0,,,1.0,,,1.0,
12499549,away,1. FC Heidenheim,Sirlord Conteh,sirlord-conteh,S. Conteh,F,31,178,175,M,,800400,EUR,836870400,F,31,31,True,13.0,9.0,1.0,1.0,0.0,4.0,5.0,5.0,12.0,2.0,,,,45.0,19.0,6.6,9.0,0.0172077,0,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499549,away,1. FC Heidenheim,Niklas Dorsch,dorsch-niklas,N. Dorsch,M,30,175,332,M,,794995,EUR,884822400,M,39,39,True,17.0,15.0,1.0,,0.0,7.0,8.0,8.0,9.0,,,,,22.0,22.0,6.7,2.0,0.0135573,0,,,,1.0,2.0,,,2.0,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
12499549,away,1. FC Heidenheim,Mikkel Kaufmann,mikkel-kaufmann,M. K. Sorensen,F,29,190,279,M,,918437,EUR,978480000,F,29,29,True,3.0,2.0,,,0.0,,,2.0,3.0,,,,,22.0,9.0,7.2,3.0,0.0214648,0,,,,,4.0,,,,,,,,,1.0,,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,1.0
12499549,away,1. FC Heidenheim,Maximilian Breunig,breunig-maximilian,M. Breunig,F,9,193,140,M,,935281,EUR,966211200,F,14,14,True,6.0,2.0,1.0,1.0,0.0,,1.0,2.0,5.0,2.0,,,,22.0,13.0,7.1,7.0,0.00258091,1,,,,1.0,2.0,,,,,,,,,3.0,,,1.0,1.0,1.0,1.0,,,,1.0,,0.7884,0.8462,,,1.0,,,,,,,
12499549,away,1. FC Heidenheim,Mathias Honsak,mathias-honsak,M. Honsak,M,17,188,255,M,,575952,EUR,851040000,M,17,17,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,1.0,,,,11.0,7.0,6.6,2.0,0.00916967,0,,,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
12499549,away,1. FC Heidenheim,Vitus Eicher,vitus-eicher,V. Eicher,G,,190,27,M,,96098,EUR,657763200,G,22,22,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499549,away,1. FC Heidenheim,Tim Siersleben,tim-siersleben,T. Siersleben,D,4,187,118,M,,988252,EUR,952560000,D,4,4,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499549,away,1. FC Heidenheim,Marnon Busch,marnon-busch,M. Busch,D,2,182,76,M,,168861,EUR,786844800,D,2,2,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499549,away,1. FC Heidenheim,Luca Kerber,luca-kerber,L. Kerber,M,20,180,120,M,,1097453,EUR,1015718400,M,20,20,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
