match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_dispossessed,player_firstName,player_lastName,stat_challengeLost,stat_wonContest,stat_onTargetScoringAttempt,stat_wonTackle,stat_wasFouled,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_blockedScoringAttempt,stat_fouls,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated,stat_clearanceOffLine,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11540880,home,MKE Ankaragücü,Ali Sowe,ali-sowe,A. Sowe,F,9,186,1037,M,238394,EUR,771552000,F,22,22,False,13.0,9.0,,,0.0,,1.0,9.0,12.0,,,,,73.0,24.0,6.1,9.0,0.00825617,1,,,4.0,8.0,3.0,2.0,,,,,1.0,3.0,0.2628,,1.0,,,,1.0,,1.0,,1.0,0.506,,,,1.0,,1.0,,,,,
11540880,home,MKE Ankaragücü,Anastasios Chatzigiovanis,anastasios-chatzigiovanis,A. Chatzigiovanis,M,10,175,405,M,850770,EUR,865036800,M,7,7,True,11.0,9.0,1.0,,0.0,3.0,4.0,6.0,10.0,1.0,,,,45.0,25.0,7.0,8.0,0.00643089,2,,3.0,2.0,3.0,3.0,2.0,1.0,,,,,1.0,0.0872,,,,,,,1.0,1.0,,2.0,0.0477,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Alexis Flips,flips-alexis,A. Flips,M,70,173,227,M,879672,EUR,948153600,M,19,19,True,12.0,6.0,,,0.0,1.0,5.0,5.0,8.0,2.0,,,,45.0,20.0,6.6,10.0,0.00618522,1,,1.0,,2.0,2.0,,1.0,,,1.0,1.0,3.0,0.0412,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Ali Kaan Güneren,ali-kaan-guneren,A. K. Güneren,M,23,183,28,M,867848,EUR,955152000,M,23,23,True,15.0,11.0,4.0,1.0,0.0,2.0,2.0,9.0,13.0,6.0,,,,29.0,22.0,7.8,6.0,0.0752339,0,,,2.0,3.0,2.0,2.0,,2.0,1.0,,1.0,1.0,,3.0,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,
11540880,home,MKE Ankaragücü,Federico Macheda,federico-macheda,F. Macheda,F,41,184,327,M,50130,EUR,682819200,F,32,32,True,4.0,3.0,,,0.0,,1.0,3.0,3.0,,,,,17.0,8.0,6.5,4.0,0.00636459,0,,,3.0,3.0,1.0,,,,,,,3.0,,,1.0,,Federico,Macheda,,,,,,,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Mert Çetin,mert-cetin,M. Çetin,D,4,189,161,M,858148,EUR,852076800,D,45,45,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,13.0,4.0,6.6,,0.00163113,0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Ertaç Özbir,ertac-ozbir,E. Özbir,G,,186,92,M,126077,EUR,625276800,G,25,25,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Hayrullah Bilazer,hayrullah-bilazer,H. Bilazer,D,77,170,27,M,852161,EUR,800928000,D,77,77,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Arda Ünyay,arda-unyay,A. Ünyay,D,91,187,1954,M,1464636,EUR,1169078400,D,27,27,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Riccardo Saponara,riccardo-saponara,R. Saponara,M,,184,173,M,126236,EUR,693273600,M,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Riad Bajić,riad-bajic,R. Bajić,F,11,189,335,M,331751,EUR,768182400,F,9,9,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540880,away,Pendikspor,Erdem Canpolat,erdem-canpolat,E. Canpolat,G,1,194,88,M,1066726,EUR,987120000,G,1,1,False,36.0,19.0,31.0,14.0,0.0,8.0,9.0,11.0,27.0,14.0,1.0,1.0,5.0,90.0,48.0,7.9,17.0,0.0028563,0,0.7145,,,,,,,2.0,,,,,,,,,Erdem Canpolat,,,,,,,,,,,,,,,,1.0,1.0,1.0
11540880,away,Pendikspor,Erdem Özgenç,erdem-ozgenc,E. Özgenç,D,22,177,9,M,60332,EUR,461980800,D,22,22,False,30.0,22.0,2.0,1.0,0.0,9.0,11.0,14.0,23.0,3.0,,,,79.0,55.0,6.9,13.0,0.0421301,0,,4.0,,2.0,3.0,1.0,,1.0,,2.0,,,,1.0,3.0,,,,,,,,,,True,1.0,,1.0,,,,,,,
11540880,away,Pendikspor,Alpaslan Öztürk,alpaslan-ozturk,A. Öztürk,D,33,184,46,M,148857,EUR,742780800,D,33,33,False,29.0,25.0,5.0,2.0,0.0,17.0,18.0,8.0,11.0,1.0,,,,90.0,42.0,7.2,6.0,0.00172898,1,,,2.0,5.0,3.0,,,3.0,1.0,1.0,1.0,,0.0296,,1.0,2.0,,,,,1.0,,1.0,0.0672,,,,1.0,,,,,,,
11540880,away,Pendikspor,Welinton,welinton,Welinton,D,,181,86,M,76529,EUR,608169600,D,23,23,False,40.0,28.0,6.0,2.0,0.0,17.0,21.0,11.0,20.0,6.0,,,,90.0,60.0,7.6,14.0,0.0034702,2,,1.0,1.0,3.0,9.0,1.0,1.0,7.0,,4.0,2.0,,0.0945,,7.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,
11540880,away,Pendikspor,Nuno Sequeira,nuno-sequeira,N. Sequeira,D,6,184,51,M,170117,EUR,651024000,D,6,6,False,36.0,24.0,6.0,4.0,0.0,9.0,11.0,15.0,28.0,6.0,,,,90.0,75.0,7.9,21.0,0.0185699,1,,3.0,,2.0,13.0,1.0,1.0,6.0,,1.0,8.0,3.0,0.0165,,4.0,,,,,1.0,,4.0,,,,,,2.0,,,,,,,
