match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_wasFouled,stat_challengeLost,stat_totalContest,stat_wonContest,captain,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_shotOffTarget,stat_hitWoodwork,stat_goals,stat_savedShotsFromInsideTheBox,stat_clearanceOffLine
10407350,home,KV Mechelen,Kerim Mrabti,kerim-mrabti,K. Mrabti,F,19,175,187,M,338869,EUR,769392000,F,19,19,False,30.0,20.0,2.0,1.0,8.0,8.0,12.0,22.0,1.0,4.0,6.0,,,,,69.0,48.0,7.9,16.0,4,,,,,3.0,7.0,,2.0,2.0,,1.0,2.0,,,1.0,2.0,,2.0,,,1.0,,,,1.0,1.0,,2.0,,1.0,,
10407350,home,KV Mechelen,Boli Bolingoli,boli-bolingoli,B. Bolingoli,D,5,180,129,M,333301,EUR,804556800,D,21,21,True,11.0,8.0,2.0,1.0,5.0,5.0,3.0,6.0,,2.0,1.0,,,,,21.0,22.0,6.6,5.0,0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
10407350,home,KV Mechelen,Jannes Van Hecke,jannes-van-hecke,J. V. Hecke,M,78,175,70,M,965741,EUR,1011052800,M,6,6,True,13.0,12.0,,,6.0,7.0,6.0,6.0,,,5.0,,,,,21.0,15.0,6.6,2.0,0,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10407350,home,KV Mechelen,Julien Ngoy,julien-ngoy,J. Ngoy,F,7,185,145,M,848680,EUR,878428800,F,9,9,True,5.0,4.0,,,1.0,2.0,3.0,3.0,,1.0,1.0,,,,,21.0,10.0,7.1,4.0,1,,,,,2.0,4.0,,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,
10407350,home,KV Mechelen,Yonas Malede,yonas-malede,Y. Malede,F,15,188,72,M,921826,EUR,942537600,F,10,10,True,2.0,2.0,,,,,2.0,2.0,,1.0,1.0,,,,,13.0,7.0,6.2,4.0,0,Yonas,Malede,,,,4.0,,,,,,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,
10407350,home,KV Mechelen,Ngal'ayel Mukau,ngalayel-mukau,N. Mukau,M,17,188,7494,M,1391541,EUR,1099440000,M,34,34,True,3.0,3.0,,,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,8.0,3.0,6.6,,0,Ngal'ayel Mukau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407350,home,KV Mechelen,Yannick Thoelen,yannick-thoelen,Y. Thoelen,G,15,188,95,M,794571,EUR,648259200,G,15,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407350,home,KV Mechelen,Bilal Bafdili,bafdili-bilal,B. Bafdili,M,11,180,191,M,1445119,EUR,1091491200,M,35,35,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407350,away,KV Kortrijk,Tom Vandenberghe,tom-vandenberghe,T. Vandenberghe,G,23,190,77,M,1046454,EUR,714009600,G,1,1,False,35.0,18.0,29.0,12.0,9.0,15.0,9.0,20.0,1.0,1.0,9.0,,4.0,1.0,1.0,90.0,47.0,6.4,18.0,0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,
10407350,away,KV Kortrijk,Christalino Atemona,christalino-atemona,C. Atemona,D,3,178,13,M,1010140,EUR,1019779200,D,5,5,False,31.0,19.0,4.0,2.0,10.0,12.0,9.0,19.0,,3.0,3.0,,,,,90.0,61.0,6.1,21.0,0,,,,,1.0,5.0,1.0,3.0,2.0,1.0,,1.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,,
10407350,away,KV Kortrijk,João Silva,joao-silva,J. Silva,D,6,187,281,M,1068519,EUR,916272000,D,44,44,False,15.0,13.0,3.0,1.0,8.0,9.0,5.0,6.0,1.0,2.0,2.0,,,,,45.0,25.0,6.4,2.0,0,,,,,,2.0,5.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,
