match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_interceptionWon,stat_fouls,captain,stat_bigChanceCreated,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_penaltyMiss,player_sofascoreId,stat_goals,stat_penaltyWon,stat_goalAssist,stat_totalOffside,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_blockedScoringAttempt
10408595,home,Cádiz,Chris Ramos,chris-ramos,C. Ramos,F,9,193,1666,M,914819,EUR,853545600,F,16,16,False,8.0,4.0,,,1.0,1.0,3.0,7.0,,,,45.0,13.0,7.0,6.0,0.0192,0.0,0.00112256,1,,,,1.0,5.0,3.0,6.0,1.0,,,,,,,,2.0,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,
10408595,home,Cádiz,Anthony Lozano,anthony-lozano,A. Lozano,F,11,183,1489,M,169549,EUR,735696000,F,9,9,True,9.0,7.0,,,3.0,3.0,4.0,6.0,3.0,,,45.0,26.0,7.1,8.0,0.059,0.0,0.00517392,1,,,,3.0,1.0,10.0,7.0,,3.0,4.0,2.0,,,,,1.0,,2.0,,,4.0,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,
10408595,home,Cádiz,Fede San Emeterio,fede-san-emeterio,F. S. E. Diaz,M,6,174,81,M,376382,EUR,858470400,M,24,24,True,6.0,4.0,,,3.0,4.0,2.0,3.0,1.0,,,24.0,13.0,6.5,4.0,0.0,0.0,0.024821,0,,1.0,1.0,,,3.0,,,,1.0,,3.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,Mamadou Mbaye,mamadou-mbaye,M. Mbaye,D,15,188,162,M,921621,EUR,898992000,D,5,5,True,5.0,4.0,,,4.0,5.0,,,1.0,,,11.0,6.0,6.6,1.0,0.0,0.0,2.765e-05,0,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,José Mari,jose-mari,J. Mari,M,,181,49,M,141997,EUR,565747200,M,6,6,True,4.0,3.0,,,3.0,3.0,,1.0,,,,11.0,5.0,6.6,1.0,0.0212,0.0,2.428e-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
10408595,home,Cádiz,Santiago Arzamendia,santiago-arzamendia,S. Arzamendia,D,15,172,405,M,887429,EUR,894326400,D,21,21,True,4.0,3.0,,,2.0,3.0,1.0,2.0,2.0,,,2.0,6.0,,3.0,0.0,0.0,0.00049199,0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,Victor Wehbi Aznar,victor-wehbi-aznar,V. W. Aznar,G,13,189,104,M,1011486,EUR,1034812800,G,26,26,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,David Gil,david-gil,D. Gil,G,1,183,78,M,138390,EUR,758246400,G,13,13,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,Fali,fali,Fali,D,,186,193,M,349794,EUR,745113600,D,3,3,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,Raúl Parra,raul-parra,R. Parra,D,36,187,79,M,1069725,EUR,943574400,D,2,2,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,Youba Diarra,youba-diarra,Y. Diarra,M,5,178,192,M,924369,EUR,890697600,M,12,12,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,Jose Antonio de la Rosa,de-la-rosa-jose-antonio,J. A. d. l. Rosa,M,19,174,70,M,1489420,EUR,1090972800,F,42,42,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,José Antonio de la Rosa,,,,,,,,,,,,,,,
10408595,home,Cádiz,Álvaro Negredo,alvaro-negredo,Á. Negredo,F,,186,307,M,27838,EUR,493344000,F,18,18,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408595,away,Real Valladolid,Jordi Masip,jordi-masip,J. Masip,G,,180,189,M,128600,EUR,599788800,G,1,1,False,21.0,9.0,17.0,6.0,3.0,5.0,6.0,16.0,9.0,1.0,2.0,90.0,28.0,6.3,12.0,0.0,0.0,0.002104,0,-0.6834,,,,1.0,,1.0,,,,,,,,,,,,True,,1.0,,,,,,,,,,,,,,1.0,2.0,,
10408595,away,Real Valladolid,Joaquín Fernández,joaquin-fernandez,J. Fernández,D,24,190,92,M,822923,EUR,833500800,D,24,24,False,32.0,22.0,9.0,2.0,12.0,14.0,10.0,18.0,6.0,,,90.0,46.0,6.4,14.0,0.0,0.0,0.0171498,0,,,,,5.0,3.0,8.0,1.0,,1.0,,4.0,,3.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,
10408595,away,Real Valladolid,Javi Sánchez,javi-sanchez,J. Sánchez,D,15,189,336,M,943713,EUR,858297600,D,5,5,False,33.0,24.0,9.0,2.0,17.0,20.0,7.0,13.0,7.0,,,90.0,44.0,5.9,11.0,0.0,0.0,0.00396483,0,,,,4.0,,9.0,3.0,2.0,,,,4.0,,2.0,1.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,1.0,
10408595,away,Real Valladolid,Jawad El Yamiq,jawad-el-yamiq,J. E. Yamiq,D,18,190,4375,M,877103,EUR,699321600,D,15,15,False,23.0,16.0,10.0,5.0,11.0,11.0,5.0,12.0,3.0,,,77.0,34.0,6.2,9.0,0.0,0.0,0.038843,0,,,,,2.0,1.0,3.0,,,,,6.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,
10408595,away,Real Valladolid,Lucas Rosa,lucas-rosa,L. Rosa,D,2,177,706,M,970860,EUR,954720000,M,39,39,False,23.0,15.0,3.0,2.0,5.0,5.0,10.0,23.0,4.0,,,72.0,43.0,6.5,20.0,0.0,0.0,0.0277162,0,,5.0,,2.0,2.0,7.0,5.0,,2.0,,,,,2.0,1.0,3.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,
10408595,away,Real Valladolid,Monchu,monchu,Monchu,M,6,173,615,M,859774,EUR,937180800,M,8,8,False,32.0,26.0,2.0,2.0,10.0,12.0,18.0,25.0,5.0,,,90.0,53.0,6.7,14.0,0.0871,0.0,0.023635,1,,5.0,2.0,2.0,2.0,7.0,6.0,1.0,1.0,,,1.0,,2.0,1.0,4.0,1.0,3.0,,,2.0,,,,,,1.0,,,,,,,,,,,
10408595,away,Real Valladolid,Martin Hongla,martin-hongla,M. Hongla,M,78,183,1195,M,856062,EUR,890006400,M,20,20,False,28.0,20.0,3.0,1.0,6.0,10.0,15.0,19.0,4.0,,,80.0,38.0,6.4,9.0,0.0,0.0,0.0747619,0,,1.0,1.0,,1.0,4.0,5.0,2.0,,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,
10408595,away,Real Valladolid,Kike Pérez,kike-perez,K. Pérez,M,71,184,312,M,857178,EUR,855878400,M,4,4,False,18.0,13.0,2.0,1.0,6.0,8.0,7.0,12.0,1.0,,,45.0,37.0,6.8,11.0,0.0,0.0,0.00489118,0,,2.0,,1.0,1.0,7.0,9.0,,1.0,4.0,1.0,2.0,,5.0,3.0,,1.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,
