match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialWon,stat_unsuccessfulTouch,stat_dispossessed,captain,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock,stat_wasFouled,stat_shotOffTarget,stat_aerialLost,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_errorLeadToAShot
10382073,away,RKC Waalwijk,Julen Lobete,,,julen-lobete,J. Lobete,F,176,172,M,1006232,EUR,969235200,F,7,7,True,22.0,19.0,,,5.0,5.0,14.0,17.0,4.0,3.0,1.0,,2.0,,,,66.0,42.0,6.2,12.0,2,24,,,6.0,1.0,,,,1.0,,,4.0,2.0,,,,,3.0,,,,2.0,,2.0,,,,1.0,,
10382073,away,RKC Waalwijk,Saïd Bakari,,,said-bakari,S. Bakari,D,176,127,M,896210,EUR,780192000,M,22,22,True,18.0,15.0,,,2.0,3.0,13.0,15.0,3.0,3.0,2.0,,5.0,,,,38.0,32.0,6.5,7.0,0,22,,,3.0,1.0,1.0,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Zakaria Bakkali,,,zakaria-bakkali,Z. Bakkali,M,168,156,M,285941,EUR,822614400,F,19,19,True,7.0,6.0,1.0,1.0,3.0,3.0,3.0,5.0,2.0,3.0,1.0,,3.0,,,,38.0,14.0,6.5,5.0,0,99,1.0,,3.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Florian Jozefzoon,,,florian-jozefzoon,F. Jozefzoon,M,173,88,M,121777,EUR,666057600,F,10,10,True,13.0,12.0,,,1.0,1.0,11.0,12.0,,3.0,,,1.0,,,,26.0,17.0,6.2,4.0,0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Roy Kuijpers,,,roy-kuijpers,R. Kuijpers,F,175,50,M,1046728,EUR,948067200,F,17,17,True,11.0,7.0,1.0,1.0,1.0,3.0,6.0,10.0,1.0,1.0,1.0,,1.0,,,,26.0,17.0,7.2,6.0,1,17,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,
10382073,away,RKC Waalwijk,Joel Pereira,,,joel-pereira,J. Pereira,G,188,279,M,788135,EUR,835920000,G,21,21,True,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Mark Spenkelink,,,mark-spenkelink,M. Spenkelink,G,196,33,M,875466,EUR,854323200,G,13,13,True,,,,,,,,,,,,,,,,,,,,,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Hans Mulder,,,hans-mulder,H. Mulder,D,180,5,,18185,EUR,546480000,D,12,12,True,,,,,,,,,,,,,,,,,,,,,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Lars Nieuwpoort,,,lars-nieuwpoort,L. Nieuwpoort,D,189,9,,339893,EUR,783388800,D,15,15,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Kevin Felida,,,kevin-felida,K. Felida,M,172,104,M,896215,EUR,942278400,M,35,35,True,,,,,,,,,,,,,,,,,,,,,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Sebbe Augustijns,,,sebbe-augustijns,S. Augustijns,M,179,19,M,997507,EUR,936316800,M,26,26,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,away,RKC Waalwijk,Patrick Vroegh,Patrick,Vroegh,patrick-vroegh,P. Vroegh,M,175,12,M,991846,EUR,943833600,M,8,8,True,,,,,,,,,,,,,,,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
