match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_fouls,stat_totalOffside,stat_accurateCross,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_punches,stat_goals
12437035,away,Brighton & Hove Albion,Joël Veltman,,,joel-veltman,J. Veltman,D,34,184,1147,M,,219572,EUR,695433600,D,34,34,False,21.0,13.0,3.0,1.0,0.0,8.0,12.0,5.0,9.0,3.0,6.0,,,,,90.0,48.0,7.2,15.0,0.161562,0,,,,,4.0,5.0,,2.0,,,,2.0,3.0,,1.0,2.0,2.0,,1.0,2.0,1.0,,,,1.0,,,,,,,
12437035,away,Brighton & Hove Albion,Lewis Dunk,,,lewis-dunk,L. Dunk,D,5,190,1911,M,,115365,EUR,690681600,D,5,5,False,30.0,27.0,7.0,4.0,0.0,19.0,20.0,8.0,10.0,5.0,2.0,,,,,90.0,45.0,7.0,5.0,0.00468152,1,,,1.0,1.0,4.0,3.0,2.0,,,,,,,1.0,1.0,2.0,1.0,0.0908,,,1.0,,,True,,,1.0,,,,,
12437035,away,Brighton & Hove Albion,Igor Júlio,,,igor-julio,I. Júlio,D,3,185,1338,M,,842513,EUR,886809600,D,3,3,False,36.0,30.0,3.0,2.0,0.0,28.0,31.0,2.0,5.0,7.0,3.0,,,,,90.0,50.0,7.2,7.0,0.00243264,1,,,1.0,1.0,2.0,2.0,,1.0,,,,,1.0,1.0,1.0,,,0.0477,,,,,,,,,,,,,,
12437035,away,Brighton & Hove Albion,Ferdi Kadıoğlu,,,ferdi-kadioglu,F. Kadıoğlu,D,24,174,21035,M,ferdikadioglu,825844,EUR,939254400,D,24,24,False,36.0,32.0,1.0,,0.0,15.0,16.0,17.0,20.0,7.0,2.0,,,,,90.0,58.0,7.1,7.0,0.00860173,1,,,,1.0,2.0,4.0,,1.0,,3.0,,1.0,1.0,,,2.0,2.0,0.1916,,,1.0,,,,,1.0,1.0,,,,,
12437035,away,Brighton & Hove Albion,Georginio Rutter,,,rutter-georginio,G. Rutter,M,10,182,3505,M,,946695,EUR,1019260800,M,14,14,False,11.0,10.0,,,1.0,1.0,1.0,9.0,10.0,1.0,5.0,,,,,72.0,33.0,7.4,9.0,0.256533,0,,,1.0,4.0,8.0,11.0,2.0,3.0,,1.0,,1.0,1.0,,,6.0,2.0,,2.0,1.0,1.0,,,,1.0,,,,,,,
12437035,away,Brighton & Hove Albion,Carlos Baleba,,,baleba-carlos,C. Baleba,M,17,179,25912,M,carlos_baleba,1199043,EUR,1073088000,M,20,20,False,37.0,33.0,2.0,1.0,0.0,23.0,24.0,10.0,13.0,1.0,5.0,,,,,71.0,52.0,6.9,8.0,0.0058465,0,,,1.0,1.0,4.0,5.0,2.0,,,1.0,,1.0,2.0,,2.0,2.0,,,,1.0,,,,,,,,,,,,
12437035,away,Brighton & Hove Albion,Jack Hinshelwood,Jack Hinshelwood,,jack-hinshelwood,J. Hinshelwood,D,13,182,1561,M,,1142315,EUR,1113177600,M,41,41,False,45.0,40.0,4.0,2.0,0.0,25.0,26.0,15.0,20.0,4.0,5.0,,,,,90.0,61.0,6.8,9.0,0.0270586,1,,1.0,1.0,1.0,4.0,3.0,,3.0,,1.0,,,,,1.0,2.0,2.0,0.0107,,,,,,,,1.0,,,,,,
12437035,away,Brighton & Hove Albion,Yasin Ayari,,,yasin-ayari,Y. Ayari,M,26,172,2693,M,,1036269,EUR,1065398400,M,26,26,False,26.0,21.0,2.0,1.0,0.0,10.0,12.0,13.0,19.0,1.0,4.0,,,,,82.0,54.0,7.2,13.0,0.050257,0,,5.0,1.0,1.0,8.0,8.0,1.0,4.0,2.0,1.0,,2.0,2.0,,,3.0,1.0,,2.0,2.0,2.0,,2.0,,1.0,,,,,,,
12437035,away,Brighton & Hove Albion,Evan Ferguson,,,evan-ferguson,E. Ferguson,F,11,188,8346,M,EvanFerguson9,999231,EUR,1098144000,F,28,28,False,16.0,9.0,,,0.0,6.0,11.0,3.0,5.0,1.0,2.0,,,,,60.0,26.0,6.6,12.0,0.00074797,0,,,2.0,2.0,6.0,3.0,3.0,,,,,2.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,
12437035,away,Brighton & Hove Albion,Danny Welbeck,,,danny-welbeck,D. Welbeck,F,18,185,4510,M,,33902,EUR,659577600,F,18,18,False,25.0,20.0,,,0.0,9.0,11.0,11.0,14.0,,4.0,,,,,81.0,36.0,7.5,6.0,0.00829025,2,,,1.0,1.0,4.0,3.0,1.0,,,1.0,,,1.0,,,1.0,1.0,0.4206,,1.0,1.0,,,,,,,2.0,1.0566,,,1.0
12437035,away,Brighton & Hove Albion,Kaoru Mitoma,,,mitoma-kaoru,K. Mitoma,M,22,178,20820,M,KaoruM,936849,EUR,864086400,M,22,22,True,17.0,12.0,3.0,1.0,0.0,7.0,9.0,5.0,8.0,1.0,4.0,,,,,30.0,27.0,6.7,9.0,0.0078872,2,,,,1.0,5.0,3.0,1.0,1.0,,,,2.0,,1.0,,2.0,2.0,0.2122,,1.0,2.0,,,,,,,1.0,0.2958,,,
12437035,away,Brighton & Hove Albion,Mats Wieffer,,,mats-wieffer,M. Wieffer,M,27,188,2191,M,,959628,EUR,942710400,M,27,27,True,4.0,2.0,,,0.0,,,2.0,4.0,,,,,,,19.0,9.0,6.5,3.0,0.000434,1,,,,1.0,1.0,3.0,,,,,,1.0,,,,2.0,1.0,0.1372,,1.0,,,,,,,1.0,1.0,0.2021,,,
12437035,away,Brighton & Hove Albion,Pervis Estupiñán,,,pervis-estupinan,P. Estupiñán,D,2,175,14887,M,pervisestupinan,805465,EUR,885340800,D,30,30,True,9.0,8.0,,,0.0,7.0,7.0,1.0,2.0,1.0,2.0,,,,,18.0,14.0,6.8,2.0,0.00012731,0,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,
12437035,away,Brighton & Hove Albion,Jan Paul van Hecke,,,jan-paul-van-hecke,J. P. van Hecke,D,6,189,3186,M,,962012,EUR,960422400,D,29,29,True,5.0,4.0,1.0,,0.0,2.0,2.0,2.0,3.0,1.0,1.0,,,,,9.0,7.0,6.7,1.0,0.00016984,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12437035,away,Brighton & Hove Albion,Julio Enciso,,,julio-enciso,J. Enciso,M,19,173,12907,M,julioenciso.33,973556,EUR,1074816000,M,10,10,True,5.0,3.0,,,0.0,2.0,2.0,2.0,5.0,,,,,,,8.0,12.0,7.0,4.0,0.0118022,1,,2.0,1.0,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,0.0112,1.0,,,,1.0,,,,,1.0,0.1283,,,
12437035,away,Brighton & Hove Albion,Jason Steele,,,jason-steele,J. Steele,G,23,188,538,M,,31867,EUR,650937600,G,23,23,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437035,away,Brighton & Hove Albion,Tariq Lamptey,,,lamptey-tariq,T. Lamptey,D,48,165,4021,M,TariqLamptey,914691,EUR,970272000,D,2,2,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437035,away,Brighton & Hove Albion,Brajan Gruda,Brajan Gruda,,gruda-brajan,B. Gruda,M,10,178,2810,M,,1198075,EUR,1085961600,M,8,8,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437035,away,Brighton & Hove Albion,Jakub Moder,,,jakub-moder,J. Moder,M,7,191,7174,M,kubamoder,886242,EUR,923443200,M,15,15,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
