match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_aerialWon,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_fouls,captain,stat_shotOffTarget,stat_dispossessed,player_lastName,stat_wonContest,stat_outfielderBlock,stat_goodHighClaim,stat_punches,stat_goals,player_sofascoreId,stat_totalOffside,stat_bigChanceMissed
14773674,away,Damac FC,Jamal Harkass,jamal-harkass,J. Harkass,D,15,185.0,1144,M,970761,EUR,817171200.0,D,15,15,False,42.0,36.0,3.0,,0.0,28.0,29.0,8.0,13.0,6.0,3.0,,,,,90.0,54.0,7.2,7.0,0.00227098,65.013909553725,11.0,22.26,10.08,,0,,0.13,0.04,0.28,,,,1.0,2.0,6.0,,,,,1.0,5.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,
14773674,away,Damac FC,Abdelkader Bedrane,abdelkader-bedrane,A. Bedrane,D,3,185.0,1163,M,906407,EUR,702172800.0,D,3,3,False,40.0,37.0,8.0,5.0,0.0,32.0,34.0,5.0,6.0,9.0,5.0,,,,,90.0,57.0,7.4,4.0,0.00329203,65.362909208286,10.0,11.655,6.615,,0,,0.13,0.04,0.67,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,3.0,,,,1.0,True,,,,,3.0,,,,,,
14773674,away,Damac FC,Abdulrahman Al-Obaid,abdulrahman-al-obaid,A. Al-Obaid,D,13,172.0,51,M,818705,EUR,736128000.0,D,13,13,False,46.0,37.0,6.0,,0.0,27.0,30.0,10.0,16.0,4.0,6.0,,,,,80.0,64.0,6.7,14.0,0.0405178,138.75377006275,18.0,26.04,24.57,,0,,0.24,0.05,0.13,,,3.0,1.0,1.0,1.0,,,,,3.0,,,,,,,1.0,1.0,,2.0,24.660262853425,1.0,,,,,,,1.0,,,,,,,
14773674,away,Damac FC,Alhwsawi Sanousi Mohammed,alhwsawi-sanousi-mohammed,A. S. Mohammed,D,12,172.0,20,M,1085415,EUR,902707200.0,M,12,12,False,19.0,16.0,1.0,1.0,0.0,7.0,8.0,9.0,11.0,3.0,2.0,,,,,90.0,46.0,6.9,9.0,0.0102093,101.88060576533,12.0,38.85,26.04,,0,,0.03,0.03,0.15,,Alhwsawi Sanousi Mohammed,,3.0,6.0,8.0,,2.0,2.0,,3.0,4.0,,1.0,,,,,2.0,,2.0,47.262946075619,2.0,1.0,2.0,,,,,1.0,,,,,,,
14773674,away,Damac FC,Riyadh Sharahili,riyadh-sharahili,R. Sharahili,M,26,185.0,28,M,818624,EUR,735955200.0,M,26,26,False,38.0,32.0,1.0,,0.0,17.0,20.0,15.0,18.0,1.0,4.0,,,,,90.0,47.0,6.4,8.0,0.00508153,89.977431389739,12.0,22.47,17.325,,0,,-0.07,0.09,-0.15,,,,,3.0,3.0,,2.0,1.0,2.0,1.0,,,1.0,,,,,1.0,,1.0,17.325,1.0,,2.0,,,,,,,,,,,,
14773674,away,Damac FC,Valentín Vada,valentin-vada,V. Vada,M,8,175.0,250,M,580802,EUR,826070400.0,M,8,8,False,54.0,45.0,3.0,2.0,0.0,23.0,27.0,22.0,27.0,,8.0,,,,,89.0,66.0,7.6,14.0,0.0204327,95.67592816602,14.0,50.61,18.585,,1,,0.09,0.11,-0.1,,,2.0,,5.0,2.0,1.0,,,,1.0,,1.0,2.0,0.0443,0.0488,0.55,,1.0,,2.0,18.846395119492,1.0,1.0,2.0,,,1.0,,,,,,1.0,,,
14773674,away,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,20,170.0,42,M,1214301,EUR,957571200.0,M,20,20,False,36.0,33.0,5.0,3.0,1.0,16.0,16.0,17.0,20.0,5.0,6.0,,,,,90.0,69.0,6.9,13.0,0.0139163,116.89825616973,12.0,70.875,28.35,,0,,-0.01,0.07,0.24,,Dhari Al-Enezi,3.0,,3.0,2.0,,1.0,1.0,,3.0,,,1.0,,,,1.0,3.0,,,28.423302060106,1.0,1.0,,,,,,,,,,,,,
14773674,away,Damac FC,Abdullah Al-Qahtani,abdullah-al-qahtani,A. Al-Qahtani,M,7,172.0,38,M,974064,EUR,854668800.0,F,7,7,False,32.0,27.0,1.0,1.0,0.0,15.0,17.0,12.0,15.0,,1.0,,,,,66.0,40.0,6.6,9.0,0.0153053,70.187640362204,10.0,8.19,8.295,,0,,-0.03,-0.53,-0.02,,,,,1.0,3.0,,1.0,,,3.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,
14773674,away,Damac FC,Morlaye Sylla,morlaye-sylla,M. Sylla,M,2,170.0,6357,M,822492,EUR,901497600.0,F,2,2,False,29.0,17.0,4.0,,0.0,9.0,11.0,8.0,18.0,2.0,1.0,,,,,90.0,47.0,6.6,18.0,0.0185081,119.86809014162,11.0,33.6,27.195,,2,,0.03,0.17,-0.05,,,1.0,,2.0,5.0,,3.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0891,0.2458,-0.28,,1.0,,,27.195765129887,1.0,,,,1.0,1.0,,,,,,,morlayesylla2,1.0,
14773674,away,Damac FC,Hazzaa Al-Ghamdi,hazzaa-al-ghamdi,H. Al-Ghamdi,F,90,174.0,33,M,1095802,EUR,979171200.0,F,90,90,False,14.0,11.0,2.0,,0.0,5.0,5.0,6.0,9.0,1.0,2.0,,,,,65.0,27.0,6.2,9.0,0.00619823,9.8592283673724,1.0,9.66,9.66,,1,,-0.12,0.31,0.14,,Hazzaa Ahmed Al-Ghamdi,,2.0,6.0,2.0,,1.0,1.0,,3.0,,,,0.4985,,-0.52,,2.0,,,9.8592283673724,1.0,,1.0,,1.0,2.0,,1.0,,,,,,2.0,1.0
14773674,away,Damac FC,Yahya Naji,yahya-naji,Y. Naji,F,80,170.0,27,M,984587,EUR,920332800.0,F,80,80,True,8.0,5.0,1.0,,0.0,,,5.0,8.0,,2.0,,,,,25.0,12.0,6.7,5.0,0.0275204,44.383768626465,3.0,28.035,14.175,,0,,0.11,0.11,0.13,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,15.041663771006,1.0,1.0,,,,,,1.0,,,,,,,
14773674,away,Damac FC,Jesús Medina,jesus-medina,J. Medina,M,28,179.0,371,M,589306,EUR,862358400.0,M,28,28,True,6.0,5.0,1.0,1.0,0.0,2.0,2.0,3.0,4.0,,,,,,,24.0,14.0,6.6,4.0,0.00340288,14.695388967802,4.0,1.68,3.885,,2,,-0.09,0.13,0.0,,,1.0,,1.0,2.0,,,,,1.0,2.0,1.0,,0.0498,0.0712,-0.34,,,1.0,,,,,1.0,,,,,,,,,,,1.0,
14773674,away,Damac FC,Hassan Rubayyi,hassan-rubayyi,H. Rubayyi,D,5,,2,M,1163711,EUR,1056240000.0,D,5,5,True,3.0,2.0,1.0,1.0,0.0,2.0,3.0,,,2.0,1.0,,,,,10.0,6.0,6.7,1.0,3.6e-06,,,,,,0,,-0.01,,0.14,,Hassan Rubayyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773674,away,Damac FC,Khaled Al-Semeiry,khaled-al-semeiry,K. Al-Semeiry,M,88,170.0,35,M,857390,EUR,852076800.0,M,88,88,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,1.0,3.0,,2.0,4.81e-06,32.489304470884,2.0,24.045,13.44,,0,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,13.649102534599,1.0,,,,,,,,,,,,,,
14773674,away,Damac FC,Moataz Al-Baqaawi,moataz-al-baqaawi,M. Al-Baqaawi,G,33,180.0,23,M,892891,EUR,883872000.0,G,33,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773674,away,Damac FC,Naser Al Ghamdi,naser-al-ghamdi,N. A. Ghamdi,G,30,183.0,6,M,1916942,EUR,979948800.0,G,30,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Naser Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773674,away,Damac FC,Jawad Alhassan,jawad-alhassan,J. Alhassan,D,23,175.0,11,M,1916966,EUR,1104537600.0,F,23,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Jawad Alhassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773674,away,Damac FC,Tariq Mohammed,tariq-mohammed,T. Mohammed,M,6,170.0,26,M,871619,EUR,810345600.0,D,6,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
