match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_penaltyConceded,stat_blockedScoringAttempt,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,captain,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_clearanceOffLine,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_penaltyWon,stat_totalOffside,stat_errorLeadToAShot
11396441,away,TSG Hoffenheim,Kevin Vogt,kevin-vogt,K. Vogt,D,7,194,163,M,48660,EUR,685584000,D,22,22,False,51.0,43.0,6.0,4.0,32.0,34.0,11.0,17.0,6.0,8.0,,,,,,90.0,69.0,7.5,11.0,0.0,0.0,0.00555967,0,,,,,,,3.0,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,
11396441,away,TSG Hoffenheim,Pavel Kadeřábek,pavel-kaderabek,P. Kadeřábek,M,3,182,266,M,109296,EUR,704160000,M,3,3,False,27.0,13.0,4.0,,7.0,11.0,6.0,17.0,1.0,6.0,,,,,,89.0,44.0,7.4,17.0,0.1761,0.0,0.0128647,1,,,,1.0,1.0,3.0,2.0,4.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,
11396441,away,TSG Hoffenheim,Grischa Prömel,grischa-promel,G. Prömel,M,6,182,280,M,253993,EUR,789609600,M,6,6,False,30.0,20.0,5.0,1.0,9.0,11.0,11.0,20.0,,8.0,,,,,,90.0,42.0,6.8,17.0,0.0,0.0,0.371998,0,,,,1.0,2.0,,8.0,2.0,,,,,1.0,,2.0,,2.0,,,,2.0,,1.0,4.0,1.0,,,,,,1.0,1.0,,,,
11396441,away,TSG Hoffenheim,Anton Stach,anton-stach,A. Stach,M,18,192,1470,M,889861,EUR,911088000,M,16,16,False,37.0,31.0,4.0,,23.0,24.0,8.0,14.0,2.0,7.0,,,,,,90.0,58.0,7.2,9.0,0.0336,0.0,0.0144165,1,,,,1.0,4.0,3.0,8.0,8.0,1.0,,,5.0,3.0,3.0,1.0,1.0,2.0,,,1.0,,,1.0,2.0,2.0,,,,,,,,,,,
11396441,away,TSG Hoffenheim,Andrej Kramarić,andrej-kramaric,A. Kramarić,F,27,177,7591,M,67647,EUR,677289600,M,27,27,False,27.0,24.0,1.0,1.0,16.0,17.0,11.0,15.0,1.0,4.0,,,,,,74.0,46.0,7.9,10.0,0.7884,0.9919,0.42869,1,,,,5.0,,,4.0,4.0,,,,,1.0,,2.0,3.0,1.0,andrejkramaric,,,3.0,3.0,1.0,2.0,,1.0,,,,,,1.0,1.0,1.0,1.0,
11396441,away,TSG Hoffenheim,Robert Skov,robert-skov,R. Skov,M,24,183,755,M,327863,EUR,832550400,M,29,29,False,36.0,27.0,5.0,2.0,13.0,19.0,14.0,19.0,2.0,4.0,,,,,,74.0,58.0,6.6,14.0,0.0714,0.0,0.0112542,1,,,,2.0,,,4.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0
11396441,away,TSG Hoffenheim,Wout Weghorst,wout-weghorst,W. Weghorst,F,25,197,6772,M,252215,EUR,713145600,F,10,10,False,21.0,17.0,,,11.0,12.0,6.0,9.0,,1.0,,,,,,55.0,24.0,6.7,5.0,0.0372,0.0,0.0084941,1,,,,,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,,1.0,wout.weghorst,,,,,,,,,,,,,,,,,,
11396441,away,TSG Hoffenheim,Maximilian Beier,maximilian-beier,M. Beier,F,14,183,4887,M,980628,EUR,1034812800,F,14,14,False,8.0,5.0,1.0,,3.0,4.0,2.0,4.0,,1.0,,,,,,55.0,19.0,7.5,6.0,0.4749,1.0757,0.00062825,3,,,,,1.0,1.0,2.0,5.0,1.0,,,,,,3.0,2.0,,,,1.0,,,,2.0,2.0,2.0,,,,,,,1.0,,,
11396441,away,TSG Hoffenheim,Mergim Berisha,mergim-berisha,M. Berisha,F,20,186,561,M,770083,EUR,894844800,F,7,7,True,4.0,4.0,,,2.0,2.0,2.0,2.0,,1.0,,,,,,35.0,12.0,6.6,4.0,0.0334,0.0,0.0525802,1,,,,,1.0,,3.0,1.0,,,1.0,,,,1.0,,1.0,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,
11396441,away,TSG Hoffenheim,Ihlas Bebou,ihlas-bebou,I. Bebou,F,9,183,465,M,254297,EUR,767059200,F,9,9,True,7.0,5.0,,,1.0,1.0,4.0,7.0,,1.0,,,,,,35.0,18.0,6.7,6.0,0.1053,0.0,0.00686804,1,,,,1.0,2.0,,4.0,4.0,,,,,2.0,,3.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,
11396441,away,TSG Hoffenheim,Finn Ole Becker,becker-finn-ole,F. O. Becker,M,25,177,144,M,979821,EUR,960422400,M,20,20,True,8.0,4.0,2.0,,1.0,1.0,3.0,7.0,2.0,2.0,,,,,,16.0,17.0,5.9,8.0,0.0,0.0,0.00629379,0,,,,,1.0,1.0,8.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,2.0,2.0,,,,,,,,,,,,
11396441,away,TSG Hoffenheim,Marius Bülter,marius-bulter,M. Bülter,F,30,188,454,M,378340,EUR,733363200,F,21,21,True,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,,16.0,11.0,6.7,3.0,0.0,0.0,0.00012882,0,,,,1.0,1.0,,2.0,2.0,,,,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
11396441,away,TSG Hoffenheim,Kevin Akpoguma,kevin-akpoguma,K. Akpoguma,D,25,192,335,M,187423,EUR,798249600,D,25,25,True,2.0,,1.0,,,,,2.0,,,,,,,,1.0,4.0,,2.0,0.0,0.0,0.00024396,0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396441,away,TSG Hoffenheim,Luca Philipp,luca-philipp,L. Philipp,G,37,192,119,M,943550,EUR,975369600,G,37,37,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396441,away,TSG Hoffenheim,Attila Szalai,attila-szalai,A. Szalai,D,41,192,2460,M,823092,EUR,885254400,D,41,41,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396441,away,TSG Hoffenheim,Diadié Samassékou,diadie-samassekou,D. Samassékou,M,18,175,1706,M,796358,EUR,821318400,M,18,18,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396441,away,TSG Hoffenheim,Tom Bischof,tom-bischof,T. Bischof,M,20,176,6361,M,1129935,EUR,1119916800,M,39,39,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
