match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_totalTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_challengeLost,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_expectedGoals,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_accurateCross,stat_lastManTackle
11067626,home,Cruzeiro,Arthur Gomes,arthur-gomes,Arthur Gomes,M,11,175,667,M,822524,EUR,899424000,F,19,19,False,,11.0,10.0,2.0,2.0,2.0,,,60.0,17.0,6.7,0.00484262,3,,,,,,8.0,9.0,,2.0,4.0,1.0,,,,1.0,1.0,2.0,,,,,,,,1.0,,2.0,,,0.4021,,,,1.0,0.1052,,,,
11067626,home,Cruzeiro,Fernando Henrique,fernando-henrique,F. Henrique,M,30,182,169,M,1067634,EUR,991353600,M,15,15,True,,17.0,14.0,4.0,5.0,1.0,,,75.0,30.0,6.6,0.00713982,1,,Fernando Henrique,,1.0,1.0,10.0,12.0,,2.0,3.0,7.0,1.0,,2.0,5.0,,4.0,,,,1.0,1.0,,,,,1.0,,,0.8434,,,,,,1.0,,,
11067626,home,Cruzeiro,Robert,robert,Robert,M,16,174,1184,M,1500254,EUR,1113350400,F,80,80,True,,5.0,3.0,1.0,2.0,1.0,,,30.0,12.0,6.6,0.00766655,2,,Robert,,,,2.0,3.0,,,3.0,1.0,,,1.0,,,3.0,,,,,,2.0,,1.0,,1.0,,,0.0513,,,,1.0,0.0988,,,,
11067626,home,Cruzeiro,Kaiki,kaiki,Kaiki,D,6,172,2601,M,1112484,EUR,1047081600,D,14,14,True,,2.0,2.0,1.0,1.0,1.0,,,14.0,11.0,6.7,0.00017993,1,,Kaiki,,,,1.0,2.0,1.0,,1.0,2.0,,2.0,,1.0,,3.0,,1.0,,1.0,,,,1.0,,1.0,,,0.0384,,,,,,,,,
11067626,home,Cruzeiro,Nikão,nikao,Nikão,M,11,174,442,M,139300,EUR,712368000,M,10,10,True,,4.0,3.0,1.0,1.0,1.0,,,14.0,8.0,7.4,0.00325421,1,,,,,,2.0,3.0,,,,1.0,,,,,,2.0,,,,,,,,1.0,1.0,,,,0.033,,,,1.0,0.2527,,1.0,,
11067626,home,Cruzeiro,Anderson,anderson,Anderson,G,12,190,353,M,942061,EUR,889056000,G,98,98,True,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,Helibelton Palacios,helibelton-palacios,H. Palacios,D,13,181,374,M,329597,EUR,739584000,D,24,24,True,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,Wesley Gasolina,wesley-gasolina,Wesley Gasolina,D,52,170,312,M,994479,EUR,952905600,D,2,2,True,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,Ruan Santos,ruan-santos,R. Santos,D,4,187,99,M,1416498,EUR,1066089600,D,34,34,True,,,,,,,,,,,,,0,,Ruan Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,João Pedro Jotta,joao-pedro,J. Pedro,M,19,178,288,M,1517440,EUR,1044144000,F,55,55,True,,,,,,,,,,,,,0,,João Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,Lucas Oliveira,lucas-oliveira,L. Oliveira,M,29,187,766,M,867907,EUR,823219200,D,6,6,True,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,Henrique Rodrigues,henrique-cardoso,H. Rodrigues,M,,180,33,M,1459625,EUR,1045872000,M,25,25,True,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067626,home,Cruzeiro,Rafael Elias,rafael-elias,Rafael Elias,F,9,179,1250,M,928527,EUR,923875200,F,40,40,True,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067626,away,Palmeiras,Weverton,weverton,Weverton,G,1,189,7138,M,243529,EUR,566352000,G,21,21,False,,40.0,26.0,23.0,26.0,10.0,1.0,5.0,90.0,50.0,7.2,0.00170169,0,0.4341,,,19.0,5.0,3.0,14.0,,,,,,1.0,,,,14.0,,,,,,,,,,,,,,Weverton,,,,,,,,
11067626,away,Palmeiras,Marcos Rocha,marcos-rocha,M. Rocha,D,14,176,2464,M,82576,EUR,597801600,D,2,2,False,,56.0,41.0,27.0,31.0,4.0,,,90.0,75.0,6.8,0.00647063,0,,,,16.0,6.0,15.0,26.0,1.0,,1.0,1.0,,2.0,1.0,,,22.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,
11067626,away,Palmeiras,Gustavo Gómez,gustavo-gomez,G. Gómez,D,15,185,8380,M,220833,EUR,736646400,D,15,15,False,True,27.0,22.0,20.0,20.0,1.0,,,90.0,39.0,6.9,0.00036647,1,,,,1.0,,2.0,7.0,,1.0,3.0,5.0,,5.0,,1.0,1.0,5.0,,4.0,1.0,2.0,,1.0,,,,1.0,,,0.0387,gustavogomez,,,,,,,,
11067626,away,Palmeiras,Murilo,murilo,Murilo,D,26,188,4420,M,874729,EUR,859420800,D,26,26,False,,36.0,34.0,30.0,31.0,1.0,,,90.0,47.0,6.9,0.00146576,0,,,,4.0,3.0,4.0,5.0,,,3.0,1.0,,8.0,,,3.0,2.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,
