match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_blockedScoringAttempt,stat_fouls,captain,stat_shotOffTarget,stat_unsuccessfulTouch,stat_dispossessed,player_sofascoreId,stat_outfielderBlock,stat_bigChanceCreated,stat_bigChanceMissed
12499740,away,VfL Wolfsburg,Ridle Baku,,,ridle-baku,R. Baku,M,17,176,1448,M,856553,EUR,891993600,M,20,20,False,28.0,26.0,1.0,1.0,0.0,12.0,13.0,14.0,16.0,5.0,,,,90.0,46.0,6.8,8.0,0.151529,0,,2.0,,7.0,3.0,2.0,2.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,2.0,2.0,,1.0,,
12499740,away,VfL Wolfsburg,Jonas Wind,,,jonas-wind,J. Wind,F,23,190,2374,M,826069,EUR,918345600,M,23,23,False,19.0,15.0,1.0,,0.0,4.0,4.0,11.0,15.0,4.0,,,,78.0,29.0,7.1,7.0,0.0280151,1,,3.0,6.0,7.0,8.0,1.0,,,,2.0,,,1.0,1.0,1.0,1.0,,0.2108,0.7367,1.0,,,2.0,,,1.0,2.0,,1.0,,1.0
12499740,away,VfL Wolfsburg,Tiago Tomás,,,tiago-tomas,T. Tomás,F,8,180,1353,M,983540,EUR,1024185600,M,11,11,False,19.0,12.0,1.0,,0.0,3.0,3.0,9.0,16.0,2.0,,,,90.0,40.0,6.7,16.0,0.145183,2,,1.0,1.0,6.0,2.0,,,,,1.0,,,2.0,,1.0,,,0.1865,0.146,1.0,,,1.0,,1.0,4.0,2.0,,,1.0,
12499740,away,VfL Wolfsburg,Mohamed Amoura,Mohamed El Amine Amoura,,mohamed-el-amine-amoura,M. E. A. Amoura,F,9,169,31367,M,1107591,EUR,957830400,F,9,9,False,15.0,12.0,,,0.0,4.0,4.0,8.0,11.0,2.0,,,,89.0,24.0,6.9,6.0,0.0693923,3,,1.0,,5.0,2.0,,,,,,,,4.0,2.0,2.0,,2.0,0.5516,1.3421,1.0,,,2.0,,1.0,,,amoura9,,,1.0
12499740,away,VfL Wolfsburg,Jakub Kamiński,,,jakub-kaminski,J. Kamiński,M,16,178,5205,M,801263,EUR,1023235200,M,16,16,True,3.0,1.0,,,0.0,1.0,1.0,1.0,3.0,,,,,23.0,8.0,6.6,3.0,0.0972162,0,,,,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,,jakub.kaminskii,,,
12499740,away,VfL Wolfsburg,Lovro Majer,,,lovro-majer,L. Majer,M,10,179,4795,M,841947,EUR,884995200,M,19,19,True,8.0,7.0,,,0.0,3.0,3.0,4.0,6.0,,,,,12.0,11.0,6.7,2.0,0.00806925,0,,,1.0,1.0,3.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,,lovromajer,,,
12499740,away,VfL Wolfsburg,Kevin Behrens,,,kevin-behrens,K. Behrens,F,91,184,493,M,164171,EUR,665539200,F,17,17,True,1.0,,,,0.0,,,,1.0,,,,,1.0,3.0,,1.0,,1,,,2.0,,2.0,1.0,,,,,,,,,,,,0.1048,,,,,,,1.0,,,,,,
12499740,away,VfL Wolfsburg,Marius Müller,,,marius-muller,M. Müller,G,29,192,130,M,136933,EUR,742435200,G,29,29,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499740,away,VfL Wolfsburg,Mathys Angely,,,mathys-angely,M. Angely,D,4,190,250,M,1606624,EUR,1177632000,D,22,22,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499740,away,VfL Wolfsburg,Cedric Zesiger,,,cedric-zesiger,C. Zesiger,D,16,191,349,M,798926,EUR,898646400,D,5,5,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499740,away,VfL Wolfsburg,David Odogu,,,odogu-david,D. Odogu,D,27,190,1304,M,1424191,EUR,1149292800,D,33,33,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499740,away,VfL Wolfsburg,Bence Dárdai,Bence Dárdai,,bence-dardai,B. Dárdai,M,8,185,1186,M,1418624,EUR,1138060800,M,24,24,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
