match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_fouls,player_firstName,player_lastName,stat_penaltyConceded,stat_wonTackle,stat_keyPass,captain,stat_goalAssist,stat_totalCross,stat_unsuccessfulTouch,stat_accurateCross,stat_totalContest,stat_bigChanceCreated,stat_wasFouled,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_wonContest,stat_totalOffside,stat_accurateKeeperSweeper,stat_penaltyWon
11409040,away,FC Porto,João Mário,joao-mario,J. Mário,D,17,178,3148,M,902031,EUR,946857600,D,23,23,False,29.0,24.0,2.0,,16.0,17.0,8.0,16.0,1.0,,,,,,68.0,47.0,6.0,12.0,0.00590816,1,,,,3.0,2.0,,1.0,1.0,,,,,,,,,,,,4.0,,,2.0,,2.0,,1.0,,,,0.0896,,,,,,
11409040,away,FC Porto,Pepe,pepe,Pepe,D,,188,6226,M,5884,EUR,415065600,D,3,3,False,73.0,64.0,8.0,5.0,42.0,42.0,22.0,31.0,1.0,,,,,,90.0,82.0,6.5,9.0,0.0142792,2,,1.0,2.0,1.0,4.0,,,3.0,1.0,,,1.0,,,1.0,,,True,,,,,1.0,,1.0,,2.0,,,,0.1029,,Pepe,1.0,,,
11409040,away,FC Porto,Fábio Cardoso,fabio-cardoso,F. Cardoso,D,15,187,510,M,252815,EUR,766713600,D,2,2,False,60.0,54.0,5.0,2.0,41.0,43.0,13.0,17.0,5.0,,,,,,90.0,69.0,6.8,6.0,0.0046395,1,,1.0,1.0,3.0,2.0,,,4.0,3.0,,,2.0,,,,,,,,,,,,,1.0,,,1.0,,,0.0196,0.0189,,,,,
11409040,away,FC Porto,Wendell,wendell,Wendell,D,18,176,3234,M,335033,EUR,743126400,D,18,18,False,51.0,45.0,5.0,3.0,27.0,27.0,18.0,27.0,5.0,,,,,,90.0,91.0,6.6,14.0,0.117483,3,,1.0,4.0,5.0,9.0,,,3.0,,2.0,2.0,3.0,,,,1.0,1.0,,,3.0,,,2.0,,2.0,,1.0,,2.0,,0.1337,,,1.0,,,
11409040,away,FC Porto,Alan Varela,alan-varela,A. Varela,M,22,177,5689,M,1066560,EUR,994204800,M,22,22,False,17.0,15.0,5.0,5.0,5.0,5.0,10.0,12.0,,,,,,,43.0,22.0,6.7,3.0,0.0195611,0,,,,1.0,1.0,,,,,,1.0,1.0,Alan Varela,,,1.0,,,,,1.0,,,,,,,,,,,,alan_varela01,,,,
11409040,away,FC Porto,Nico González,nico-gonzalez,N. González,M,14,186,19859,M,954056,EUR,1010016000,M,16,16,False,43.0,40.0,1.0,1.0,7.0,7.0,33.0,36.0,3.0,,,,,,77.0,59.0,7.6,6.0,0.0928752,2,,,,1.0,8.0,,,1.0,,,4.0,,,,,3.0,3.0,,,,1.0,,5.0,,,1.0,1.0,1.0,,,0.5349,0.2417,nico14,4.0,,,
11409040,away,FC Porto,Francisco Conceição,francisco-conceicao,F. Conceição,F,7,170,19864,M,979222,EUR,1039824000,M,10,10,False,23.0,20.0,1.0,,4.0,4.0,18.0,23.0,2.0,,,,,,90.0,44.0,7.5,10.0,0.159967,4,,3.0,1.0,6.0,4.0,,1.0,,1.0,,,,,,,,1.0,,,4.0,1.0,2.0,3.0,,2.0,,1.0,2.0,1.0,1.0,0.2337,0.4317,FConceicao_7,1.0,,,
11409040,away,FC Porto,Pepê,pepe,Pepê,F,11,175,5029,M,882664,EUR,856742400,M,11,11,False,34.0,28.0,3.0,3.0,8.0,8.0,20.0,26.0,2.0,,,,,,90.0,50.0,6.8,12.0,0.0256568,0,,,2.0,3.0,6.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,4.0,,1.0,,4.0,,,,,,,,pepe,1.0,1.0,,
11409040,away,FC Porto,Wenderson Galeno,wenderson-galeno,W. Galeno,M,13,178,4340,M,845754,EUR,877478400,M,13,13,False,22.0,18.0,1.0,,3.0,3.0,16.0,22.0,1.0,,,,,,68.0,44.0,7.4,12.0,0.241605,3,,2.0,1.0,3.0,5.0,,,,,,2.0,,,,,1.0,3.0,,,3.0,3.0,1.0,2.0,,1.0,,,2.0,1.0,,0.0953,0.0615,w_galeno90,1.0,,,
11409040,away,FC Porto,Evanilson,evanilson,Evanilson,F,9,181,7635,M,998490,EUR,939168000,F,30,30,False,12.0,11.0,1.0,1.0,7.0,7.0,4.0,5.0,1.0,,,,,,77.0,29.0,7.7,6.0,0.0247283,3,,2.0,,6.0,8.0,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,3.0,,2.0,,6.0,,,1.0,2.0,1.0,0.8685,0.9955,evanilsonlima99,1.0,1.0,,1.0
11409040,away,FC Porto,Stephen Eustaquio,stephen-eustaquio,S. Eustaquio,M,6,178,1808,M,886223,EUR,851126400,M,6,6,True,40.0,32.0,2.0,,16.0,18.0,17.0,24.0,3.0,,,,,,47.0,48.0,6.8,9.0,0.157505,0,,1.0,1.0,2.0,4.0,,,,,,2.0,1.0,,,,1.0,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,
11409040,away,FC Porto,Mehdi Taremi,mehdi-taremi,M. Taremi,F,99,187,20235,M,812533,EUR,711417600,F,9,9,True,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,22.0,4.0,6.5,,0.00011311,0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,mehditaremi9,,1.0,,
11409040,away,FC Porto,Gonçalo Borges,goncalo-borges,G. Borges,F,11,184,1083,M,979221,EUR,985824000,F,70,70,True,3.0,2.0,,,1.0,1.0,2.0,5.0,1.0,,,,,,22.0,10.0,6.7,4.0,0.0164475,0,,,,1.0,3.0,1.0,,,,,2.0,,,,,,1.0,,,3.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,
11409040,away,FC Porto,Iván Jaime,ivan-jaime,I. Jaime,M,11,180,1015,M,951986,EUR,969926400,M,17,17,True,5.0,3.0,2.0,1.0,,1.0,3.0,4.0,,,,,,,13.0,7.0,6.8,2.0,0.0365169,1,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,0.0367,,,,,,
11409040,away,FC Porto,Toni Martínez,toni-martinez,T. Martínez,F,11,180,1253,M,831253,EUR,867628800,F,29,29,True,4.0,2.0,,,1.0,1.0,1.0,3.0,,,,,,,13.0,5.0,6.5,3.0,0.0590679,0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
11409040,away,FC Porto,Cláudio Ramos,claudio-ramos,C. Ramos,G,14,183,1032,M,116372,EUR,690249600,G,14,14,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409040,away,FC Porto,Otávio,otavio,Otávio,D,6,188,1431,M,1069159,EUR,1019347200,D,31,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409040,away,FC Porto,André Franco,andre-franco,A. Franco,M,10,177,622,M,851286,EUR,892339200,M,20,20,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409040,away,FC Porto,Marko Grujić,marko-grujic,M. Grujić,M,4,190,1584,M,280835,EUR,829353600,M,8,8,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
