match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_wasFouled,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_shotOffTarget,stat_goals,player_sofascoreId,player_firstName,player_lastName,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalOffside
12499530,home,Eintracht Frankfurt,Hugo Ekitiké,hugo-ekitike,H. Ekitiké,F,22,190,97147,M,1048422,EUR,1024531200,F,11,11,False,,23.0,16.0,,,0.0,4.0,6.0,12.0,17.0,,,,,,90.0,38.0,7.2,14.0,0.0446003,3,,,1.0,2.0,5.0,6.0,1.0,,,6.0,3.0,1.0,,,3.0,3.0,1.0,,,,0.1307,0.0236,1.0,2.0,,hekitike,Hugo Ekitiké,,,,,,,
12499530,home,Eintracht Frankfurt,Michy Batshuayi,michy-batshuayi,M. Batshuayi,F,22,185,6853,M,147745,EUR,749520000,F,30,30,True,,4.0,4.0,,,0.0,1.0,1.0,3.0,3.0,,,,,,45.0,8.0,7.1,2.0,0.00224117,2,,,,,2.0,,,,,,1.0,,,,2.0,,1.0,,,,0.383,0.8485,,1.0,1.0,mbatshuayi,,,,,,,,
12499530,home,Eintracht Frankfurt,Can Uzun,can-uzun,C. Uzun,M,42,186,10657,M,1440948,EUR,1131667200,M,20,20,True,,16.0,14.0,,,0.0,3.0,4.0,11.0,12.0,,1.0,,,,29.0,21.0,6.4,4.0,0.0106394,1,,,,1.0,2.0,3.0,,,,,,,,1.0,3.0,2.0,,,,,0.3097,,,1.0,,can.uzun10,Can Uzun,,,,1.0,,,
12499530,home,Eintracht Frankfurt,Farès Chaïbi,fares-chaibi,F. Chaïbi,M,8,183,17688,M,1192318,EUR,1038441600,M,8,8,True,,13.0,12.0,1.0,1.0,1.0,3.0,3.0,10.0,12.0,,,,,,21.0,18.0,7.2,4.0,0.216175,0,,2.0,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,fareschaibi28,,,1.0,,,,,
12499530,home,Eintracht Frankfurt,Nnamdi Collins,nnamdi-collins,N. Collins,D,34,191,1316,M,1048569,EUR,1073692800,D,34,34,True,,24.0,21.0,,,0.0,11.0,12.0,11.0,13.0,,3.0,,,,11.0,29.0,6.7,4.0,0.0177583,0,,1.0,,1.0,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,Nnamdi Collins,,,,,,,
12499530,home,Eintracht Frankfurt,Jens Grahl,jens-grahl,J. Grahl,G,33,193,154,M,27214,EUR,590889600,G,33,33,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499530,home,Eintracht Frankfurt,Aurèle Amenda,aurele-amenda,A. Amenda,D,5,194,696,M,999276,EUR,1059609600,D,5,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499530,home,Eintracht Frankfurt,Niels Nkounkou,nkounkou-niels,N. Nkounkou,D,25,184,549,M,941179,EUR,973036800,D,29,29,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499530,home,Eintracht Frankfurt,Oscar Højlund,oscar-hojlund,O. Højlund,M,6,184,1040,M,1149113,EUR,1104796800,M,6,6,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Oscar Höjlund,,,,,,,
12499530,home,Eintracht Frankfurt,Elye Wahi,elye-wahi,E. Wahi,F,11,180,3170,M,979315,EUR,1041465600,F,17,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,e.wahi7,,,,,,,,
12499530,away,FC St. Pauli,Ben Voll,ben-voll,B. Voll,G,1,195,91,M,987437,EUR,976320000,G,1,1,False,,44.0,23.0,28.0,7.0,0.0,16.0,17.0,7.0,27.0,,10.0,,,,90.0,53.0,7.2,21.0,0.00195367,0,0.4178,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,2.0,4.0,
12499530,away,FC St. Pauli,David Nemeth,david-nemeth,D. Nemeth,D,4,191,155,M,966889,EUR,984873600,D,4,4,False,,27.0,17.0,6.0,1.0,0.0,15.0,18.0,2.0,9.0,4.0,2.0,,,,90.0,34.0,6.2,10.0,0.00323051,0,,,1.0,1.0,3.0,2.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
12499530,away,FC St. Pauli,Hauke Wahl,hauke-wahl,H. Wahl,D,5,189,150,M,253469,EUR,766368000,D,5,5,False,,32.0,24.0,6.0,1.0,0.0,20.0,23.0,4.0,9.0,6.0,1.0,,,,90.0,44.0,6.5,8.0,0.00358163,0,,,,1.0,,2.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
12499530,away,FC St. Pauli,Lars Ritzka,lars-ritzka,L. Ritzka,D,21,185,86,M,873347,EUR,894499200,D,21,21,False,,16.0,11.0,3.0,2.0,0.0,9.0,12.0,2.0,5.0,2.0,,,,,84.0,32.0,6.3,7.0,0.0070954,0,,1.0,4.0,,6.0,4.0,1.0,,2.0,,1.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,
12499530,away,FC St. Pauli,Manolis Saliakas,manolis-saliakas,M. Saliakas,M,2,175,358,M,280551,EUR,842486400,M,2,2,False,,22.0,14.0,5.0,1.0,0.0,10.0,13.0,4.0,10.0,3.0,4.0,,,,90.0,40.0,7.2,11.0,0.00355292,1,,1.0,,,,3.0,,,,,,,,,,,1.0,,3.0,1.0,0.0481,0.1753,,,1.0,,,,,,,,,
12499530,away,FC St. Pauli,Carlo Boukhalfa,carlo-boukhalfa,C. Boukhalfa,M,11,185,501,M,939623,EUR,925689600,M,16,16,False,,16.0,15.0,,,0.0,10.0,10.0,5.0,6.0,3.0,3.0,,,,90.0,27.0,6.5,4.0,0.0182532,0,,,3.0,,6.0,2.0,,,,2.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
