match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,captain,stat_dispossessed,stat_blockedScoringAttempt,stat_wasFouled,stat_keyPass,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_accurateCross,stat_hitWoodwork,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_outfielderBlock,stat_penaltyConceded
12765142,away,FC Noah,Eraldo Cinari,,,eraldo-cinari,E. Cinari,M,11,181,86,M,891613,EUR,844992000,M,11,11,False,40.0,30.0,3.0,2.0,0.0,11.0,14.0,20.0,29.0,1.0,6.0,,11.0,,,,,90.0,60.0,7.4,18.0,0.813226,2,,3.0,2.0,10.0,2.0,,3.0,2.0,2.0,2.0,4.0,1.0,1.0,0.332,,1.0,,1.0,4.0,2.0,1.0,,2.0,0.2479,1.0,1.0,,,,,,,
12765142,away,FC Noah,Artak Dashyan,,,artak-dashyan,A. Dashyan,M,10,181,81,M,583996,EUR,627523200,M,10,10,False,11.0,6.0,,,0.0,3.0,5.0,3.0,6.0,,2.0,,2.0,,,,,37.0,17.0,6.7,6.0,0.00616796,0,,,,2.0,2.0,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,
12765142,away,FC Noah,Gustavo Sangaré,,,gustavo-sangare,G. Sangaré,M,17,180,2992,M,1019038,EUR,847411200,M,17,17,False,27.0,17.0,3.0,1.0,0.0,9.0,12.0,8.0,15.0,,7.0,2.0,11.0,,,,,89.0,46.0,6.7,13.0,0.017975,0,,,1.0,5.0,1.0,2.0,3.0,2.0,1.0,1.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,
12765142,away,FC Noah,Virgile Pinson,,,pinson-virgile,V. Pinson,M,10,177,60,M,949372,EUR,824947200,M,93,93,False,23.0,17.0,2.0,1.0,2.0,3.0,4.0,14.0,21.0,2.0,14.0,4.0,4.0,,,,,90.0,57.0,8.5,16.0,0.175494,1,,2.0,1.0,8.0,,3.0,2.0,,3.0,2.0,9.0,5.0,,0.069,,1.0,,5.0,2.0,2.0,1.0,,1.0,0.1988,,,,,,,,,
12765142,away,FC Noah,Matheus Aiás,,,matheus-aias,M. Aiás,F,9,175,296,M,899902,EUR,851904000,F,9,9,False,17.0,11.0,,,0.0,5.0,5.0,6.0,13.0,2.0,6.0,1.0,5.0,,,,,68.0,38.0,8.5,12.0,0.0858315,4,,1.0,,4.0,,2.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0,1.7157,,1.0,,,2.0,1.0,3.0,2.0,1.0,2.137,2.0,,,,,,,,
12765142,away,FC Noah,Imran Oulad Omar,,,imran-oulad-omar,I. O. Omar,M,11,181,204,M,858888,EUR,881798400,F,81,81,False,14.0,11.0,2.0,2.0,0.0,3.0,3.0,8.0,11.0,,2.0,,2.0,,,,,68.0,24.0,6.6,6.0,0.0249138,0,,,2.0,5.0,3.0,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
12765142,away,FC Noah,Artem Avanesyan,,,artem-avanesyan,A. Avanesyan,M,18,177,19,M,862988,EUR,932169600,M,18,18,True,16.0,12.0,2.0,,0.0,4.0,5.0,9.0,12.0,,2.0,2.0,4.0,,,,,53.0,25.0,6.1,7.0,0.0609027,0,,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,
12765142,away,FC Noah,Hovhannes Hambardzumyan,,,hovhannes-hambardzumyan,H. Hambardzumyan,D,19,179,119,M,57291,EUR,654998400,D,19,19,True,14.0,14.0,2.0,2.0,0.0,9.0,9.0,6.0,6.0,1.0,3.0,3.0,4.0,,,,,45.0,29.0,6.2,5.0,0.0276278,0,,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0
12765142,away,FC Noah,Gor Manvelyan,,,gor-manvelyan,G. Manvelyan,M,10,180,193,M,1129370,EUR,1018310400,M,27,27,True,15.0,10.0,1.0,1.0,0.0,2.0,3.0,8.0,12.0,,6.0,,4.0,,,,,22.0,23.0,7.0,5.0,0.0209301,1,,,,,,1.0,,,,,3.0,3.0,,0.079,,,,3.0,,,1.0,,,0.7598,,,,,,,,,
12765142,away,FC Noah,Gonçalo Gregório,,,goncalo-gregorio,G. Gregório,F,8,184,177,M,842288,EUR,803088000,F,8,8,True,10.0,9.0,1.0,1.0,0.0,7.0,7.0,2.0,3.0,2.0,4.0,,2.0,,,,,22.0,14.0,6.7,2.0,0.00447051,0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,
12765142,away,FC Noah,Grenik Petrosyan,,,grenik-petrosyan,G. Petrosyan,M,10,174,24,M,958802,EUR,1007510400,F,30,30,True,,,,,0.0,,,,,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765142,away,FC Noah,Arthur Luiz Coneglian,Arthur Luiz,Coneglian,arthur-luiz-coneglian,A. L. Coneglian,G,29,186,90,M,1588359,EUR,1085875200,G,29,29,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765142,away,FC Noah,Pablo Santos,,,pablo-santos,P. Santos,D,27,185,62,M,874392,EUR,700876800,D,28,28,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765142,away,FC Noah,Guðmundur Þórarinsson,,,gudmundur-thorarinsson,G. Þórarinsson,D,4,183,59,M,66758,EUR,703296000,D,4,4,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765142,away,FC Noah,Bryan Mendoza,,,mendoza-bryan,B. Mendoza,D,,180,17,M,1001795,EUR,731462400,M,14,14,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765142,away,FC Noah,Yan Eteki,,,yan-eteki,Y. Eteki,M,88,187,120,M,848082,EUR,872553600,M,88,88,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
